ef21bea3677dfeb16799a35893a98469c0cbc73d3bd2a291982a333397087042,2c6eaffad1802b2d2d965855e31eb55d891893de968a7c037b0efcf093922a16,757d90ce8dec8cda81eddbb6bb9a7b1c15553c9b57c9669727322e29b7d5ce54
"1","2",""
"2","2",""
"3","2",""
"4","2",""
"5","2",""
"6","2",""
"7","2",""
"8","2",""
"9","2",""
"10","3",""
"11","4",""
"12","8",""
"13","9",""
"14","6",""
"15","1",""
"16","1",""
"17","0","請達成指定的任務。"
"19","5",""
"20","0","於明日5:00之後登入，任務將會展開。"
"21","4",""
"22","11",""
"23","12",""
"24","10",""
"25","7",""
"26","2",""
"27","2",""
"28","3",""
"34","2",""
