78a2eda0eae84276ed4c17008231dbc97126ab8068014d3babeba738322ca82a,e7cd0c7bdcc1a4f68eede58202c9e6b6aeeac50047699357a2ca88dc3d083405,57f8fc8a130a8d26c9ab1f015b05a6fb59fee1df077da918f57c191e54442d75,44db7c59f6598fda7ee41ee76d3c423a173eb1b55acbd29456cdac485ecc2d1e,9e45dd3c97f09f939be46ce8153a582c8938caf82356d7a0e51ec62bced10d89
"10131114","信賴度","10131","1","6104101"
"10141107","信賴度","10141","1","6114101"
"10144102","信賴度","10144","1","6144101"
"10151110","信賴度","10151","1","6124101"
"10153102","信賴度","10153","1","6017101"
"0","信賴度","20015","1","0"
"0","信賴度","20017","1","0"
"0","信賴度","20018","1","0"
"0","信賴度","20019","1","0"
"0","信賴度","20020","1","0"
"0","信賴度","20022","1","0"
"0","信賴度","20023","1","0"
"0","信賴度","20024","1","0"
"0","信賴度","20025","1","0"
"0","信賴度","20026","1","0"
"0","信賴度","20028","1","0"
"0","信賴度","20029","1","0"
"0","信賴度","20030","1","0"
"0","信賴度","20031","1","0"
"0","信賴度","20032","1","0"
"0","信賴度","20035","1","0"
"0","信賴度","20037","1","0"
"0","信賴度","20038","1","0"
"0","信賴度","20042","1","0"
"0","信賴度","20043","1","0"
"0","信賴度","20048","1","0"
"0","信賴度","20049","1","0"
"0","信賴度","20051","1","0"
"0","信賴度","20054","1","0"
"0","信賴度","20055","1","0"
