814098fb25597c50b8e63df6a6233cc8bf6100fc8f06aee84390be15cf4b78fe,4c45b99e8134572016a2486050d5e92314d1cef1d3011c861ce88efe5249e78e,470f2c451a069c04726f504c506455ca07e8917082a861af1caef8c88d5ed461,f0ab2e3a2184be5f77dcc62ea3982db23dcc55292cb308ba33471775c0076fbd,6b268285e2466df38f6f295f478d34afb82c4eae863e3846a41a52e8a89f9980,830179f9fe07678c48b70413d5b0392e3c8a63453392fa6d9e02cb750a325550,a9f6ba0ad122e4b2b46b97bb51addad426c6afdfd2a4efdae9477494b069bec7,e3e9378058595ae3fb407d856cf4c20973985a4f463588a814bd38b3a0b12ece,66431e4ca139d309936fec97445996145c2df04fb8a387d44ba28ac8ca5abcfa
"0","0","0","0","21","600","1101002","1101001","0"
"600","0","0","0","22","2400","1101003","1101002","0"
"-1500","0","0","50","20","1","1","1101003","0"
"0","0","0","0","21","900","1101012","1101011","0"
"700","0","0","0","22","2100","1101013","1101012","0"
"-1500","0","0","200","20","1","1","1101013","0"
"0","0","0","0","21","400","1101022","1101021","0"
"500","0","0","0","22","2000","1101023","1101022","0"
"-1500","0","0","350","20","1","1","1101023","0"
"0","0","0","0","21","1000","1101032","1101031","0"
"900","0","0","0","22","1800","1101033","1101032","0"
"-1500","0","0","500","20","1","1","1101033","0"
"0","0","0","0","21","500","1101042","1101041","0"
"800","0","0","0","22","1600","1101043","1101042","0"
"-1500","0","0","750","20","1","1","1101043","0"
"2","0","2","2","1","1","25","1101101","0"
"-2000","0","0","-100","20","1","1","1102001","0"
"2","0","2","10","1","1","20","1102101","0"
"0","0","2","0","10","2","200000","1102102","0"
"0","0","0","0","21","500","1103002","1103001","0"
"0","0","2","0","3","0","1000","1103002","0"
"3000","0","2","0","2","3","-15","1202001","0"
"30000","0","1","0","2","3","15","1204001","0"
"30000","0","1","0","2","3","10","1205001","0"
"30000","0","1","0","2","3","10","1206001","0"
"30000","0","1","0","2","3","10","1207001","0"
"3000","0","1","0","2","2","15","1208001","0"
"3000","0","1","0","2","1","25","1209001","0"
"3000","0","1","0","2","2","10","1210001","0"
"0","0","0","0","21","3000","1210003","1210002","0"
"30000","0","1","0","2","1","15","1210003","0"
"3000","0","1","0","2","2","-10","1211001","0"
"0","0","0","0","21","3000","1211003","1211002","0"
"30000","0","2","0","2","1","-15","1211003","0"
"30000","0","2","0","2","1","-10","1213001","0"
"30000","0","2","0","2","2","-10","1213002","0"
"1500","0","2","0","2","3","-25","1214001","0"
"3000","0","2","0","2","3","-20","1216001","0"
"30000","0","1","0","2","3","20","1218001","0"
"30000","0","1","0","2","3","15","1219001","0"
"30000","0","1","0","2","3","15","1220001","0"
"30000","0","1","0","2","3","15","1221001","0"
"3000","0","1","0","2","2","20","1222001","0"
"3000","0","1","0","2","1","30","1223001","0"
"3000","0","1","0","2","2","15","1224001","0"
"0","0","0","0","21","3000","1224003","1224002","0"
"30000","0","1","0","2","1","20","1224003","0"
"3000","0","1","0","2","2","-10","1225001","0"
"0","0","0","0","21","3000","1225003","1225002","0"
"30000","0","2","0","2","1","-20","1225003","0"
"30000","0","2","0","2","1","-15","1227001","0"
"30000","0","2","0","2","2","-15","1227002","0"
"1500","0","2","0","2","3","-35","1228001","0"
"30000","0","1","0","2","3","20","1229001","0"
"3000","0","1","0","2","2","20","1230001","0"
"0","0","0","0","21","3000","1230003","1230002","0"
"30000","0","1","0","2","1","50","1230003","0"
"3000","0","2","0","2","3","-25","1232001","0"
