962a6581dce25cb7a5be5c458ff8c0a17e109f47560a83c5f7148b19d06daf2d,b1cfb16fd4831668276f0c960bbc67eb8758ffff3d403a0a60e2e23ca185f49e,d42747b3d9a37437d5ecbeef298103da88b31aa174d7d7d68cfceff14017ef97,85cee415daff6fdedff7052c60fb97b1ea4ecc81bd63896eb6defc89b8f6fd57,c560e343854e9d21c5a2a48ffdfc42052969e199c1de0157bca8064b0402c8e7,7f4c2b1829cf162f1d5bd6a202e2904a853ec962510255f9dd7f6ea194796201,2ba7e4508d48e5c382d782dad3d57fb38c1356e8c59e4846dc89de1ddbc90b6c,26dc470ce1b9ad129d7235d993b9c66881cdc5f00ff621c067d57c1aea23ebfb,c8da5298467221f08eec71f6c699416dd55cd5e3bb80ff984cdd1add9aa9b8ae,2e1e177a65fe6242561bfad3e9df8321194facac9013e4d1a8365f7d1ba2ea2c,0ff6d4daf2d854e600d412fc14856692fb3da1948840ef14185ae3291077e40a,1aa6f861efa8fdc209637490eea41c1ce35406680da74f916de44eb2458ba384
"0","100700101","0","1007001","0","0","4","0.8","1","0","1","0"
"vo_svd_0101","100700102","0","1007001","0","0","2","0","0","vo_svd","2","0"
"0","100700103","300","1007001","0","1.684","1","0","0","0","3","1"
"0","100700104","0","1007001","0","0","4","1.949","1","0","4","0"
"0","100700105","327","1007001","15","1.363","1","0","0","0","5","2"
"0","100700106","0","1007001","0","0","4","3.027","1","0","6","0"
"vo_svd_0102","100700107","0","1007001","0","0","2","0","0","vo_svd","7","0"
"0","100700108","441","1007001","0","1.69","1","0","0","0","8","3"
"0","100700109","0","1007001","0","0","4","1.7","1","0","9","0"
"0","100700110","478","1007001","0","1.446","1","0","0","0","10","4"
"0","100700111","0","1007001","0","0","4","1.722","1","0","11","0"
"0","100700112","478","1007001","0","1.245","1","0","0","0","12","5"
"0","100700113","0","1007001","0","0","4","0.417","1","0","13","0"
"0","100700114","478","1007001","478","0.864","1","0","0","0","14","5"
"0","100700115","0","1007001","0","0","4","2.482","1","0","15","0"
"vo_svd_0103","100700116","0","1007001","0","0","2","0","0","vo_svd","16","0"
"0","100700117","420","1007001","0","2.352","1","0","0","0","17","6"
"0","100700118","0","1007001","0","0","4","1.694","1","0","18","0"
"0","100700119","268","1007001","0","0.953","1","0","0","0","19","7"
"0","100700120","0","1007001","0","0","4","2.5","1","0","20","0"
