9c86a245d833e7fc0d5cbf3e0ae7cdaf1f0f8cff9b243f1e936884f5289959a7,40f96a6d3df874fec20d42c8467eec946bf8a8f54208d3ab388a03df79ed7ee0,758f10ed33fc7c5b8b9cc5621c821b8b1b91e64e181e2bee31bd168f51f907e8,63b8f6b24dc28710c70510ee6fc4bcac256310f3b018d03b5bfa3e29b5dc8ba9,140204f269b6a4a283727858f8ebc599d091d200c68c8e32d5800cf5815621a0,132fead58d86cd6e5879fd2ae2aba5e0ffbeeff8e2dce016c1444c06a9d7d397,628efc75680adf65141906ec7b475d38649f69df0b0909fd6274a3e0f31b387d,a2b8544cba7ad0febe8a67ba8f75e31d444b879b9784dc15a75d15b036c59680,bd93cd43eb4a2ee4d20c6cc1556b0c7ad2c53ed4fc7b1f4b1eec6d655a36b45f,4b4735e9eccdb292fe8e8c2cb90c661035d270a9974d81b37d78e1cb1843efc4,64b96a7f16de060f19fa522958364e6e2e9a61b7be8b7e71748188d1c438c6fe,3229de6002bee8129f8868fbe22d793d3052690a5553918459c5562ec0cd838b,6aa24e1b56b1f82cf54fc8e61e490c4d9c3cdf0795fab43089cb9c78e7d60e10
"0","豬","0","狼","0","0","豹","1","0","0","狗","3110001","1"
"0","三","0","一","0","0","四","1","0","0","二","3110002","1"
"1","鰆","0","鱷","0","0","鮑","0","0","0","鱘","3110003","1"
"0","亭","0","花","0","0","也","1","0","0","要","3110004","1"
"0","椒","0","杉","0","1","椰","1","0","0","松","3110006","1"
"1","牢固地","0","快","0","0","容易","1","0","0","禁食","3110007","1"
"1","改正","0","正確","0","1","得體","1","0","0","收集","3110009","0"
"0","然後","0","但是","0","0","因此","1","0","0","不過","3110010","1"
"0","測量身高","0","氣球往上身高","0","0","身高長高","1","0","0","步步身高","3110011","1"
"1","好球","0","罷工","0","0","衝鋒","1","0","0","打擊","3110012","1"
"0","要","0","必","0","0","奘","1","0","0","畚","3110013","1"
"0","一","0","六","0","0","二","1","0","0","五","3110015","1"
"0","刀刃","0","公主","0","0","皇后","1","0","0","突襲","3111001","1"
"0","進攻","0","治癒","0","0","炸裂","1","0","0","全體","3111002","1"
"0","H","0","F","0","1","J","1","0","0","G","3120001","0"
"0","黑髮美女","0","金髮","0","0","藍色的","1","0","0","白皮膚","3120002","1"
