64603be95d666cd63634965afaa4ffaa49a5d38caaa9be7bb790b3acb453979a,8a6fa5b1739d3f984bc5dca6d07418ee526abd481727ae9a9858734511a87c6d,d07e89175518e64ecabe04f84488f0b18015ef882d5de68200a74497d00f4d13,6e8c8fe33e49e5190981791c2ad7c68d6df4ba4e2aff8009da93205417844018,7071a6d11c5921d5c65bc503c9da71266ec80f518dc8dc7cfe79489fac704e46,cb2fed18bfbf3716f35169130487782260649b2d51ae864cf1e565265e26fd84,b1fb77fd3cdb65c53d46b24d01cc5ee28eb19832f1e52d30af6b0ba86dca4b32,a1321d11ee092ea8d70f66123026062c3e070d9292b64e971180ea5cce07e593,72ed4f09762d9d254ff6fb53df17fd8f7e76a43d318e89cd1153536939dc941c
"","1","1","21600","2","2","23001","1",""
"","2","1","19800","3","2","23001","1",""
"","3","1","18000","3","2","23001","1",""
"","4","1","16200","3","2","23001","1",""
"","5","1","14400","4","2","23001","1",""
"","6","1","12960","4","2","23001","1",""
"","7","1","11520","5","2","23001","1",""
"","8","1","10080","6","2","23001","1",""
"","9","1","8640","7","2","23001","1",""
"","10","1","7200","8","2","23001","1",""
"","11","1","5760","10","2","23001","1",""
"","12","1","5040","12","2","23001","1",""
"","13","1","4320","14","2","23001","1",""
"","14","1","7200","16","2","23001","2",""
"","15","1","5400","18","2","23001","2",""
"","16","1","5040","18","2","23001","2",""
"","17","1","4800","18","2","23001","2",""
"","18","1","4500","20","2","23001","2",""
"","19","1","4320","20","2","23001","2",""
"","20","1","6000","24","2","23001","3",""
"","21","1","5700","48","2","23001","3",""
"","22","1","5400","48","2","23001","3",""
"","23","1","5220","51","2","23001","3",""
"","24","1","4980","54","2","23001","3",""
"","25","1","4800","54","2","23001","3",""
"","26","1","4500","60","2","23001","3",""
"","27","1","4320","60","2","23001","3",""
"","28","1","4200","63","2","23001","3",""
"","29","1","5400","64","2","23001","4",""
"","30","1","5220","68","2","23001","4",""
"","31","1","5040","72","2","23001","4",""
"","32","1","4920","72","2","23001","4",""
"","33","1","4800","72","2","23001","4",""
"","1","2","21600","80","6","93001","20",""
"","2","2","21600","96","6","93001","24",""
"","3","2","21600","112","6","93001","28",""
"","4","2","21600","120","6","93001","30",""
"","5","2","21600","128","6","93001","32",""
"","6","2","21600","136","6","93001","34",""
"","7","2","21600","144","6","93001","36",""
"","8","2","21600","152","6","93001","38",""
"","9","2","21600","160","6","93001","40",""
"","10","2","21600","168","6","93001","42",""
"","11","2","21600","176","6","93001","44",""
"","12","2","21600","184","6","93001","46",""
"","13","2","21600","192","6","93001","48",""
"","14","2","21600","200","6","93001","50",""
"","15","2","21600","208","6","93001","52",""
"","16","2","21600","216","6","93001","54",""
"","17","2","21600","224","6","93001","56",""
"","18","2","21600","232","6","93001","58",""
"","19","2","21600","240","6","93001","60",""
"","20","2","21600","248","6","93001","62",""
"","21","2","21600","256","6","93001","64",""
"","22","2","21600","264","6","93001","66",""
"","23","2","21600","272","6","93001","68",""
"","24","2","21600","280","6","93001","70",""
"","25","2","21600","288","6","93001","72",""
"","26","2","21600","296","6","93001","74",""
"","27","2","21600","304","6","93001","76",""
"","28","2","21600","312","6","93001","78",""
"","29","2","21600","320","6","93001","80",""
"","30","2","21600","328","6","93001","82",""
"","31","2","21600","336","6","93001","84",""
"","32","2","21600","340","6","93001","85",""
"","33","2","21600","344","6","93001","86",""
"","1","3","14400","3","2","20001","1",""
"","2","3","9600","5","2","20001","1",""
"","3","3","7200","7","2","20001","1",""
"","4","3","5400","10","2","20001","1",""
"","5","3","3600","15","2","20001","1",""
"","6","3","9600","6","2","20002","1",""
"","7","3","7200","8","2","20002","1",""
"","8","3","4800","12","2","20002","1",""
"","9","3","3600","16","2","20002","1",""
"","10","3","2700","20","2","20002","1",""
"","11","3","10800","6","2","20003","1",""
"","12","3","9000","8","2","20003","1",""
"","13","3","7200","12","2","20003","1",""
"","14","3","5400","16","2","20003","1",""
"","15","3","3600","20","2","20003","1",""
"","16","3","2880","30","2","20003","1",""
"","17","3","12600","7","2","20004","1",""
"","18","3","11400","8","2","20004","1",""
"","19","3","10200","9","2","20004","1",""
"","20","3","9300","10","2","20004","1",""
"","21","3","8700","10","2","20004","1",""
"","22","3","6600","13","2","20004","1",""
"","23","3","6300","14","2","20004","1",""
"","24","3","6000","15","2","20004","1",""
"","25","3","5700","15","2","20004","1",""
"","26","3","5400","16","2","20004","1",""
"","27","3","5100","17","2","20004","1",""
"","28","3","4860","18","2","20004","1",""
"","29","3","4620","19","2","20004","1",""
"","30","3","4440","20","2","20004","1",""
"","31","3","4260","21","2","20004","1",""
"","32","3","4080","22","2","20004","1",""
"","33","3","3960","22","2","20004","1",""
"","1","4","21600","12000","12","94002","3000",""
"","2","4","21600","18000","12","94002","4500",""
"","3","4","21600","24000","12","94002","6000",""
"","4","4","21600","30000","12","94002","7500",""
"","5","4","21600","42000","12","94002","10500",""
"","6","4","21600","54000","12","94002","13500",""
"","7","4","21600","66000","12","94002","16500",""
"","8","4","21600","84000","12","94002","21000",""
"","9","4","21600","102000","12","94002","25500",""
"","10","4","21600","120000","12","94002","30000",""
"","11","4","21600","144000","12","94002","36000",""
"","12","4","21600","168000","12","94002","42000",""
"","13","4","21600","192000","12","94002","48000",""
"","14","4","21600","222000","12","94002","55500",""
"","15","4","21600","252000","12","94002","63000",""
"","16","4","21600","282000","12","94002","70500",""
"","17","4","21600","318000","12","94002","79500",""
"","18","4","21600","354000","12","94002","88500",""
"","19","4","21600","390000","12","94002","97500",""
"","20","4","21600","432000","12","94002","108000",""
"","21","4","21600","474000","12","94002","118500",""
"","22","4","21600","516000","12","94002","129000",""
"","23","4","21600","562000","12","94002","140500",""
"","24","4","21600","600000","12","94002","150000",""
"","25","4","21600","642000","12","94002","160500",""
"","26","4","21600","684000","12","94002","171000",""
"","27","4","21600","726000","12","94002","181500",""
"","28","4","21600","768000","12","94002","192000",""
"","29","4","21600","810000","12","94002","202500",""
"","30","4","21600","852000","12","94002","213000",""
"","31","4","21600","894000","12","94002","223500",""
"","32","4","21600","920000","12","94002","230000",""
"","33","4","21600","940000","12","94002","235000",""
"","1","5","21600","48","6","93001","12",""
"","1","6","21600","48","6","93001","12",""
"","1","7","21600","48","6","93001","12",""
"","1","8","21600","48","6","93001","12",""
"","1","11","21600","48","6","93001","12",""
"","1","12","21600","48","6","93001","12",""
"","1","19","21600","48","6","93001","12",""
"4999999999","0","23","0","0","0","0","1","14999999999"
"","1","25","21600","48","6","93001","12",""
"","1","28","21600","48","6","93001","12",""
"","1","30","21600","48","6","93001","12",""
