9bc193f557832d8128f21120789f581a84e9b57d8f8bc772167172749c6d1a1e,ee956f8a6645fb47677d6e50f433c6f3e4309292c7eaf8ee667a677dd54e879a,4c4bcf821177dc368829a57c0a28f0eac23bd8a27f8a00181d5b5b16a17150ba,59e3be2dc4233968c70260a8d45163de9e39b6cbf3b625828af72729f7ef2f5e,164f3113ce14b5caf967269afb92da208ef79ec4a5454326e116744cbdb6717a,0720949ed30de1bbbe05037ce5b702b044f9e4301ec18b298eb81818190de353
"3001","1013206","118001","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1"
"3002","1013206","118001","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","2"
"3010","1013206","118001","2024/04/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","3"
"3001","1013206","105801","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","4"
"3004","1013206","105801","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","5"
"3005","1013206","105801","2024/04/01 16:00:00","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","6"
"3001","1013206","107501","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","7"
"3002","1013206","107501","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","8"
"3010","1013206","107501","2024/04/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","9"
"3001","1013206","111801","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","10"
"3004","1013206","111801","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","11"
"3001","1013206","121001","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","13"
"3004","1013206","121001","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","14"
"3001","1013206","180401","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","16"
"3004","1013206","180401","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","17"
"3005","1013206","180401","2024/04/01 16:00:00","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","18"
"3003","1013206","127901","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","19"
"3004","1013206","127901","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","20"
"3001","1013406","106601","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","21"
"3012","1013406","106601","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","22"
"3003","1013406","101401","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","23"
"3010","1013406","101401","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","24"
"3003","1013406","101201","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","25"
"3010","1013406","101201","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","26"
"3001","1013406","116501","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","27"
"3012","1013406","116501","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","28"
"3001","1013406","121601","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","29"
"3012","1013406","121601","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","30"
"3001","1013406","128301","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","31"
"3012","1013406","128301","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","32"
"3003","1013406","112201","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","33"
"3010","1013406","112201","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","34"
"3003","1013406","115701","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","35"
"3010","1013406","115701","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","36"
"3003","1013406","113401","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","37"
"3010","1013406","113401","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","38"
"3003","1013406","128401","2024/05/05 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","39"
"3010","1013406","128401","2024/05/05 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","40"
"3001","1013406","180701","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","41"
"3010","1013406","180701","2024/05/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","42"
"3001","1013606","100101","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","43"
"3010","1013606","100101","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","44"
"3013","1013606","100101","2024/06/01 16:00:00","攻擊力吸收無效","45"
"3003","1013606","100201","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","46"
"3004","1013606","100201","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","47"
"3010","1013606","100201","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","48"
"3013","1013606","100201","2024/06/01 16:00:00","攻擊力吸收無效","49"
"3001","1013606","100301","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","50"
"3004","1013606","100301","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","51"
"3013","1013606","100301","2024/06/01 16:00:00","攻擊力吸收無效","52"
"3001","1013606","108701","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","53"
"3010","1013606","108701","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","54"
"3013","1013606","108701","2024/06/01 16:00:00","攻擊力吸收無效","55"
"3001","1013606","180101","2024/06/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","56"
"3010","1013606","180101","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","57"
"3001","1013606","122401","2024/06/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","58"
"3010","1013606","122401","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","59"
"3001","1013606","128701","2024/06/17 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","60"
"3010","1013606","128701","2024/06/17 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","61"
"3003","1013606","108801","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","62"
"3004","1013606","108801","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","63"
"3010","1013606","108801","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","64"
"3013","1013606","108801","2024/06/01 16:00:00","攻擊力吸收無效","65"
"3004","1013606","115601","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","66"
"3010","1013606","115601","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","67"
"3004","1013606","180201","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","68"
"3010","1013606","180201","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","69"
"3004","1013606","122601","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","70"
