e137b7ca8640b39b1c459c5b032306bf4c17227b60cf81aaede4bfd5aefbd19d,d3eaefbd1663ce2158cbbec739711849ff659e3e1c71772a3287bedd904b040a,a5a9c165daf9e64639e38c104888f6e6efe55e8ab9260b1fb6d1c01cc9804f5b,6ad225ea9a804fb242d80c445de34484f6fd3ff373aaa3e9ead9cc8c69d51946,a30d2bed30c642c9eea42de9518bc812300acc383e8c6662afb97273b0e319df,6796ed0074b511285d4e8b42718c5a0ba24e47ce3ee33c33eda00354bc18324e,ca5816510e51909f4ce6412cb726434f80da74ae0a1ffe083915d4445e25f70a,7273deb95972ed780f4104f3f81931661e3378308240f26f3dad765516d076da,bac7f5665e4a32fbc5d443c5f18b25e723defd53bce88fb6a38f5367ff10c3ba,8d857ee81e8e14bf3589415e344266badc166a6fac539f9fa6de1b3bcf62ad4f,01543b3745d487fae8f8f7340b49f8066fcee4f488cd97cbcd7e5911c5c2fc9f
"110","250","1","8","1010100","0","0","10101","歐姆蛋","1","1"
"110","222","1","9","1010101","0","0","10101","歐姆蛋","1","1"
"110","200","1","10","1010102","0","0","10101","歐姆蛋","1","1"
"110","400","1","9","1010200","0","0","10102","歐姆蛋","2","1"
"110","367","1","10","1010201","0","0","10102","歐姆蛋","2","1"
"110","338","1","11","1010202","0","0","10102","歐姆蛋","2","1"
"110","640","1","10","1010300","0","0","10103","歐姆蛋","3","1"
"110","597","1","11","1010301","0","0","10103","歐姆蛋","3","1"
"110","560","1","12","1010302","0","0","10103","歐姆蛋","3","1"
"115","275","2","9","1020100","0","0","10201","餃子","1","1"
"115","248","2","10","1020101","0","0","10201","餃子","1","1"
"115","225","2","11","1020102","0","0","10201","餃子","1","1"
"115","440","2","10","1020200","0","0","10202","餃子","2","1"
"115","406","2","11","1020201","0","0","10202","餃子","2","1"
"115","377","2","12","1020202","0","0","10202","餃子","2","1"
"115","704","2","11","1020300","0","0","10203","餃子","3","1"
"115","660","2","12","1020301","0","0","10203","餃子","3","1"
"115","621","2","13","1020302","0","0","10203","餃子","3","1"
"100","200","3","8","1030100","0","0","10301","章魚燒","1","1"
"100","175","3","9","1030101","0","0","10301","章魚燒","1","1"
"100","156","3","10","1030102","0","0","10301","章魚燒","1","1"
"100","320","3","9","1030200","0","0","10302","章魚燒","2","1"
"100","291","3","10","1030201","0","0","10302","章魚燒","2","1"
"100","267","3","11","1030202","0","0","10302","章魚燒","2","1"
"100","512","3","10","1030300","0","0","10303","章魚燒","3","1"
"100","475","3","11","1030301","0","0","10303","章魚燒","3","1"
"100","444","3","12","1030302","0","0","10303","章魚燒","3","1"
"115","225","4","9","1040100","0","0","10401","飯糰","1","1"
"115","200","4","10","1040101","0","0","10401","飯糰","1","1"
"115","180","4","11","1040102","0","0","10401","飯糰","1","1"
"115","360","4","10","1040200","0","0","10402","飯糰","2","1"
"115","330","4","11","1040201","0","0","10402","飯糰","2","1"
"115","305","4","12","1040202","0","0","10402","飯糰","2","1"
"115","576","4","11","1040300","0","0","10403","飯糰","3","1"
"115","538","4","12","1040301","0","0","10403","飯糰","3","1"
"115","504","4","13","1040302","0","0","10403","飯糰","3","1"
"150","300","5","10","1050100","0","0","10501","沙威瑪","1","1"
"150","273","5","11","1050101","0","0","10501","沙威瑪","1","1"
"150","250","5","12","1050102","0","0","10501","沙威瑪","1","1"
"150","480","5","11","1050200","0","0","10502","沙威瑪","2","1"
"150","446","5","12","1050201","0","0","10502","沙威瑪","2","1"
"150","416","5","13","1050202","0","0","10502","沙威瑪","2","1"
"150","768","5","12","1050300","0","0","10503","沙威瑪","3","1"
"150","723","5","13","1050301","0","0","10503","沙威瑪","3","1"
"150","683","5","14","1050302","0","0","10503","沙威瑪","3","1"
"60","160","1","0","2010100","0","0","20101","輪胎（特大）","1","2"
"60","256","1","0","2010200","0","0","20102","輪胎（特大）","2","2"
"60","410","1","0","2010300","0","0","20103","輪胎（特大）","3","2"
"45","145","2","0","2020100","0","0","20201","輪胎（大）","1","2"
"45","232","2","0","2020200","0","0","20202","輪胎（大）","2","2"
"45","371","2","0","2020300","0","0","20203","輪胎（大）","3","2"
"30","120","3","0","2030100","0","0","20301","輪胎（中）","1","2"
"30","192","3","0","2030200","0","0","20302","輪胎（中）","2","2"
"30","307","3","0","2030300","0","0","20303","輪胎（中）","3","2"
"15","100","4","0","2040100","0","0","20401","輪胎（小）","1","2"
"15","160","4","0","2040200","0","0","20402","輪胎（小）","2","2"
"15","256","4","0","2040300","0","0","20403","輪胎（小）","3","2"
"1","0","1","0","3010100","4","125","30101","加農砲","1","3"
"1","0","1","0","3010101","5","195","30101","加農砲","1","3"
"1","0","1","0","3010102","6","234","30101","加農砲","1","3"
"1","0","1","0","3010200","4","200","30102","加農砲","2","3"
"1","0","1","0","3010201","5","313","30102","加農砲","2","3"
"1","0","1","0","3010202","6","375","30102","加農砲","2","3"
"1","0","1","0","3010300","4","320","30103","加農砲","3","3"
"1","0","1","0","3010301","5","500","30103","加農砲","3","3"
"1","0","1","0","3010302","6","600","30103","加農砲","3","3"
"1","0","2","0","3020100","6","75","30201","刨刀","1","3"
