54cdc914fe187c76a939af14462f31673dc7221af713b1733493d967c3cc1807,d548690202e1b756a94cfb9c5af9605b9fda3347293ec22d0368004c977060dd,5a3732adb270ecc1a39f133cd1ae8a861af613114215bbed6b30a0f72fe108f3,df745bd42f404d6cea828a366ee5e03cf9c1c2d0ff603c3e3e5c378f3fde2c9a,3068b541943f16e4b899aac6a8f38b9d51e2ca9d15a2951e3bb87e7fe717b3a9
"100101","94002","1","3000000","12"
"100101","20004","2","300","2"
"100102","90008","3","1000","2"
"100103","25001","4","6","2"
"100104","94002","5","1000000","12"
"100104","20004","6","300","2"
"100105","90008","7","1000","2"
"100106","25001","8","6","2"
"100107","91002","9","40","8"
"100107","94002","10","1000000","12"
"100107","20004","11","300","2"
"100108","90008","12","1000","2"
"100109","41000","13","1","2"
"100109","25001","14","7","2"
"100110","94002","15","1000000","12"
"100110","20004","16","400","2"
"100111","90008","17","1500","2"
"100112","91002","18","40","8"
"100112","25001","19","7","2"
"100113","94002","20","1000000","12"
"100113","20004","21","400","2"
"100114","90008","22","1500","2"
"100115","41000","23","1","2"
"100115","25001","24","7","2"
"100116","94002","25","1000000","12"
"100116","20004","26","500","2"
"100117","91002","27","40","8"
"100117","90008","28","1500","2"
"100118","94002","29","2000000","12"
"100118","25001","30","8","2"
"100118","90008","31","2000","2"
"100201","94002","32","3000000","12"
"100201","20004","33","300","2"
"100202","90008","34","1000","2"
"100203","25001","35","12","2"
"100204","94002","36","1000000","12"
"100204","20004","37","300","2"
"100205","90008","38","1000","2"
"100206","25001","39","10","2"
"100207","91002","40","40","8"
"100207","94002","41","1000000","12"
"100207","20004","42","300","2"
"100208","90008","43","1000","2"
"100209","41000","44","1","2"
"100209","25001","45","10","2"
"100210","94002","46","1000000","12"
"100210","20004","47","400","2"
"100211","90008","48","1500","2"
"100212","91002","49","40","8"
"100212","25001","50","9","2"
"100213","94002","51","1000000","12"
"100213","20004","52","400","2"
"100214","90008","53","1500","2"
"100215","41000","54","1","2"
"100216","94002","55","1000000","12"
"100216","20004","56","500","2"
"100217","91002","57","40","8"
"100217","90008","58","1500","2"
"100218","94002","59","2000000","12"
"100218","90008","60","2000","2"
"100301","94002","61","3000000","12"
"100301","20004","62","300","2"
"100302","90008","63","1000","2"
"100303","25001","64","12","2"
"100304","94002","65","1000000","12"
"100304","20004","66","300","2"
"100305","90008","67","1000","2"
"100306","25001","68","10","2"
"100307","91002","69","40","8"
"100307","94002","70","1000000","12"
"100307","20004","71","300","2"
"100308","90008","72","1000","2"
"100309","41000","73","1","2"
"100309","25001","74","10","2"
"100310","94002","75","1000000","12"
"100310","20004","76","400","2"
"100311","90008","77","1500","2"
"100312","91002","78","40","8"
"100312","25001","79","9","2"
"100313","94002","80","1000000","12"
"100313","20004","81","400","2"
"100314","90008","82","1500","2"
"100315","41000","83","1","2"
"100316","94002","84","1000000","12"
"100316","20004","85","500","2"
"100317","91002","86","40","8"
"100317","90008","87","1500","2"
"100318","94002","88","2000000","12"
"100318","90008","89","2000","2"
"100401","94002","90","3000000","12"
"100401","20004","91","300","2"
"100402","90008","92","1000","2"
"100403","25001","93","12","2"
"100404","94002","94","1000000","12"
"100404","20004","95","300","2"
"100405","90008","96","1000","2"
"100406","25001","97","10","2"
"100407","91002","98","40","8"
"100407","94002","99","1000000","12"
"100407","20004","100","300","2"
"100408","90008","101","1000","2"
"100409","41000","102","1","2"
"100409","25001","103","10","2"
"100410","94002","104","1000000","12"
"100410","20004","105","400","2"
"100411","90008","106","1500","2"
"100412","91002","107","40","8"
"100412","25001","108","9","2"
"100413","94002","109","1000000","12"
"100413","20004","110","400","2"
"100414","90008","111","1500","2"
"100415","41000","112","1","2"
"100416","94002","113","1000000","12"
"100416","20004","114","500","2"
"100417","91002","115","40","8"
"100417","90008","116","1500","2"
"100418","94002","117","2000000","12"
"100418","90008","118","2000","2"
"100501","94002","119","3000000","12"
"100501","20004","120","300","2"
"100502","90008","121","1000","2"
"100503","25001","122","12","2"
"100504","94002","123","1000000","12"
"100504","20004","124","300","2"
"100505","90008","125","1000","2"
"100506","25001","126","10","2"
"100507","91002","127","40","8"
"100507","94002","128","1000000","12"
"100507","20004","129","300","2"
"100508","90008","130","1000","2"
"100509","41000","131","1","2"
"100509","25001","132","10","2"
"100510","94002","133","1000000","12"
"100510","20004","134","400","2"
"100511","90008","135","1500","2"
"100512","91002","136","40","8"
"100512","25001","137","9","2"
"100513","94002","138","1000000","12"
"100513","20004","139","400","2"
"100514","90008","140","1500","2"
"100515","41000","141","1","2"
"100516","94002","142","1000000","12"
"100516","20004","143","500","2"
"100517","91002","144","40","8"
"100517","90008","145","1500","2"
"100518","94002","146","2000000","12"
"100518","90008","147","2000","2"
"100601","94002","148","3000000","12"
"100601","20004","149","300","2"
"100602","90008","150","1000","2"
"100603","25001","151","12","2"
"100604","94002","152","1000000","12"
"100604","20004","153","300","2"
"100605","90008","154","1000","2"
"100606","25001","155","10","2"
"100607","91002","156","40","8"
"100607","94002","157","1000000","12"
"100607","20004","158","300","2"
"100608","90008","159","1000","2"
"100609","41000","160","1","2"
"100609","25001","161","10","2"
"100610","94002","162","1000000","12"
"100610","20004","163","400","2"
"100611","90008","164","1500","2"
"100612","91002","165","40","8"
"100612","25001","166","9","2"
"100613","94002","167","1000000","12"
"100613","20004","168","400","2"
"100614","90008","169","1500","2"
"100615","41000","170","1","2"
"100616","94002","171","1000000","12"
"100616","20004","172","500","2"
"100617","91002","173","40","8"
"100617","90008","174","1500","2"
"100618","94002","175","2000000","12"
"100618","90008","176","2000","2"
"100701","94002","177","3000000","12"
"100701","20004","178","300","2"
"100702","90008","179","1000","2"
"100703","25001","180","12","2"
"100704","94002","181","1000000","12"
"100704","20004","182","300","2"
"100705","90008","183","1000","2"
"100706","25001","184","10","2"
"100707","91002","185","40","8"
"100707","94002","186","1000000","12"
"100707","20004","187","300","2"
"100708","90008","188","1000","2"
"100709","41000","189","1","2"
"100709","25001","190","10","2"
"100710","94002","191","1000000","12"
"100710","20004","192","400","2"
"100711","90008","193","1500","2"
"100712","91002","194","40","8"
"100712","25001","195","9","2"
"100713","94002","196","1000000","12"
"100713","20004","197","400","2"
"100714","90008","198","1500","2"
"100715","41000","199","1","2"
"100716","94002","200","1000000","12"
"100716","20004","201","500","2"
"100717","91002","202","40","8"
"100717","90008","203","1500","2"
"100718","94002","204","2000000","12"
"100718","90008","205","2000","2"
