03880e6a80af5632a23853adb67d79f915c19e75b7ceeffbc8c0a4bf93b04d72,bbec0b546fbfea80367268d52cb8d8fa10cb5d75c18724c93e0d0ad035fe0812,275cc2be7c4538297e6e12a2effa2254724244b54e5c6512a5c5ef6073d49a7f,b65de0d1162d5e504900963783cb095401ca070612b1fa72db64593eb4a7a115
"1014601","10146","0","0"
"1014801","10148","0","0"
"1015001","10150","0","0"
"1015201","10152","0","0"
"0","10154","5154007","0"
"1016901","10169","0","0"
"1017001","10170","0","0"
"1017101","10171","0","0"
"1017201","10172","0","0"
"0","10173","5154007","0"
