4441558122aa4686f0f53591bdf573e10355b795af4c826c887b712322794550,399d5fd8d2cc2d84f0598405afd0b258f337650ef4b85b36c58979637aca395d,78da649c247ef059a16ff3b42ea643489712f6f09f77fb6bbb0a5657474c1c01,c5eae9c32a07abaf4fdf7a2f6164e2607e36acbf7ec9b3e8eb5f01c1394454bb,d9a7304ff3eaa624e2ac63b2a467a09d41001e0fef7bec37bff76f68c0f84240,62b202fd27a0fe368939e2db3d1d006a1586bfc1979fcc76e3880b17585c8129,f37d0359c8999a4d835c3a155ea3bf0bc0fa27096faba6eaa3020d3255be8de2,5bc38438189bef83b214b014f8827e2acbeff4b1f8b31e062c6fd72163d8e8a7,cd16da876b8e168ac35e4e4279bc0addbd18d3a98f47ead581b8312e01aa92b5,a290679704ce5dbb4c23a0d61ce34a9b518348bc36599c8f91922d18d1bfdd57,277a2a632fc804169015ceeeeb145c670a9ff49f6e66aa062dc750eda9fa262a,82fa89d04a639371cd116e01dd080c96d22748e89b12be74e8b73207a8e9c5b5,435a985fbd128b7547c1462eb8221b0543f5fbf5507f7df4a50cf42e88abe12f,431f7bc9cd07d442701c5e0ca833b4488f2bb97a8dc853ce3c8395a8a8ca722a,9d0d552c092ec82d1ec6a22e49fe8ba94acc0de971791ab60cedda52d34c5572,8389baf4ab385556ad5ba7443731e84719ee43916485b44fbe189906d749b497
"103","0","0","104","101","1","1","0","1","1","5","0","10016","0","102","105"
"203","0","0","204","201","1","2","1","2","2","2","0","10021","0","202","205"
"303","0","0","304","301","1","3","1","2","5","5","0","10053","0","302","305"
"403","0","0","404","401","1","4","1","2","4","8","0","10044","0","402","405"
"503","0","0","504","501","1","5","2","3","4","2","0","10042","0","502","505"
"603","0","0","604","601","1","6","3","3","2","5","0","10024","0","602","605"
"703","0","0","704","701","1","7","4","3","1","8","0","10015","0","702","705"
"0","0","0","0","801","1","8","5","4","101","2","0","11012","0","0","0"
"903","0","0","904","901","1","9","6","4","2","5","0","10023","0","902","905"
"0","0","0","0","1001","1","10","7","4","101","8","0","11011","0","0","0"
"1103","0","0","1104","1101","1","11","8","5","5","2","0","10052","0","1102","1105"
"1203","0","0","1204","1201","1","12","9","5","4","5","0","10045","0","1202","1205"
"1303","0","0","1304","1301","1","13","10","5","2","8","0","10021","0","1302","1305"
"1403","0","0","1404","1401","1","14","11","6","1","2","0","10013","0","1402","1405"
"1503","0","0","1504","1501","1","15","12","6","5","5","0","10054","0","1502","1505"
"0","0","0","0","1601","1","16","13","6","101","8","0","11015","0","0","0"
"0","0","0","0","1701","1","17","14","7","100","2","0","11002","0","0","0"
"1803","0","0","1804","1801","1","18","15","7","4","5","0","10043","0","1802","1805"
"1903","0","16","1904","1901","1","19","16","7","3","8","0","10034","0","1902","1905"
"2003","0","0","2004","2001","1","20","17","8","4","2","0","10041","0","2002","2005"
"0","0","0","0","2101","1","21","18","8","100","5","0","11003","0","0","0"
"2203","0","0","2204","2201","1","22","19","8","2","8","0","10025","0","2202","2205"
"2303","0","0","2304","2301","1","23","20","9","1","2","0","10011","0","2302","2305"
"2403","0","0","2404","2401","1","24","21","9","2","5","0","10022","0","2402","2405"
"2503","0","0","2504","2501","1","25","22","9","4","8","0","10045","0","2502","2505"
"2603","0","24","0","2601","1","26","23","10","100","5","0","11006","25","2602","0"
"2703","0","0","2704","2701","1","27","26","11","3","2","0","10031","0","2702","2705"
"2803","0","0","2804","2801","1","28","26","11","4","5","0","10044","0","2802","2805"
"2903","0","0","2904","2901","1","29","26","11","7","8","0","10075","0","2902","2905"
"3003","0","0","3004","3001","1","30","27","12","3","2","0","10032","0","3002","3005"
"3103","0","0","3104","3101","1","31","28","12","1","5","0","10013","0","3102","3105"
"3203","0","0","3204","3201","1","32","29","12","4","8","0","10044","0","3202","3205"
"3303","0","0","3304","3301","1","33","30","13","4","2","0","10041","0","3302","3305"
"3403","0","0","3404","3401","1","34","31","13","2","5","0","10022","0","3402","3405"
"3503","0","0","3504","3501","1","35","32","13","5","8","0","10053","0","3502","3505"
"3603","0","0","3604","3601","1","36","33","14","2","2","0","10024","0","3602","3605"
"3703","0","0","3704","3701","1","37","34","14","4","5","0","10045","0","3702","3705"
"3803","0","0","3804","3801","1","38","35","14","1","8","0","10012","0","3802","3805"
"3903","0","0","3904","3901","1","39","36","15","4","2","0","10043","0","3902","3905"
"4003","0","0","4004","4001","1","40","37","15","3","5","0","10035","0","4002","4005"
"4103","0","0","4104","4101","1","41","38","15","7","8","0","10072","0","4102","4105"
"4203","0","0","4204","4201","1","42","39","16","2","2","0","10021","0","4202","4205"
"4303","0","0","4304","4301","1","43","40","16","3","5","0","10034","0","4302","4305"
"4403","0","0","4404","4401","1","44","41","16","1","8","0","10015","0","4402","4405"
"4503","0","0","4504","4501","1","45","42","17","2","2","0","10022","0","4502","4505"
"4603","0","0","4604","4601","1","46","43","17","2","5","0","10023","0","4602","4605"
"4703","0","0","4704","4701","1","47","44","17","7","8","0","10074","0","4702","4705"
"4803","0","0","4804","4801","1","48","45","18","3","2","0","10031","0","4802","4805"
"4903","0","0","4904","4901","1","49","46","18","5","5","0","10052","0","4902","4905"
"5003","0","0","5004","5001","1","50","47","18","2","8","0","10025","0","5002","5005"
"5103","0","0","5104","5101","1","51","48","19","4","2","0","10041","0","5102","5105"
"5203","0","0","5204","5201","1","52","49","19","3","5","0","10033","0","5202","5205"
"5303","0","0","5304","5301","1","53","50","19","7","8","0","10074","0","5302","5305"
"5403","0","52","0","5401","1","54","51","20","101","5","0","11016","53","5402","0"
"5503","0","0","5504","5501","1","55","54","21","4","2","0","10041","0","5502","5505"
"0","0","0","0","5601","1","56","54","21","100","5","0","11002","0","5602","0"
"5703","0","0","5704","5701","1","57","54","21","6","8","0","10065","0","5702","5705"
