19af3018cf87d6dc23f3896263faa880658bef408190f180d3b2475d756814df,db0a1e1545b89dffb28ceab0e4216a2dbb61fd6e16e2d424f731826b4693a74e,6085ebdcf5eaa4d87f525f36bf7545958e270ab25c3f2831a477f908f52b6fdb,59682fd8c2f26d34d5e82f8ce62595f4239eff920f37a29c2c97588cc16fa65b,cb53a5a6dd2af8f18f1f28842872da95eb92c6612509308845b445c3562aff9f,09544949f9f881809a7524ccc84e7123ce3cdeaa3595d8e6a74eb2412bf66d52,4ed7578474b3c8fced48e41b2d3f1275f678cb3670cdc2206f2e836b0881f8ea,0d0916ff4c95527a03342330567e0c2ee7424cbdc5f9b43c6985d4f419500e75,a7e6d6ec61721d9763b76905bb637ec0868513bde3047acd1d865a2d9cc23438,b2b7de4ebe75cc5416a545bbdffcb06d5c55a610fc9229ca9b4ef0bd9800f081,eeae09b73cabd99843f75d5452a07546311703a483fb352a187f2b71d5ce60c4,3a14665394ee4e9330a37122aeea65611290926f15f1cc503b5d62ec62612cd4,893c13daee316b5fad466a1fd4666229d554683a496ebc10c727214cd3a67afa,0a565783ff209562a31cb8c718105c2f82f7c9344018369c5b73820f091adb54,56c62f04b5ee200c046e8912fa555d020ce50d585a478925baf3c17bb6d9245b,18dc81b15a4fe57161a1ac161c30a3f75b36c682c09d261ef20f5291ccf57216,042280c1bbbd013f133dc52980a2515519319dee4e3beef7441c32557855a7fe,a31125731eb994759433cff4d030ece249d1b745c88df60a95171cc612d01756,bdefa626fac9f9bb039b21cd0bef6ed5e5da28e6934878f4faf2e6f6a8c8b69e
"0","-60","5.5","610132007","0","0","1","610132501","","3","289","10132","1","3","5","12","1","0","0"
"0","-60","1.5","610132008","0","70","1","610132502","","0","289","10132","1","1","5","0","2","0","0"
"0","-60","1.5","610132009","0","0","1","0","","0","289","10132","1","1","5","0","3","0","0"
"0","-50","5.5","610134007","0","55","1","0","","3","292","10134","1.85","1","5","0","1","0","0"
"0","-50","1.5","610134008","0","0","1","610134502","","0","292","10134","1.85","3","5","30","2","0","0"
"0","-50","1.5","610134009","0","0","1","0","","0","292","10134","1.85","1","5","0","3","0","0"
"0","0","5.5","610136007","0","0","1","610136501","","3","295","10136","1.1","2","5","0","1","0","600"
"0","-50","1.5","610136008","0","84","1","0","","0","295","10136","1.5","1","5","0","2","0","0"
"0","-50","1.5","610136009","0","0","1","0","","0","295","10136","1.5","1","5","0","3","0","0"
"0","0","5.5","610137007","0","75","1","0","","0","295","10137","0.85","1","5","0","1","0","0"
"0","0","1.5","610137008","0","50","1","0","","0","295","10137","0.85","1","5","0","2","0","0"
"0","0","1.5","610137009","0","0","1","0","","0","295","10137","0.85","1","5","0","3","0","0"
"0","0","5.5","610140007","0","77","1","0","","3","298","10140","1.4","1","5","0","1","0","0"
"0","0","1.5","610140008","0","52","1","0","","0","298","10140","1.4","1","5","0","2","0","0"
"0","0","1.5","610140009","0","0","1","0","","0","298","10140","1.4","1","5","0","3","0","0"
"0","-33","5.5","610142007","0","76","1","0","","3","301","10142","1.45","1","5","0","1","0","0"
"0","-40","1.5","610142008","0","0","1","610142502","","3","301","10142","1.23","2","5","0","2","0","600"
"0","-33","1.5","610142009","0","0","1","0","","0","301","10142","1.45","1","5","0","3","0","0"
"0","-33","5.5","610144007","0","65","1","0","","3","304","10144","1","1","5","0","1","0","0"
"0","-40","1.5","610144008","0","0","1","610144502","","3","304","10144","0.85","2","5","0","2","0","600"
"0","-33","1.5","610144009","0","0","1","0","","0","304","10144","1","1","5","0","3","0","0"
"0","-45","5.5","610146007","0","0","1","610146501","","3","307","10146","0.87","2","5","0","1","0","600"
"0","-45","1.5","610146008","0","58","1","0","","0","307","10146","1.18","1","5","0","2","0","0"
"0","-45","1.5","610146009","0","0","1","0","","0","307","10146","1.18","1","5","0","3","0","0"
"0","-50","5.5","610148007","0","0","1","610148501","","3","310","10148","1.4","2","5","0","1","0","600"
"0","-50","1.5","610148008","0","68","1","0","","0","310","10148","1.7","1","5","0","2","0","0"
"0","-50","1.5","610148009","0","0","1","0","","0","310","10148","1.7","1","5","0","3","0","0"
"0","-33","5.5","610150007","0","71","1","0","","3","313","10150","1.35","1","5","0","1","0","0"
"0","-33","1.5","610150008","0","50","1","0","","3","313","10150","1.35","1","5","0","2","0","0"
"0","-33","1.5","610150009","0","0","1","0","","0","313","10150","1.35","1","5","0","3","0","0"
"0","20","5.5","610152007","0","0","1","610152501","","4.8","316","10152","0.7","2","5","0","1","0","600"
"0","30","1.5","610152008","0","81","1","0","","0","316","10152","0.96","1","5","0","2","0","0"
"0","30","1.5","610152009","0","0","1","0","","0","316","10152","0.96","1","5","0","3","0","0"
"0","-33","5.5","610154007","0","68","1","0","","3","319","10154","1.25","1","5","0","1","0","0"
"0","-10","1.5","610154008","0","0","1","610154502","","3","319","10154","1","2","5","0","2","0","600"
"0","-33","1.5","610154009","0","0","1","0","","0","319","10154","1.25","1","5","0","3","0","0"
"0","5","5.5","610156007","0","0","1","610156501","","3","322","10156","0.85","2","5","0","1","0","600"
"0","-10","1.5","610156008","0","75","1","0","","3","322","10156","1.11","1","5","0","2","0","600"
"0","-10","1.5","610156009","0","0","1","0","","0","322","10156","1.11","1","5","0","3","0","0"
"0","-40","5.5","610158007","0","0","1","610158501","","3","325","10158","1.5","2","5","0","1","0","600"
"0","-33","1.5","610158008","0","65","1","0","","0","325","10158","1.75","1","5","0","2","0","0"
"0","-33","1.5","610158009","0","0","1","0","","0","325","10158","1.75","1","5","0","3","0","0"
