5b2b23141fc94f5f8167a64fddb9284afd954789dadfc24fd74501c7e8df373e,dae396486e86f84704ac90824c5e832b9d80628f5482923036132d27ed234323,b007db24d70363aa2d01c136259c5f68cd6593e7b99d07f6f169def78a9ea237,157fa5bcf21eb8d7428ed331036daea1ec69654f09521f23e5e40f4d57d5bb22,c7ee7b7b780907a7216e13856c5115e087a5994167d6ec10784076fff16099dc,b33c217d21fcec2c2a92218f31d5c653ade2a0478f209d9917bcf7affb30b319,e3dec4a7b303e23d86722bdd9090acd5934aa81eb01f24f65900bf78c142eef2,6fd1de045ae3eb27d797519378a7faa924f341ccf07ab7d53db6bc5d439265ce,421033e291a1dd8b0fc3d40d714587b506a9e52a0ea753a46ae0dd7e5ac09e65,7c8b9186298868f3966af802b04efb953be7b0884aa28984f36786f5940421ec,1ca533d06e4d655f51102e765486bcdbb4ccca3dba09765118995ba0d9273e62,fb575b79959c2f625c9d486b0be196f3cb13c8a0fb5be982c672827da230129b,e2022624548ac81b796f2157f5422145c218c16072f16012e139cb2f4432f4c1,9e7b5c11f29188bc15a3896f4e959fada9f7d62516e247a5b423393b1d055da2,f65dce2c1efb7e296504c15cc3c6f299ae169a91c1a9b2c8c9c74b507e8e83a8,d5f31037b9e9936bac30827b19bcf20affd657ef40a0f6c1cbc3b63dad0d2c30,e8c3fc096d762b7f6c0c4d0205218954157d95105946d7de78ddc47fb067b510,84375968a3664ebd96138c1bbe3b87be23e1325c2c552958ebed7c808c573974
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域1層","bgm_M299","90013","bgm_M299","-100","76010001","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域2層","bgm_M299","90013","bgm_M299","-100","76010002","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域3層","bgm_M299","90013","bgm_M299","-100","76010003","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域4層","bgm_M299","90013","bgm_M299","-100","76010004","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域5層","bgm_M299","90013","bgm_M299","-100","76010005","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域6層","bgm_M299","90013","bgm_M299","-100","76010006","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域7層","bgm_M299","90013","bgm_M299","-100","76010007","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域8層","bgm_M299","90013","bgm_M299","-100","76010008","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域9層","bgm_M299","90013","bgm_M299","-100","76010009","-200","0","102271"
"0.85","99011","0","102271","0","0","26202","0.85","-200","霸瞳皇帝的領域10層","bgm_M299","90013","bgm_M299","-100","76010010","-200","0","102271"
