95e221fd4f6ac45f57810c4f44dda0f35f24d3873ffc8f18370d1d9ee54d31e9,c488c569e1b86a131fce3f168af613181b525dccab7f09c57e272a15e4d380a2,2b990ff375bc2e7323eb35c8de3e332da924705e48553d5cec15cda4965bedde,0f56829ad08184da487ba822bddef669cb8fc1fcd934dce2c61606e8d35df25f,c19b0e81c9845215ed178f7f0bcb00d2dc061a64403162265fa0b2081218977d,8a229522747b532438bea774f0cc4b6b4c226cc577ead3aea8bac6e38c8564b9,02bdc47bb4da04c465be20cce860375d310522c1ada8bd02ac50c66774154035,b5ddca44efb161fda9c9274cae25f1832320d924f6ed9cbf5b0bc6c0a179bb8b,1ed0aec45d9fa6db9ebd198494b655efe90319ac4bc1f3f71a6e04aaf8a67efb,09f6edd48d2317058ce8ae6bb11fe1a4c7d9a57bae06cf1ec8a9d5209aedc115,51df688d37e41b0d57861d572bf90342682dd083ebc9a0afb8847bc95472f100,084e50b83ad58644e30c3223060f650a855b6c94ab6fb7a6b3a66b69cf70287f,114530fc4b41a41460026abcdded731716050dd4d3ea9ebaebf5baf67d47bdc1,13fce90cad0b0e2dfaa709967b6ecd8d09331e9203af38a074e219c26617d847,2dfaf53381b8c3b9e8e8297654d7f15fb3e681e4e96ba0b6ddf598329cd468e2,6438af420c41744749a888924e8b28c3a8604443bf9216fbfffcdd6b11fda4f0,25064b62bcacb2682326fca3d7bbdde879fe85b1d93e956a2fa300d5166c9f91,c423d3f19df3a37e6258e888330506988b427ece8d4d3f612fa655474ec69587
"94002","30","2","1001","12","8","91002","300000","150003","100","2","1","8","90005","20004","3","3","4"
"94002","30","4","1001","12","60","91002","400000","150004","150","2","2","8","90005","140001","3","3","4"
"94002","30","2","1001","12","10","91002","500000","150005","150","2","3","8","90005","20004","3","3","4"
"94002","30","4","1001","12","90","91002","750000","150006","200","2","4","8","90005","140001","3","3","4"
"94002","30","2","1001","12","1","91002","1000000","150007","200","2","5","8","90005","21951","3","3","4"
"94002","30","2","1002","12","8","91002","300000","150003","100","2","1","8","90005","20004","3","3","4"
"94002","30","4","1002","12","60","91002","400000","150004","150","2","2","8","90005","140001","3","3","4"
"94002","30","2","1002","12","10","91002","500000","150005","150","2","3","8","90005","20004","3","3","4"
"94002","30","4","1002","12","90","91002","750000","150006","200","2","4","8","90005","140001","3","3","4"
"94002","30","2","1002","12","1","91002","1000000","150007","200","2","5","8","90005","21951","3","3","4"
"94002","100","2","1003","12","8","91002","300000","150003","50","4","1","8","150004","20004","100","3","4"
"94002","50","4","1003","12","60","91002","400000","150005","100","2","2","8","90005","140001","5","3","4"
"0","50","2","1003","0","10","91002","0","150006","100","12","3","8","94002","20004","500000","3","4"
"94002","50","4","1003","12","90","91002","750000","150007","150","2","4","8","90005","140001","10","3","4"
"0","50","2","1003","0","1","91002","0","150008","150","12","5","8","94002","21951","1000000","3","4"
"94002","100","2","1004","12","8","91002","300000","150003","50","4","1","8","150004","20004","100","3","4"
"94002","50","4","1004","12","60","91002","400000","150005","100","2","2","8","90005","140001","5","3","4"
"0","50","2","1004","0","10","91002","0","150006","100","12","3","8","94002","20004","500000","3","4"
"94002","50","4","1004","12","90","91002","750000","150007","150","2","4","8","90005","140001","10","3","4"
"0","50","2","1004","0","1","91002","0","150008","150","12","5","8","94002","21951","1000000","3","4"
"94002","100","2","1005","12","8","91002","300000","150003","50","4","1","8","150004","20004","100","3","4"
"94002","50","4","1005","12","60","91002","400000","150005","100","2","2","8","90005","140001","5","3","4"
"0","50","2","1005","0","10","91002","0","150006","100","12","3","8","94002","20004","500000","3","4"
"94002","50","4","1005","12","90","91002","750000","150007","150","2","4","8","90005","140001","10","3","4"
"0","50","2","1005","0","1","91002","0","150008","150","12","5","8","94002","21951","1000000","3","4"
"94002","100","2","1006","12","8","91002","300000","150004","50","4","1","8","150005","20004","100","3","4"
"94002","50","4","1006","12","60","91002","400000","150006","100","2","2","8","90005","140001","5","3","4"
"0","50","2","1006","0","10","91002","0","150007","100","12","3","8","94002","20004","500000","3","4"
"94002","50","4","1006","12","90","91002","750000","150008","150","2","4","8","90005","140001","10","3","4"
"0","50","2","1006","0","1","91002","0","150009","150","12","5","8","94002","21951","1000000","3","4"
