f0ba7deda90459fc735e4e14dcdfa1ead1d874c090d94356b3ea0bf49a42bd47,ae069a40a85836655932e55fe3cb2a05dfdda1e7e57d9b1140a209733359731e,cd2f479423a7c94d277f9daa8ac1de79b0919118fe78789808fb34ff7075e81d,af6b0596e1ff66c0abdd7c1c0552b6b11603fa5c5b1805e59b7415e3854cf759,0664e7890c7cf83b5112504cf449856210d1ab0feb43e7393e520ad9f6681a13
"1","1001","94002","12","8000000"
"2","1001","90005","2","40"
"3","1002","94002","12","8000000"
"4","1002","90005","2","50"
"5","1003","94002","12","8000000"
"6","1003","90005","2","60"
"7","1004","94002","12","8000000"
"8","1004","90005","2","70"
"9","1005","91002","8","150"
"10","1005","94002","12","8000000"
"11","1005","90005","2","80"
"12","1006","94002","12","8000000"
"13","1006","90005","2","90"
"14","1007","91002","8","300"
"15","1007","94002","12","8000000"
"16","1007","90005","2","100"
"17","2001","94002","12","8000000"
"18","2002","94002","12","8000000"
"19","2003","94002","12","8000000"
"20","2004","94002","12","8000000"
"21","2005","94002","12","8000000"
"22","2006","94002","12","8000000"
"23","2007","94002","12","8000000"
"24","2008","94002","12","8000000"
"25","2009","94002","12","8000000"
"26","2010","94002","12","8000000"
"27","2011","94002","12","8000000"
"28","2012","94002","12","8000000"
"29","2013","94002","12","8000000"
"30","2014","94002","12","8000000"
"31","2015","94002","12","8000000"
"32","7001","94002","12","8000000"
"33","7001","90005","2","5"
"34","7002","94002","12","8000000"
"35","7002","90005","2","5"
"36","7003","94002","12","8000000"
"37","7003","90005","2","5"
"38","7004","94002","12","8000000"
"39","7004","90005","2","10"
"40","7005","94002","12","8000000"
"41","7005","90005","2","10"
"42","7006","94002","12","8000000"
"43","7006","90005","2","10"
"44","7007","94002","12","8000000"
"45","7007","90005","2","15"
"46","7008","94002","12","8000000"
"47","7008","90005","2","15"
"48","7009","94002","12","8000000"
"49","7009","90005","2","15"
"50","7010","94002","12","8000000"
"51","7010","90005","2","20"
"52","7011","94002","12","8000000"
"53","7011","90005","2","20"
"54","7012","94002","12","8000000"
"55","7012","90005","2","20"
"56","7013","94002","12","8000000"
"57","7013","90005","2","25"
"58","7014","94002","12","8000000"
"59","7014","90005","2","25"
"60","7015","94002","12","8000000"
"61","7015","90005","2","25"
"62","7016","94002","12","8000000"
"63","7016","90005","2","30"
"64","7017","94002","12","8000000"
"65","7017","90005","2","30"
"66","7018","94002","12","8000000"
"67","7018","90005","2","30"
"68","7019","94002","12","8000000"
"69","7019","90005","2","35"
"70","7020","94002","12","8000000"
"71","7020","90005","2","35"
"72","7021","94002","12","8000000"
"73","7021","90005","2","35"
"74","7022","94002","12","8000000"
"75","7022","90005","2","40"
"76","8001","94002","12","8000000"
"77","8001","90008","2","1000"
"78","8002","94002","12","8000000"
"79","8002","90008","2","1250"
"80","8003","94002","12","8000000"
"81","8003","90008","2","1500"
"82","8004","94002","12","8000000"
"83","8004","90008","2","1750"
"84","8005","94002","12","8000000"
"85","8005","90008","2","2000"
"86","8006","94002","12","8000000"
"87","8006","90008","2","2250"
"88","8007","94002","12","8000000"
"89","8007","90008","2","2500"
"90","9001","80001","2","50"
"91","9002","80002","2","50"
"92","9003","80003","2","50"
"93","9004","80004","2","50"
"94","9005","80005","2","50"
