488cfe35dad26b5ff90f33913798733e2bb0f37a599f752205eb69a385aab975,a40becd6e54a1047994970ebfcc7b4de5bee72d09d8982ff2e4279865f0373d1,6fc183f57c906ff205949511340a6482afda46a9d89e3df5a6c498441a817858,351b0ab7f5dc671790b368670d68f94cc201f36b0def5c6311ee9e9014d3033b,ab6f52079b1d13bf3d952de64b909660314dd9fbe126b4a9c0dfb21ba5e11f09,44ec32cf852e6054b002cfb6ea61f21526e576d1d6702c751fbc26f7b94d08d0,77332f2c034ddcca9c9b6cec7cd1aa696d0217c9960f639610db10bc37baec1d,44f43d6fc2d86b24d9d1dd9f38daf2a66df14cbf691601f147ca29169a0aa9c3,cedcb4903d2145f124e3f189f4c425b33633413e18416cbb4988d18d55530227,0ae547986787aa3c05738b25fc5e7a89ca979cb02c82bfcfa174504c35d88d52,64ffc5271f8a4322c4b8c14039b9e373e4989334bf444f0cf1bd79885e298670
"0","50079","0","10005","10001","10006","0","0","10002","10003","0"
"0","50084","0","10005","10001","10006","10007","0","10002","10003","0"
"10008","50094","0","10005","10001","10006","10007","0","10002","10003","0"
"10008","50108","0","10005","10001","10006","10007","10009","10002","10003","0"
"10008","50116","0","10005","10001","10006","10007","10009","10002","10003","0"
"10008","50119","0","10005","10001","10006","10007","10009","10002","10003","10010"
"10008","50129","0","10005","10001","10006","10007","10009","10002","10003","10010"
"10008","50140","10011","10005","10001","10006","10007","10009","10002","10003","10010"
"10009","50151","10012","10006","10002","10007","10008","10010","10003","10005","10011"
"0","50162","0","10012","10009","10013","0","0","10010","10011","0"
"0","50172","0","10013","10010","10014","0","0","10011","10012","0"
"0","50183","0","10014","10011","10015","0","0","10012","10013","0"
"0","50190","0","10007","10013","10005","0","0","10014","10015","0"
"0","50195","0","10015","10012","10016","0","0","10013","10014","0"
"0","50200","0","10003","10014","10002","0","0","10015","10016","0"
"0","50217","0","10016","10013","10017","0","0","10014","10015","0"
"0","50231","0","10010","10015","10009","0","0","10016","10017","0"
"0","50237","0","10017","10014","10018","0","0","10015","10016","0"
"0","50248","0","0","10019","0","0","0","0","0","0"
"0","50261","0","0","10011","0","0","0","0","0","0"
"0","50267","0","0","10020","0","0","0","0","0","0"
"0","50278","0","0","10021","0","0","0","0","0","0"
"0","50291","0","0","10006","0","0","0","0","0","0"
"0","50298","0","0","10022","0","0","0","0","0","0"
"0","50309","0","0","10023","0","0","0","0","0","0"
"0","50321","0","0","10024","0","0","0","0","0","0"
"0","50331","0","0","10025","0","0","0","0","0","0"
"0","50341","0","0","10026","0","0","0","0","0","0"
"0","50354","0","0","10027","0","0","0","0","0","0"
"0","50365","0","0","10028","0","0","0","0","0","0"
