a0582e69356d557807743b153e7a62008a406e334def9b30a8f43bbd9f10615e,dc3d627653b9f510d8151b107625759d7dda985638591ef1e71f4675211fd3cf,554c4dd1312aa65b238459234dfb5986bfb5e63c0c32d23e1aa287496da577d3,aa7ad53db97f8e42e730976311a9aba5e90ca16469da3927aa2d08a94c410dd7,446890f16dc2a1b4d53bbdc6a8a7bf7a9e0172e38ea56a02185cff4396b9b79e,6c435e6daff3921d634f698d48cf1191dd52b8561ba17f5646a6cf6978699dfa
"10101001","15","58002001","1","1001","1"
"10101002","15","58002002","1","1002","2"
"10101003","15","58002003","1","1003","3"
"10201001","15","56011001","1","1001","4"
"10201002","15","56011002","1","1002","5"
"10201003","15","56011003","1","1003","6"
"91002","8","56011003","50","0","7"
"10201004","15","56011004","1","1001","8"
"10201005","15","56011005","1","1002","9"
"10201006","15","56011006","1","1003","10"
"91002","8","56011006","50","0","11"
"10201007","15","56011007","1","1001","12"
"10201008","15","56011008","1","1002","13"
"10201009","15","56011009","1","1003","14"
"91002","8","56011009","50","0","15"
"10201010","15","56011010","1","1001","16"
"10201011","15","56011011","1","1002","17"
"10201012","15","56011012","1","1003","18"
"91002","8","56011012","50","0","19"
"10201013","15","56011013","1","1001","20"
"10201014","15","56011014","1","1002","21"
"10201015","15","56011015","1","1003","22"
"91002","8","56011015","50","0","23"
"10201016","15","56011016","1","1001","24"
"10201017","15","56011017","1","1002","25"
"10201018","15","56011018","1","1003","26"
"91002","8","56011018","50","0","27"
"10201019","15","56011019","1","1001","28"
"10201020","15","56011020","1","1002","29"
"10201021","15","56011021","1","1003","30"
"91002","8","56011021","50","0","31"
"10201022","15","56011022","1","1001","32"
"10201023","15","56011023","1","1002","33"
"10201024","15","56011024","1","1003","34"
"91002","8","56011024","50","0","35"
"10201025","15","56011025","1","1001","36"
"10201026","15","56011026","1","1002","37"
"10201027","15","56011027","1","1003","38"
"91002","8","56011027","50","0","39"
"10201028","15","56011028","1","1001","40"
"10201029","15","56011029","1","1002","41"
"10201030","15","56011030","1","1003","42"
"91002","8","56011030","50","0","43"
"10201031","15","56011031","1","1001","44"
"10201032","15","56011032","1","1002","45"
"10201033","15","56011033","1","1003","46"
"91002","8","56011033","50","0","47"
"10201034","15","56011034","1","1001","48"
"10201035","15","56011035","1","1002","49"
"10201036","15","56011036","1","1003","50"
"91002","8","56011036","50","0","51"
"10201037","15","56011037","1","1001","52"
"10201038","15","56011038","1","1002","53"
"10201039","15","56011039","1","1003","54"
"91002","8","56011039","50","0","55"
"10201040","15","56011040","1","1001","56"
"10201041","15","56011041","1","1002","57"
"10201042","15","56011042","1","1003","58"
"91002","8","56011042","50","0","59"
"10201043","15","56011043","1","1001","60"
"10201044","15","56011044","1","1002","61"
"10201045","15","56011045","1","1003","62"
"91002","8","56011045","50","0","63"
"10201046","15","56011046","1","1001","64"
"10201047","15","56011047","1","1002","65"
"10201048","15","56011048","1","1003","66"
"91002","8","56011048","50","0","67"
"10201049","15","56011049","1","1001","68"
"10201050","15","56011050","1","1002","69"
"10201051","15","56011051","1","1003","70"
"91002","8","56011051","50","0","71"
"10201052","15","56011052","1","1001","72"
"10201053","15","56011053","1","1002","73"
"10201054","15","56011054","1","1003","74"
"91002","8","56011054","50","0","75"
"10201055","15","56011055","1","1001","76"
"10201056","15","56011056","1","1002","77"
"10201057","15","56011057","1","1003","78"
"91002","8","56011057","50","0","79"
"10201058","15","56011058","1","1001","80"
"10201059","15","56011059","1","1002","81"
"10201060","15","56011060","1","1003","82"
"91002","8","56011060","50","0","83"
"10201061","15","56011061","1","1001","84"
"10201062","15","56011062","1","1002","85"
"10201063","15","56011063","1","1003","86"
"91002","8","56011063","50","0","87"
"10201064","15","56011064","1","1001","88"
"10201065","15","56011065","1","1002","89"
"10201066","15","56011066","1","1003","90"
"91002","8","56011066","50","0","91"
"10201067","15","56011067","1","1001","92"
"10201068","15","56011068","1","1002","93"
"10201069","15","56011069","1","1003","94"
"91002","8","56011069","50","0","95"
