9656a89883bb140cada000f650c77ce5e7dc51168319251348c31c3f588061c2,7a1d058dd4e29f867daf3c86483823d32af03e7dd38cdce982d7e8decf9d6e43,d0ba5786911bb4bd4c23f0ebb5865222f76e38e9cfe3f496681b2548d824c3ce,2ee9dbef680d7a3f755a3a74731b35dd1cc8471d59e94af7e74626e883b22834,b2f56f80aae80c778b50e04cde887505ab79eabb626a1c2623fda566101c9446,24b66fc52340e434ab943439d0050b8a2408c39ca02c86c44cf065d2e4fb2cb6,7c8b06f5e71d3a46d522108005ebfc10e76e91fe07b2d656b21561f221c37919,7d681cbdfdda6ad6cc9891181b1bf0bfe77f6238788dd763f0556bbbb8a6c6ef,1c6b3feb773c4104771b98ff28d7ca6a92431f706b46360d517acdfa680dc462,e507ad0260c32eb2ed233bba901651bc792d7fd50c9f8531089ce482cfda887f
"22","10001","","53003","2","8","-1","3","2","15"
"22","10002","","53003","1","5","14","3","1","1"
"23","10003","若菜的施捨","52019","0","2","0","3","0","0"
"22","10004","","53003","2","8","-1","4","2","15"
"22","10005","","53003","1","5","14","4","1","1"
"23","10006","若菜的施捨","52019","0","2","0","4","0","0"
"22","10007","","53003","2","8","-1","5","2","15"
"22","10008","","53003","1","5","14","5","1","1"
"23","10009","若菜的施捨","52019","0","2","0","5","0","0"
"22","10010","","53003","2","8","-1","6","2","15"
"22","10011","","53003","1","5","14","6","1","1"
"23","10012","若菜的施捨","52019","0","2","0","6","0","0"
"22","10013","","53003","2","8","-1","7","2","15"
"22","10014","","53003","1","5","14","7","1","1"
"23","10015","若菜的施捨","52019","0","2","0","7","0","0"
"22","10016","","53003","2","8","-1","8","2","15"
"22","10017","","53003","1","5","14","8","1","1"
"23","10018","若菜的施捨","52019","0","2","0","8","0","0"
"22","10019","","53003","2","8","-1","9","2","15"
"22","10020","","53003","1","5","14","9","1","1"
"23","10021","若菜的施捨","52019","0","2","0","9","0","0"
"22","10022","","53003","2","8","-1","10","2","15"
"22","10023","","53003","1","5","14","10","1","1"
"23","10024","若菜的施捨","52019","0","2","0","10","0","0"
