5143b219cf54203d8105e95972ef94ac580158d1c2dac6cf583aa7907d9baafa,2d5ab43154efff6cd83c52009a45554927c70010d316d8d1cbebe62b2846150f,f19ebea471f0ddc3baafc1f6dd707861c988294add1e5a13693d01d2378876b2,5ccd1ff8a8ab93e324c2264bd695d054a87f66b02a057ba2c06c148a3edfad2a,5b00906232b31ba04a257d15285c06de05ae0b7b514fbace1ec1593b725dbb71,ac386f23a857c1cf4124eb95d26ca40d299a3111bd8f3244c6449d8960c7355b,3ebf4bae3d6b26266e49450653ffe96212de7d1e7549f479f18c7d4480a6b37c,e20a5ee84e4472a01be56fc0d86833a07f13d3bfc9a8526efb64fd836c68bcb2
"蘋果","1000100","10001","1","ㄨㄛ","紅色又酸酸甜甜的水果。","1","ㄧㄥ"
"禁忌的果實","1000101","10001","1","ㄕ","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","2","ㄧㄣ"
"智慧之果","1000102","10001","1","ㄨㄛ","吃了可以增強記憶力，提高智能的水果。","2","ㄓ"
"黑猩猩","1000200","10002","1","ㄧㄥ","又強又黑還很強壯。最愛香蕉的生物。","1","ㄟ"
"靈長類","1000201","10002","1","ㄟ","動物分類中的一種。","2","ㄧㄥ"
"嗚吼嗚吼","1000202","10002","1","ㄡ","形容大猩猩兇猛叫聲的擬聲語。","2","ㄨ"
"擲岩猴仙","1000203","10002","1","ㄧㄢ","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","3","ㄓ"
"喇叭","1000300","10003","1","ㄚ","統稱特定的銅管樂器的說法。","1","ㄚ"
"小號","1000301","10003","1","ㄠ","銅管樂器中的一種。","2","ㄧㄠ"
"管樂器","1000302","10003","1","ㄧ","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","2","ㄨㄢ"
"鳳梨","1000400","10004","1","ㄧ","生長在溫暖地區，黃色且味道酸甜的水果。","1","ㄥ"
"菠蘿","1000401","10004","1","ㄨㄛ","在某些地區就是這樣叫這種水果的。","1","ㄛ"
"旺來","1000402","10004","1","ㄞ","「鳳梨」的台語讀音。","1","ㄨㄤ"
"紅寶石","1000500","10005","1","ㄕ","也有人稱其為寶石女王，鮮艷的紅色寶石。","1","ㄨㄥ"
"寶石","1000501","10005","1","ㄕ","用在裝飾品中，既美麗又珍貴的礦物。","1","ㄠ"
"魔法石","1000502","10005","1","ㄕ","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","2","ㄛ"
"秋乃的胸針","1000503","10005","1","ㄣ","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","3","ㄧㄡ"
"紫藤紅輝石","1000504","10005","1","ㄕ","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","3","ㄗ"
"啤酒","1000600","10006","1","ㄧㄡ","用穀物釀成的酒類。","1","ㄧ"
"酒杯","1000601","10006","1","ㄟ","用單手拿著，裝飲料用的容器。","1","ㄧㄡ"
"麥酒","1000602","10006","1","ㄧㄡ","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","2","ㄞ"
"生命之水","1000603","10006","1","ㄨㄟ","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","3","ㄥ"
"弓箭","1000700","10007","1","ㄧㄢ","用弓與箭組成的武器。","1","ㄨㄥ"
"箭矢","1000701","10007","1","ㄕ","「箭」的別種說法。","1","ㄧㄢ"
"遠距離武器","1000702","10007","1","ㄧ","指可以飛得很遠的攻擊型武器。","2","ㄩㄢ"
"邱比特","1000703","10007","1","ㄜ","羅馬神話中的小愛神。","2","ㄧㄡ"
"打獵","1000704","10007","1","ㄧㄝ","獵殺動物的行為。","2","ㄚ"
"狩獵","1000705","10007","1","ㄧㄝ","人類獵殺動物以取得資源的行為。","2","ㄡ"
"音符","1000800","10008","1","ㄨ","在音樂上用來表示音高的記號。","1","ㄧㄣ"
"旋律","1000801","10008","1","ㄩ","音樂中音符的流動。","1","ㄩㄢ"
