d9b45fa2f414fdceaeb2d04111d86a951705e7a0ad4bee57e6e6f7e52a4b68ca,c035048d473a5b3db5f588c83a3566897c368eb5dc8aa6a40332ad476cdfde22,0a1beef63868f55e8fbfc4105de9b7afb9b4a92c97db270a8c1aaa3029c23bc7,9f518a4785f6a44a5ec741f79136af0955ff3680e7ad223f95db592890c679ef,096d9511ca959fc1f4cf8f953b3e716ef6ccb73202659342a9ca770204904e4f,97e03b51f2cc26084e4ebffc9d9c7a29fb617668eeb58ce251c7791afcf4a856,b13db0dfe64ba6a02a69a862bf5978389740ac387c5e64cfe19dd35281c7b701
"10","107601","20004","72004021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"12","108001","20005","72005021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"15","108201","20007","72007021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"17","108501","20009","72009021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"19","108901","20010","72010021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"21","109001","20011","72011021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"22","109301","20013","72013021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"23","110101","20015","72015021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"24","110501","20016","72016021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
"25","111201","20018","72018021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","[3C404E]討伐NORMAL BOSS解放！"
