aeb16684babdffcd419ed3a878ee02c90763b2a99d0f03d9740b8787f86ac279,60a740b7bdd9edd55eaca67d14a3018361f2a3bb6602eed835ebb7179ed924bb,689ce4f69779ae921b9bf94f11a51175997436cce520ff647e5210a90a55612e
"180701","118401","2"
"180701","118301","3"
"180701","118401","4"
"180701","118401","5"
"180701","118301","6"
"180701","118401","7"
"180701","118301","8"
"105701","170101","9"
"105701","170101","10"
"105701","170101","11"
"105701","170101","12"
"180801","120401","2"
"180801","120501","3"
"180801","120601","4"
"180801","120501","5"
"180801","120601","6"
"180801","120501","7"
"180801","120401","8"
"180901","121701","2"
"180901","121801","3"
"180901","121701","4"
"180901","121801","5"
"180901","121701","6"
"180901","121801","7"
"180901","121801","8"
"181001","124401","2"
"181001","124301","3"
"181001","124401","4"
"181001","124401","5"
"181001","124301","6"
"181001","124401","7"
"181001","124301","8"
"181101","128201","2"
"181101","128101","3"
"181101","128201","4"
"181101","128201","5"
"181101","128101","6"
"181101","128201","7"
"181101","128101","8"
