83a166d8f2ef8ef124a4f70455d9fe4cd9ed68735af5054c06181d2a1b7b2525,4569b2989019d92e5f5cb292b3f1d03d676ba1eb1721b95324f5a1f277580eb4,23723ca3696fdfc011dd8a6eaee6c62927c415c2a1b45a553520fac490bb284a,8858c7126f58076d96dd7f2c36307aa0807eb49b52dd3474f43b49179a28646d,a74c5d981073e6402cd082323ba4e3b8bc76778253721385a751824fffb8adc9,cd4bcd2d0efe94254c62ebc55a52acf79ea68d2c0840a9a84251e127e0b69c3d,aba575d56575adcd3bb4a946d6667d464025bb4304435a9e2dbcbdfa59afb160,fab5dd1edb1dc155ba0911840bec8083952227b47f7638cfbcb06131cedd357c,4cd75613b32403dc69799bc17751e5c0061d345dcb25a21d8bfb967e5ca317f9,ec2d878caacb329744ef563f2443534c878ce38eefefb9843d58b7368270d6bf,4e03f5840b721ba5d85ff71ab7ac8d9e7bd91d190306b72cdca6f8fd4cfb8ed2,c734c9332de67499583258383dc8467c21c100a10588e26de7d0d6603ddcab95
"5.5","70","5201321","0","0","5","1","5201322","0","610201102","10201201","1"
"1.5","0","0","15","600","5","3","5201323","3","610201103","10201201","2"
"1.5","0","0","0","0","5","1","0","0","610201104","10201201","3"
"5.5","70","0","0","0","5","1","0","0","610201105","10201501","1"
"1.5","0","0","15","600","5","3","0","3","610201106","10201501","2"
"1.5","0","0","0","0","5","1","0","0","610201107","10201501","3"
"5.5","0","5201331","0","600","5","2","5201332","3","610201152","10201251","1"
"1.5","65","0","0","0","5","1","5201333","0","610201153","10201251","2"
"1.5","0","0","0","0","5","1","0","0","610201154","10201251","3"
"5.5","0","0","0","600","5","2","0","3","610201155","10201551","1"
"1.5","65","0","0","0","5","1","0","0","610201156","10201551","2"
"1.5","0","0","0","0","5","1","0","0","610201157","10201551","3"
"5.5","0","5202321","0","600","5","2","5202322","3","610202102","10202201","1"
"1.5","70","0","0","0","5","1","5202323","0","610202103","10202201","2"
"1.5","0","0","0","0","5","1","0","0","610202104","10202201","3"
"5.5","0","0","0","600","5","2","0","3","610202105","10202501","1"
"1.5","70","0","0","0","5","1","0","0","610202106","10202501","2"
"1.5","0","0","0","0","5","1","0","0","610202107","10202501","3"
"5.5","0","5203321","0","600","5","2","5203322","3","610203102","10203201","1"
"1.5","66","0","0","0","5","1","5203323","0","610203103","10203201","2"
"1.5","0","0","0","0","5","1","0","0","610203104","10203201","3"
"5.5","0","0","0","600","5","2","0","3","610203105","10203501","1"
"1.5","66","0","0","0","5","1","0","0","610203106","10203501","2"
"1.5","0","0","0","0","5","1","0","0","610203107","10203501","3"
