e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"追加吉塔的闇影。","74001102","追加1隻闇影","1","add_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001103","追加3隻闇影","2","add_shadow"
"望的闇影變成★6。","74001104","闇影★6化","3","star6_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001104","追加3隻闇影","4","add_shadow"
"望、吉塔、鏡華的闇影\n變成★6。","74001105","闇影★6化","5","star6_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001105","追加3隻闇影","6","add_shadow"
"追加優花梨的闇影。","74001202","追加1隻闇影","7","add_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001203","追加3隻闇影","8","add_shadow"
"優花梨與優衣的闇影變成★6。","74001204","闇影★6化","9","star6_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001204","追加3隻闇影","10","add_shadow"
"宮子、優花梨、真步、優衣的闇影變成★6。","74001205","闇影★6化","11","star6_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001205","追加3隻闇影","12","add_shadow"
"戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","74001301","Boss魔法傷害降低","13","boss_magic_cut"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","74001302","Boss魔法傷害降低","14","boss_magic_cut"
"追加靜流（夏日）的闇影。","74001302","追加1隻闇影","15","add_shadow"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001303","開始時恢復TP","16","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","74001303","Boss魔法傷害降低","17","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001303","追加2隻闇影","18","add_shadow"
"Boss怪物的必殺技會受到強化。","74001304","Boss UB強化","19","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001304","開始時恢復TP","20","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","74001304","Boss魔法傷害降低","21","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001304","追加2隻闇影","22","add_shadow"
"戰鬥時間變成60秒。","74001305","戰鬥時間限制","23","limit_time"
"Boss怪物的必殺技會受到強化。","74001305","Boss UB強化","24","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001305","開始時恢復TP","25","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","74001305","Boss魔法傷害降低","26","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001305","追加2隻闇影","27","add_shadow"
"戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","74001401","Boss物理傷害降低","28","boss_physics_cut"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","74001402","Boss物理傷害降低","29","boss_physics_cut"
"追加空花（大江戶）的闇影。","74001402","追加1隻闇影","30","add_shadow"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001403","開始時恢復TP","31","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","74001403","Boss物理傷害降低","32","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001403","追加2隻闇影","33","add_shadow"
"Boss怪物的必殺技會受到強化。","74001404","Boss UB強化","34","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001404","開始時恢復TP","35","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","74001404","Boss物理傷害降低","36","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001404","追加2隻闇影","37","add_shadow"
"戰鬥時間變成60秒。","74001405","戰鬥時間限制","38","limit_time"
"Boss怪物的必殺技會受到強化。","74001405","Boss UB強化","39","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001405","開始時恢復TP","40","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","74001405","Boss物理傷害降低","41","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001405","追加2隻闇影","42","add_shadow"
