bada1efdf28be9f293e49fd721aac1b5048d75a390a4364d2914e22697a4f740,ff2b5378c2ff5d481af416b63b9c7b7ed2135d28ff25778e0abd73e817a74ed7,0bd47d484f8a105bb9d95404a9a9f909a11cc157775a937e9eee94daed2909d9,3267cc1c4cbe1493a407aba16d53b39eefedd34249cb201124cbcd7ac387f36c,eee57589fb127a4094eae5fb418f5cf4fe588b5fee929e3c744311753c3db0f2,7fbd7a47919b24b7c3425b8c5d21ce61cd1544d27b92ab959ff6a1c1bc152c45,e1a02e29611fad882cb9627040084919c192d2bd93ea921e6fd2a798228d00eb,6f1df0ed3df0c1c9cccbd6cc6e26fbedd35de97140408e575a3e1983763294cc,b922dcbbb992a5dbb63920b85b35cf978f7dc82292257cbc2b8e5abfd062c53e,4e8e2aac8349ca5b9c266a64cb6d42249ebab93ce3f788075fa134a8673ce569,6aa0e0fcdb044fda9ae830b56ff9e12bc682808e93f01bf7cab149b14e8acb93
"omp_talk_worry","1500","1010001","1","112511","1.8","-140","1","1","-190","0"
"omp_idle_normal","1500","1010002","1","112411","1.8","140","1","1","-190","1"
"","0","1010003","1","1","1","0","31","1","1",""
"","","1010004","1","","","","93","1","",""
"","0","1010005","vo_omp_7001","vo_omp_7001_000","","0","21","1","",""
"","10","1010006","112511","卯月，還好嗎？\n連日在外露營會不會累？","","1","11","1","1",""
"","","1010007","0","","","","91","1","",""
"","1","1010008","112511","omp_idle_worry","0","","3","1","",""
"","1","1010009","112411","omp_talk_joy1","0","","3","1","",""
"","0","1010010","vo_omp_7001","vo_omp_7001_001","","0","21","1","",""
"","10","1010011","112411","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。","","1","11","1","1",""
"","","1010012","0","","","","91","1","",""
"","1","1010013","112411","omp_psn_20","0","","3","1","",""
"","1","1010014","112511","omp_talk_normal","0","","3","1","",""
"","0","1010015","vo_omp_7001","vo_omp_7001_002","","0","21","1","",""
"","10","1010016","112511","這樣啊，\n卯月妳好像無論何時都很開心呢。","","1","11","1","1",""
"","","1010017","0","","","","91","1","",""
"","1","1010018","112511","omp_idle_normal","0","","3","1","",""
"","1","1010019","112411","omp_talk_sad","0","","3","1","",""
"","0","1010020","vo_omp_7001","vo_omp_7001_003","","0","21","1","",""
"","10","1010021","112411","難道說……\n小凜妳不開心嗎？","","1","11","1","1",""
"","","1010022","0","","","","91","1","",""
"","1","1010023","112411","omp_idle_sad","0","","3","1","",""
"","0","1010024","112511","omp_surprise","0","omp_idle_surprise1","3","1","1","0.1"
"","0","1010025","vo_omp_7001","vo_omp_7001_004","","0","21","1","",""
"","10","1010026","112511","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","","1","11","1","1",""
"","","1010027","2.5","1","","","93","1","",""
"","1","1010028","112511","omp_talk_normal","0.2","","3","1","",""
"","","1010029","1010026","","","","91","1","",""
"","1","1010030","112511","omp_idle_normal","0","","3","1","",""
"","1","1010031","112411","omp_talk_joy2","0","","3","1","",""
"","0","1010032","vo_omp_7001","vo_omp_7001_005","","0","21","1","",""
"","10","1010033","112411","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","","1","11","1","1",""
"","","1010034","0","","","","91","1","",""
"","1","1010035","112511","0","","","4","1","",""
"","1","1010036","112411","omp_psn_20","0","","3","1","",""
"","1","1010037","112511","omp_idle_normal","0","","3","1","",""
"","0","1010038","vo_omp_7001","vo_omp_7001_006","","0","21","1","",""
"","10","1010039","112511","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","","1","11","1","1",""
"","","1010040","0","","","","91","1","",""
"","","1010041","0.4","","","","93","1","",""
"omp_idle_normal","1600","1020001","1","112511","1.8","-180","1","2","-195","0"
"omp_talk_normal","1500","1020002","1","112411","1.8","20","1","2","-190","1"
"omp_idle_normal","1600","1020003","1","112611","1.8","220","1","2","-205","1"
"","0","1020004","1","1","1","0","31","2","1",""
"","","1020005","1","","","","93","2","",""
"","0","1020006","vo_omp_7002","vo_omp_7002_000","","0","21","2","",""
"","10","1020007","112411","貪吃佩可的魔物料理，\n真的很美味呢♪","","1","11","2","1",""
"","","1020008","0","","","","91","2","",""
"","","1020009","112411","0","","","4","2","",""
"","1","1020010","112411","omp_idle_normal","0","","3","2","",""
"","1","1020011","112611","omp_talk_joy1","0","","3","2","",""
"","0","1020012","vo_omp_7002","vo_omp_7002_001","","0","21","2","",""
"","10","1020013","112611","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","","1","11","2","1",""
"","","1020014","0","","","","91","2","",""
"","1","1020015","112611","omp_idle_joy1","0","","3","2","",""
"","1","1020016","112411","omp_talk_surprise1","0","","3","2","",""
"","0","1020017","vo_omp_7002","vo_omp_7002_002","","0","21","2","",""
"","10","1020018","112411","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","","1","11","2","1",""
"","","1020019","0","","","","91","2","",""
"","","1020020","112411","1","","","4","2","",""
"","1","1020021","112411","omp_idle_surprise1","0","","3","2","",""
"","1","1020022","112511","omp_talk_normal","0","","3","2","",""
"","0","1020023","vo_omp_7002","vo_omp_7002_003","","0","21","2","",""
"","10","1020024","112511","味道超乎想像呢，\n我是指好的方面。","","1","11","2","1",""
"","","1020025","0","","","","91","2","",""
"","1","1020026","112511","omp_talk_sad","0","","3","2","",""
"","0","1020027","vo_omp_7002","vo_omp_7002_004","","0","21","2","",""
"","10","1020028","112511","可是在料理魔物的時候，\n嗯，該怎麼說……","","1","11","2","1",""
