5748547e0d43ca1b4d325ee0e9b7f0d44132a7d140623ebba57557b5b0825b5f,ed13cd69c69b72f7ad79bd1287dc6db8337672e8aa79e8ac4eb0918a903623ea,130c058e9e69e517e739b4cdca4e6f48279e165ca077cd9924c694f99ddb6a31,7b94f528e26c7732fe35280a1594092548b9a36231402d8a052f1931cf3538b4,3648689aa5618e35df60a9873921260c4e33f31128124edf5e835e572f996a15,85bcaa7ec86866f271df770c8d200874e7070dea0767a7eecec970e1870abd06,a7f530fae1ab984de40eca44259fa187b12a5efe07ec8208ccf3ecde8b6419ea
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20004","107601","10","72004021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20005","108001","12","72005021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20007","108201","15","72007021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20009","108501","17","72009021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20010","108901","19","72010021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20011","109001","21","72011021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20013","109301","22","72013021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20015","110101","23","72015021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20016","110501","24","72016021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20018","111201","25","72018021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20020","111601","26","72020021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20021","112101","27","72021021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20022","112301","28","72022021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20025","113001","29","72025021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20026","113201","30","72026021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20027","113501","31","72027021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20029","114101","32","72029021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20031","114601","33","72031021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20032","114701","34","72032021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20033","115601","35","72033021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20035","115801","36","72035021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20038","116801","37","72038021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20040","117401","38","72040021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20042","117801","39","72042021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20044","119201","40","72044021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20045","120801","41","72045021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20047","121201","42","72047021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20051","122101","43","72051021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20052","122401","44","72052021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20053","122801","45","72053021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20055","123501","46","72055021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20057","124101","47","72057021","討伐NORMAL BOSS解放！"
"[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20058","124701","48","72058021","討伐NORMAL BOSS解放！"
