095d817c4734483a05a4558c406da000333d669e3c9d86cbc7aa60f9c2da8d29,b4a7de63af766431bce4a2d3ae8e684fe20c00d799a6a9cefc9840cb10f8479e,283340f9a4f7cea23fa8f0e7f9b762b375a6fc2ff15fff69cde1e53794884507,8d103d909c525e402eb185d54d99bfb2a0354f961d878280c00565d13210e988,907fad2ee87327e1f7b3b6946cfde839d3b33398f7c3ec9c9ca2a02d73315a57,0e1994da694e78c30f092af857ca7ff4b8002329dc442c920fb4d740b62bda19,6e77b7b0065464bc73f1df3db3abaad602de53da4818bd9d53719de72444c085,3f28a1e7294ea408ec5d382e579969636499f96a11996a2295b3f7e6bf68e572,15dc1b739e7a6b5a36000f0f2bb36e5b10b0272b77050b6b41bde064fa6377bb,866f3ab18c31960fac3098bd4bcbc53ea6ddb955931f95cf9f7771dde83c298e,44ef8a92a4caa5f424170ab93a465eb75d9e114db712bc2c2d860942a11b510a,a058c07aa678a4e6c67062f2bfd667265af3476bfe45a7303dfc3b8a56f61f88
"0","1007001","1","0","100700101","1","0","4","0","0","0","0.8"
"0","1007001","0","vo_svd","100700102","2","vo_svd_0101","2","0","0","0","0"
"1","1007001","0","0","100700103","3","0","1","0","300","1.684","0"
"0","1007001","1","0","100700104","4","0","4","0","0","0","1.949"
"2","1007001","0","0","100700105","5","0","1","15","327","1.363","0"
"0","1007001","1","0","100700106","6","0","4","0","0","0","3.027"
"0","1007001","0","vo_svd","100700107","7","vo_svd_0102","2","0","0","0","0"
"3","1007001","0","0","100700108","8","0","1","0","441","1.69","0"
"0","1007001","1","0","100700109","9","0","4","0","0","0","1.7"
"4","1007001","0","0","100700110","10","0","1","0","478","1.446","0"
"0","1007001","1","0","100700111","11","0","4","0","0","0","1.722"
"5","1007001","0","0","100700112","12","0","1","0","478","1.245","0"
"0","1007001","1","0","100700113","13","0","4","0","0","0","0.417"
"5","1007001","0","0","100700114","14","0","1","478","478","0.864","0"
"0","1007001","1","0","100700115","15","0","4","0","0","0","2.482"
"0","1007001","0","vo_svd","100700116","16","vo_svd_0103","2","0","0","0","0"
"6","1007001","0","0","100700117","17","0","1","0","420","2.352","0"
"0","1007001","1","0","100700118","18","0","4","0","0","0","1.694"
"7","1007001","0","0","100700119","19","0","1","0","268","0.953","0"
"0","1007001","1","0","100700120","20","0","4","0","0","0","2.5"
"0","1007002","1","0","100700201","1","0","4","0","0","0","0.8"
"0","1007002","0","vo_svd","100700202","2","vo_svd_0201","2","0","0","0","0"
"1","1007002","0","0","100700203","3","0","1","0","237","0.865","0"
"0","1007002","1","0","100700204","4","0","4","0","0","0","1.516"
"2","1007002","0","0","100700205","5","0","1","0","314","1.013","0"
"0","1007002","1","0","100700206","6","0","4","0","0","0","0.973"
"2","1007002","0","0","100700207","7","0","1","314","314","0.755","0"
"0","1007002","1","0","100700208","8","0","4","0","0","0","2.018"
"0","1007002","0","vo_svd","100700209","9","vo_svd_0202","2","0","0","0","0"
"3","1007002","0","0","100700210","10","0","1","0","76","0.541","0"
"0","1007002","1","0","100700211","11","0","4","0","0","0","0.517"
"3","1007002","0","0","100700212","12","0","1","76","330","0.992","0"
"0","1007002","1","0","100700213","13","0","4","0","0","0","0.792"
"4","1007002","0","0","100700214","14","0","1","0","0","0.751","0"
"0","1007002","1","0","100700215","15","0","4","0","0","0","1.887"
