e0b048399d91158975c0fd134d299445c36e75f1b7e1c368361584b171299686,7b72736962b30dfe1fe77ea19949a475847ca179303427472c48a5c6531f6819,3ef72dbb17496458361fb7c28ccaae6b7a543b418eaf9c0c298dab0a2ea25836,eec7d730df1c5f445a8f5da6637785f9bee05c38ea004a7145bde34e90081bed,478eb9cbc29e6442baa7b4932d9ebef0f117df2497c21ac2a9aa9e11bedd8f0e
"135","1","300","1","1"
"425","1","-100","1","2"
"-100","1","125","2","3"
"375","1","-415","2","4"
"25","1","-50","3","5"
"-25","1","-300","3","6"
"-195","1","-335","4","7"
"105","1","-415","4","8"
"135","1","-160","5","9"
"345","1","-40","6","10"
"-230","1","90","7","11"
"230","1","-420","8","12"
"30","1","250","9","13"
"280","1","-245","10","14"
"-150","1","-110","11","15"
