abb0d80554843582ade6e3df9b4d94e823d418623c7fc813ca5cc8c9182cf693,f1b8b27b85c94588d1c6b8801993d2c235b2292caeafb375eae45bccc7c9ca3c,f1f196e9c70762cbc9cce864c2a2c5ec96b7daf6ab3c0bbd488beda079419d07,c955bbc13cd817783fb3c3704de234dfc3f87d40362ea7c1ec7dc8ba4753bf6f,d6ed9b0c2e324a4fa780f388dd90433e1a681b8fbf4da5e4d881003e55660890,3c80b7bbb9256493bbf717d450e9124d04c1839474352106d7f080a2f50689c8,76ac44162c6c38a160bdf29039f86d1bf0ec2c31c7edf46b0ed71802210afae2,b4164ea75ee56b3f9fdf03d5066efb0a8e47485008c3b8e2e0ef92cb52c46508,0d27dcdfa2e87a3f65da80507e0d073a8a7c5dff04425a49840c2ea7b303e84b,c713e3395a0a71554ad9646286599f14ad1865f55d94733058b21205d3f50b10,6a7ceb29eb8d86ccefd3f890f68e576705ed05a92ae759bd365ab9a60d013757,cc016c2f26260943fe3a6b8afb7696d1e192361537163c93ee12099384c3c75f
"vo_10020900_0001","0","0","1","2","0","1010001","0","0","1","0","vo_10020900"
"0","0.818181818181818","180","2","1","0","1010002","0","0","1","1","0"
"0","0","0","3","4","0.818181818181818","1010003","1","0","1","1","0"
"0","0.634285714285714","226","4","1","0","1010004","0","0","1","2","0"
"0","0","0","5","4","1.03428571428571","1010005","1","0","1","2","0"
"0","1.33714285714286","460","6","1","0","1010006","0","226","1","2","0"
"0","0","0","7","4","2.13714285714286","1010007","1","0","1","2","0"
"vo_10020900_0002","0","0","8","2","0","1010008","0","0","1","0","vo_10020900"
"0","1.12948051948052","132","9","1","0","1010009","0","0","1","3","0"
"0","0","0","10","4","2.12948051948052","1010010","1","0","1","3","0"
"vo_10020900_0003","0","0","11","2","0","1010011","0","0","1","0","vo_10020900"
"0","0.545454545454545","271","12","1","0","1010012","0","132","1","3","0"
"0","0","0","13","4","1.04545454545455","1010013","1","0","1","3","0"
"0","1.71545454545455","700","14","1","0","1010014","0","271","1","3","0"
"0","0","0","15","4","2.71545454545455","1010015","1","0","1","3","0"
"vo_10020900_0004","0","0","16","2","0","1010016","0","0","1","0","vo_10020900"
"0","1.67857142857143","244","17","1","0","1010017","0","0","1","4","0"
"0","0","0","18","4","2.17857142857143","1010018","1","0","1","4","0"
"vo_10020900_0005","0","0","19","2","0","1010019","0","0","1","0","vo_10020900"
"0","1.28311688311688","715","20","1","0","1010020","0","244","1","4","0"
"0","0","0","21","4","1.98311688311688","1010021","1","0","1","4","0"
"0","1.2987012987013","214","22","1","0","1010022","0","0","1","5","0"
"0","0","0","23","4","1.9987012987013","1010023","1","0","1","5","0"
"0","2.07792207792208","603","24","1","0","1010024","0","214","1","5","0"
"0","0","0","25","4","3.07792207792208","1010025","1","0","1","5","0"
"vo_10020900_0006","0","0","26","2","0","1010026","0","0","1","0","vo_10020900"
"0","1.06363636363636","241","27","1","0","1010027","0","0","1","6","0"
"0","0","0","28","4","1.56363636363636","1010028","1","0","1","6","0"
"0","2.96","750","29","1","0","1010029","0","241","1","6","0"
"0","0","0","30","4","3.96","1010030","1","0","1","6","0"
"vo_10020900_0007","0","0","31","2","0","1010031","0","0","1","0","vo_10020900"
"0","0.386363636363636","85","32","1","0","1010032","0","0","1","7","0"
"0","0","0","33","4","0.886363636363636","1010033","1","0","1","7","0"
"0","3.54090909090909","750","34","1","0","1010034","0","85","1","7","0"
"0","0","0","35","4","4.54090909090909","1010035","1","0","1","7","0"
"vo_10020900_0008","0","0","36","2","0","1010036","0","0","1","0","vo_10020900"
"0","0.431818181818182","138","37","1","0","1010037","0","0","1","8","0"
"0","0","0","38","4","1.03181818181818","1010038","1","0","1","8","0"
"vo_10020900_0009","0","0","39","2","0","1010039","0","0","1","0","vo_10020900"
"0","0.709090909090909","349","40","1","0","1010040","0","138","1","8","0"
"0","0","0","41","4","1.30909090909091","1010041","1","0","1","8","0"
"vo_10020900_0010","0","0","42","2","0","1010042","0","0","1","0","vo_10020900"
"0","3.07662337662338","750","43","1","0","1010043","0","349","1","8","0"
"0","0","0","44","4","4.07662337662338","1010044","1","0","1","8","0"
"vo_10020900_0011","0","0","45","2","0","1010045","0","0","1","0","vo_10020900"
"0","1.43506493506493","242","46","1","0","1010046","0","0","1","9","0"
"0","0","0","47","4","2.43506493506493","1010047","1","0","1","9","0"
"vo_10020900_0012","0","0","48","2","0","1010048","0","0","1","0","vo_10020900"
"0","2.75","754","49","1","0","1010049","0","242","1","9","0"
"0","0","0","50","4","3.95","1010050","1","0","1","9","0"
"vo_10020900_0013","0","0","51","2","0","1010051","0","0","1","0","vo_10020900"
"0","1.67792207792208","556","52","1","0","1010052","0","313","1","10","0"
"0","0","0","53","4","2.27792207792208","1010053","1","0","1","10","0"
"0","0.9","750","54","1","0","1010054","0","556","1","10","0"
