57f3ee1932ac12b103f9956a9e76b0892a577f45409e3bc28466030d7e94b7b6,00465eb272504e8ffda03316f377106e03b0bd55d298962a1a9c132804ecb934,d5d6154eb483c8c5e5c5c7673c85fdb85cd9d32fd5e6f879f190900ac3e90452,1b6c07e9172742e06a3340db988d0dd4371ccd7fdca13793aca5f082cd1dad58,d66bc03c4de688e056619fd570f7ca14b9dda422e21100d3f84299ce46e36a5b,c4b7f6e2baa3261bb11d7d277581aa42e3122351728ddfae3a9c506d6aedcb41,72a0b5100b73e18349cfb1f26bcd561d05d159cbbe8040a91ede57a13261fa2e,3ca452f85629827d6cb190c0f8df42d71e7455beb66f24f149e405cd345740a4,6608bb2bf3d8a7efa6eed90098c603da8bdafc1560561f44d06128a19e365da2,a17a70e1700638ff5fbe4ac8f00754b9bf9a0c47d1e84716b67ccc5a26103a48,cac484bdbffa857ae8b5ba8e8e64290917519137e51468713514b6f8c6bb1cd0,103d20a3eacea53bd71fc4af7b99f4742312c734faf17cd9d6184968f1e8c1c8,7081fd560a4e984a3e86c210f3a7efff459030903313141701807780b6b29a3b,c46a95a67934cb9fc3c8ca4414b322fbc59189bc995189df3d41404508ab406e,98f2ec4a03d168f283e177f7f329efd3a047d44043fcfe2633733c081b63fdfe
"偶爾參加共鬥\n好像也不錯吼？\n我也助你一臂之力吧。","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","7001","7","1","0","2099/12/17 14:59:59"
"似乎可以和許多人\n協力戰鬥呢。\n要是主人的話，\n想必能夠非常活躍吧。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","7002","7","1","0","2099/12/17 14:59:59"
"和許多人一起\n共同戰鬥！\n一起加油吧☆　","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","7003","7","1","0","2099/12/17 14:59:59"
"用寶石可以換食物…\n不對，是換貴重物品啦！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","10001","10","1","0","2099/12/17 14:59:59"
"寶石要好好想清楚\n再使用哦！\n別亂花喔！","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","10002","10","1","0","2099/12/17 14:59:59"
"用主人的寶石\n可以買到各種貴重的物品\n雖然如此，浪費還是\n『壞壞』呦。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","10003","10","1","0","2099/12/17 14:59:59"
"只要有寶石\n似乎就能交換貴重物品\n珍惜著使用吧","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","10004","10","1","0","2030/12/17 14:59:59"
"達到特定條件的話\n可以得到報酬喔！\n一起加油吧♪　","-416.5","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","12001","12","1","0","2099/12/17 14:59:59"
"雖然經歷了各種事，\n回頭一看，\n感覺卻挺不賴吶？","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","13001","13","1","0","2099/12/17 14:59:59"
"和主人度過的快樂每一天……\n到這裡可以隨意\n想回想幾次就回想幾次♪　","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","13002","13","1","0","2099/12/17 14:59:59"
"裡頭裝有許多\n和大家一起的重要回憶呢\n希望能跟各位一同回想\n雋刻於心上","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","13003","13","1","0","2099/12/17 14:59:59"
"看到你有很多\n和女生共度的回憶哦！\n嗚呼嗚呼♪\n你很受歡迎呢☆","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","13004","13","1","0","2099/12/17 14:59:59"
"這是可以獲得培育\n所需的道具的冒險。\n為了主人，在下\n一定會變強的呦","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","14001","14","1","0","2099/12/17 14:59:59"
"只要攻略這個冒險，\n似乎就能取得道具。\n為了變得更強，\n要拚命努力啊！","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","14002","14","1","0","2099/12/17 14:59:59"
"攻略這個冒險的話，\n可以得到道具哦\n蒐集許多道具，變得\n越來越強吧！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","14003","14","1","0","2099/12/17 14:59:59"
