8aea27db12a009b0096bac81f624af8dbae8b8a5ab0bb7f7fd21c9edbdd8ab28,d1b467a0d3fc301633662882e129fd83094582ab1426b45c3f8ee7fae7ab4f92,194868ff47ec06310473a08e90c085373bf1bd186a1dc02d54a592f0f4950737,86f49f3871c24982a4d0207e3dbca4f5a4d478f5202c54796c07baa74ddd7e11,cc2ad50600021101aa9401214deeafcb48ba710d0cb6b5e0f7a1250db98b358c
"1","0","1","2700","1"
"2","0","1","3600","2"
"3","0","1","5400","3"
"4","1","1","3600","1"
"5","1","1","5400","2"
"6","1","1","7200","3"
"7","0","2","1800","1"
"8","0","2","2700","2"
"9","0","2","3600","3"
"10","1","2","2700","1"
"11","1","2","4050","2"
"12","1","2","5400","3"
"13","0","3","1800","1"
"14","0","3","2700","2"
"15","0","3","3600","3"
"16","1","3","2700","1"
"17","1","3","4050","2"
"18","1","3","5400","3"
"19","0","4","1800","1"
"20","0","4","2700","2"
"21","0","4","3600","3"
"22","1","4","2700","1"
"23","1","4","4050","2"
"24","1","4","5400","3"
