f3d2b0834fd61a39f05c4d8728594de0798ac808d93387a676a91555de925e7c,0e0831ef63acfa0e1057719288b2a26428c3699c37dbd7a73ebca99ece909b63,8120a55ba250b814958d4171d3b2248b101d2d8e0563cb4f343122e4c21769a6,2b2e1de31b3a43f6aa6d08517919701c35e66b66e21068ca97857f621535dbc1
"1","1","1","2500"
"2","1","2","2000"
"3","1","107","2000"
"4","1","4","2000"
"5","1","3","1000"
"6","1","110","1000"
"7","1","5","1000"
"8","1","6","2000"
"9","1","105","2000"
"10","1","7","2000"
"11","3","1000","0"
"12","1","100","20"
"13","1","108","1000"
"14","1","101","20"
"15","1","102","5"
"16","1","109","1000"
"17","1","103","5"
"18","1","1","500"
"19","2","2000","0"
"20","1","1","500"
"21","5","25","0"
"22","1","2","3000"
"23","1","107","3000"
"24","1","4","3000"
"25","1","3","1500"
"26","1","110","1500"
"27","1","5","1500"
"28","1","6","3000"
"29","1","105","3000"
"30","1","7","3000"
"31","6","1","0"
"32","1","100","30"
"33","1","108","1500"
"34","1","101","30"
"35","1","102","10"
"36","1","109","1500"
"37","1","103","10"
"38","1","1","500"
"39","2","3000","0"
"40","1","1","500"
"41","4","50","0"
