2d93176a29139608895cad6af3865de37d0a1338b2ca5ddb69630f6c3fcdca10,82211606f094a156e0364537769d765674f14c8ded68cdf6cb7fecb02b7fe0e8,b769a37d43d51aaf9c07de9985808ae68400afa23ff105373bb5a6792126afc0,4ed150c91a81258aacf5fe51ac7b56d7be266ec4eeac9e64eb004f65c66e48a5,4f270ae39a4246f671accf6c0567905bbc186f8b71326ce804d3ceec4fe780d7,fadb473091d60bb0d2f73bfc63c9d98c5dfe8a5e4bd0644f980c24cc4c9eb0ac
"自動","1","","1","2019/02/15 15:00:00","1"
"預設","2","","2","2019/02/15 15:00:00","2"
"周年","3","","3","2020/08/03 16:00:00","3"
"粉紅色","1","","4","2020/04/20 12:00:00","4"
"紅色","1","","5","2020/04/20 12:00:00","5"
"黃色","1","","6","2020/04/20 12:00:00","6"
"綠色","1","","7","2020/04/20 12:00:00","7"
"淺藍色","1","","8","2020/04/20 12:00:00","8"
"藍色","1","","9","2020/04/20 12:00:00","9"
"紫色","1","","10","2020/04/20 12:00:00","10"
"灰色","1","","11","2020/04/20 12:00:00","11"
