d2d68143dd10634f28c489c5b76743ee1980c08bd0a9dfb35d26bfecfa41a30e,ececf26a1579890702644c786f7977e6c33e9c9f0bf594611ac3cdc11e1d6d49,677702ec80f87cc7f2d61ba3ebb8864d4f9d6a9c76dec9cc7115d4165a650a23,35115b04bdee9ec97cda13833c550cd9d8b01dd3969b4ea78e624796841e1094,bb1d29a55199100cceaa91fd396ac504b788fb851317bb16ff272fe140e536e9,fbe5f4ee81b0311333346bd64b94e21410e0d8a15ab0f23ac9ab34646cc32b42,eedeeac2dd769af39d10e829be1164d0dfb73ac138411dac67a30f720fa25f38,3d82256756cca5e2708f379c07e29bb37f694d013dc425e8513d61a459b78396,1c0c6fb56cfec2fd7489cd4298578f98e9a2494ca2ebead2392535dbb0ae9efd,9114a089026462f0114de968cc61c5603fc73b09c0bebb63058134fc446ce1eb,ef4aeec304870349ab3832a34bfc44e732abfa29988edb5b59708c9c7b700cea
"285001001","2","25015","25021","91002","8","8","1","10","31","2"
"285001002","2","25015","25021","91002","8","8","2","10","31","2"
"285001003","2","25015","25021","91002","8","8","3","10","32","2"
"285001004","2","25015","25021","91002","8","8","4","10","32","2"
"285001005","2","25015","25021","91002","8","8","5","10","33","2"
"285001006","2","25015","25021","91002","8","9","6","10","33","2"
"285001007","2","25015","25021","91002","8","9","7","10","34","2"
"285001008","2","25015","25021","91002","8","9","8","10","35","2"
"285001009","2","25015","25021","91002","8","9","9","10","35","2"
"285001010","2","25015","25021","91002","8","10","10","30","37","2"
"285001011","2","25015","25021","91002","8","10","11","10","41","2"
"285001012","2","25015","25021","91002","8","11","12","10","43","2"
"285001013","2","25015","25021","91002","8","11","13","10","46","2"
"285001014","2","25015","25021","91002","8","12","14","10","48","2"
"285001015","2","25015","25021","91002","8","12","15","10","50","2"
"285001016","2","25015","25021","91002","8","13","16","10","53","2"
"285001017","2","25015","25021","91002","8","14","17","10","55","2"
"285001018","2","25015","25021","91002","8","14","18","10","58","2"
"285001019","2","25015","25021","91002","8","15","19","10","60","2"
"285001020","2","25015","25021","91002","8","15","20","30","62","2"
"285001021","2","25015","25021","91002","8","16","21","10","68","2"
"285001022","2","25015","25021","91002","8","16","22","10","70","2"
"285001023","2","25015","25021","91002","8","16","23","10","72","2"
"285001024","2","25015","25021","91002","8","17","24","10","75","2"
"285001025","2","25015","25021","91002","8","18","25","10","77","2"
"285001026","2","25015","25021","91002","8","18","26","10","79","2"
"285001027","2","25015","25021","91002","8","19","27","10","82","2"
"285001028","2","25015","25021","91002","8","19","28","10","84","2"
"285001029","2","25015","25021","91002","8","19","29","10","86","2"
"285001030","2","25015","25021","91002","8","20","30","30","89","2"
"285001031","2","25015","25021","91002","8","20","31","10","94","2"
"285001032","2","25015","25021","91002","8","21","32","10","96","2"
"285001033","2","25015","25021","91002","8","21","33","10","99","2"
"285001034","2","25015","25021","91002","8","22","34","10","101","2"
"285001035","2","25015","25021","91002","8","22","35","10","103","2"
"285001036","2","25015","25021","91002","8","23","36","10","106","2"
"285001037","2","25015","25021","91002","8","23","37","10","108","2"
"285001038","2","25015","25021","91002","8","24","38","10","111","2"
"285001039","2","25015","25021","91002","8","25","39","10","113","2"
"285001040","2","25015","25021","91002","8","25","40","30","115","2"
"285001041","2","25015","25021","91002","8","26","41","10","121","2"
"285001042","2","25015","25021","91002","8","27","42","10","123","2"
"285001043","2","25015","25021","91002","8","28","43","10","125","2"
"285001044","2","25015","25021","91002","8","28","44","10","128","2"
"285001045","2","25015","25021","91002","8","29","45","10","130","2"
"285001046","2","25015","25021","91002","8","30","46","10","132","2"
"285001047","2","25015","25021","91002","8","30","47","10","135","2"
"285001048","2","25015","25021","91002","8","31","48","10","137","2"
"285001049","2","25015","25021","91002","8","31","49","10","139","2"
"285001050","2","25015","25021","91002","8","31","50","30","142","2"
"285001051","2","25015","25021","91002","8","32","51","10","144","2"
"285001052","2","25015","25021","91002","8","32","52","10","146","2"
"285001053","2","25015","25021","91002","8","32","53","10","149","2"
"285001054","2","25015","25021","91002","8","33","54","10","152","2"
"285001055","2","25015","25021","91002","8","33","55","10","155","2"
"285001056","2","25015","25021","91002","8","33","56","10","157","2"
"285001057","2","25015","25021","91002","8","34","57","10","160","2"
"285001058","2","25015","25021","91002","8","34","58","10","163","2"
"285001059","2","25015","25021","91002","8","34","59","10","166","2"
"285001060","2","25015","25021","91002","8","35","60","30","169","2"
"285001061","2","25015","25021","91002","8","35","61","10","171","2"
"285001062","2","25015","25021","91002","8","35","62","10","174","2"
"285001063","2","25015","25021","91002","8","36","63","10","177","2"
"285001064","2","25015","25021","91002","8","36","64","10","180","2"
"285001065","2","25015","25021","91002","8","36","65","10","182","2"
"285001066","2","25015","25021","91002","8","37","66","10","185","2"
"285001067","2","25015","25021","91002","8","37","67","10","187","2"
"285001068","2","25015","25021","91002","8","37","68","10","190","2"
"285001069","2","25015","25021","91002","8","38","69","10","193","2"
"285001070","2","25015","25021","91002","8","38","70","30","196","2"
"285001071","2","25015","25021","91002","8","39","71","10","200","2"
"285001072","2","25015","25021","91002","8","39","72","10","204","2"
"285001073","2","25015","25021","91002","8","40","73","10","208","2"
"285001074","2","25015","25021","91002","8","40","74","10","212","2"
"285001075","2","25015","25021","91002","8","41","75","10","216","2"
"285001076","2","25015","25021","91002","8","41","76","10","220","2"
"285001077","2","25015","25021","91002","8","42","77","10","224","2"
"285001078","2","25015","25021","91002","8","42","78","10","228","2"
"285001079","2","25015","25021","91002","8","43","79","10","232","2"
"285001080","2","25015","25021","91002","8","43","80","30","236","2"
"285001081","2","25015","25021","91002","8","44","81","10","240","2"
"285001082","2","25015","25021","91002","8","44","82","10","244","2"
"285001083","2","25015","25021","91002","8","45","83","10","248","2"
"285001084","2","25015","25021","91002","8","45","84","10","252","2"
"285001085","2","25015","25021","91002","8","46","85","10","256","2"
"285001086","2","25015","25021","91002","8","46","86","10","260","2"
"285001087","2","25015","25021","91002","8","47","87","10","264","2"
"285001088","2","25015","25021","91002","8","47","88","10","268","2"
"285001089","2","25015","25021","91002","8","48","89","10","272","2"
"285001090","2","25015","25021","91002","8","48","90","30","276","2"
"285001091","2","25015","25021","91002","8","49","91","10","280","2"
"285001092","2","25015","25021","91002","8","49","92","10","284","2"
"285001093","2","25015","25021","91002","8","50","93","10","288","2"
"285001094","2","25015","25021","91002","8","50","94","10","292","2"
"285001095","2","25015","25021","91002","8","51","95","10","296","2"
"285001096","2","25015","25021","91002","8","51","96","10","300","2"
"285001097","2","25015","25021","91002","8","52","97","10","304","2"
"285001098","2","25015","25021","91002","8","52","98","10","308","2"
"285001099","2","25015","25021","91002","8","53","99","10","312","2"
"285001100","2","25015","25021","91002","8","53","100","30","316","2"
