2608222f93d1e57c7f3345067343a6c44aa347f8888d4e1c6a9dd7cf4c2314d1,f2223e1d99663fc5045a6ba933b00d63b6794c8e36e3ef981ee72152b95f1b5a,445793a0cc5eb66935775c9b43590c67e706863f6c67962bc2d8e6b1962d22ea,2264655a6c014a3ac92c283e28a8814782dd703347ab57acb567e1cafb66ed3d,973948a7f4434ca5630387a12b4af416e25b9387a8ad02b58eefd412a7c106d5,9c5183d1e757b6a2490d0c9bc03f8634ac32ab902b156154e317a9080fc27b8e,be466cc0bd6430ab2108ad6052e727e707738e78f250a8b3966df88965ac5a4f,c1d9998991d666e08b544db76c056feba3bdc880b59b31d97d65e3e75dc29c5b,cee80dc56b2232b2d2062e8616f07bdcdf7a7143005f4016e130e0bad2e4f552,676b3df556f251e27be9982efd091f91201af7154a172fb6d47712818b0ded82,7f26b50f68a1a0583a7ef873a325e76e256c64f045a2107ebf2ac5afdf4671d1,0bef1300e4da6900bcd8ab77e72d706a5f50c8ecd66b5e7f764a7cb4743aada0,9920098f59e3b6e46c518c49eb9d0677dc0db69895d7bfabece429858040cd98,59afa0ec9e56312472120cae669ff662239566414a6dcf50368f1d94b7abd632,8559a1b06b42c06ac0385728d5d195de000eb8c36a32fd3e8c2a3828ae9f4b4e,88f7138839e95b6659e61a45d466baa5018bae5e252d531133acabde4e6c72a8,849eca648e10e55f86a3106368fe27a835335f80b33b464d5979bda6a474adbe,484b21809fa255dcccc4ffb69b1046c207e3ce66733232541025949fdf7cd15a
"0","0","0","0","0","2000","0","累積獲得分數2000點","20000","12","0","0","0","0","0","94002","0","1"
"0","0","0","0","0","4000","0","累積獲得分數4000點","30000","12","0","0","0","0","0","94002","0","2"
"0","0","0","0","0","8000","0","累積獲得分數8000點","25","8","0","0","0","0","0","91002","0","3"
"0","0","0","0","0","10000","0","累積獲得分數10000點","40000","12","0","0","0","0","0","94002","0","4"
"0","0","0","0","0","12000","0","累積獲得分數12000點","50000","12","0","0","0","0","0","94002","0","5"
"0","0","0","0","0","14000","0","累積獲得分數14000點","20","2","0","0","0","0","0","23001","0","6"
"0","0","0","0","0","18000","0","累積獲得分數18000點","50","8","0","0","0","0","0","91002","0","7"
"0","0","0","0","0","21000","0","累積獲得分數21000點","70000","12","0","0","0","0","0","94002","0","8"
"0","0","0","0","0","24000","0","累積獲得分數24000點","80000","12","0","0","0","0","0","94002","0","9"
"0","0","0","0","0","27000","0","累積獲得分數27000點","75","8","0","0","0","0","0","91002","0","10"
"0","0","0","0","0","35000","0","累積獲得分數35000點","50","2","0","0","0","0","0","23001","0","11"
"0","0","0","0","0","40000","0","累積獲得分數40000點","100","8","0","0","0","0","0","91002","0","12"
"0","0","0","0","0","45000","0","累積獲得分數45000點","100000","12","0","0","0","0","0","94002","0","13"
"0","0","0","0","0","50000","0","累積獲得分數50000點","1","15","0","0","0","0","0","11001086","0","14"
