f7d0f7d9e66381925742e20d9359c7cc0bdb872a2eb6d3360060cd9611a05db0,c4ffd07a6c37fca0ddc47703cecc6cc7c3075dd1048718fcfd806e9f9259a510,567e3abfd5359aa9b5b3f60c5efd3b09cad2418df517500371545d6ea9c27d50,8ca618d76bfb70d85c94365e4feb938c7882e071049fb7d273d98de3877585fd,8b94bef3e408c3484cf6a945e9a15279ec7f43172aaa32632c8183731015ff28,0d2af150a984a649815916444ba75e342cdfae5f2e712b7558c755e6c2db2f94,6a0e92e58939e9bfd37bc44121bfe257e90be3e7f314c7cc741df1813885c451,7818d9a30eb2be0660165a81a0609cefa94f08c88269cbf0f479b9dbfb78402f,42f0c94721dcf58b3958d76ede9564aaff9f36a9ed7377d55c7810bf41e678df
"5000","0","0","0","50","100111","20000","0","30000"
"5000","0","0","0","50","100112","20000","0","30000"
"5000","0","0","0","50","100113","20000","0","30000"
"12500","0","0","0","125","100121","30000","0","45000"
"12500","0","0","0","125","100122","30000","0","45000"
"12500","0","0","0","125","100123","30000","0","45000"
"20000","0","0","0","200","100131","40000","0","60000"
"20000","0","0","0","200","100132","40000","0","60000"
"20000","0","0","0","200","100133","40000","0","60000"
"5000","0","0","0","50","100211","20000","0","30000"
"5000","0","0","0","50","100212","20000","0","30000"
"5000","0","0","0","50","100213","20000","0","30000"
"12500","0","0","0","125","100221","30000","0","45000"
"12500","0","0","0","125","100222","30000","0","45000"
"12500","0","0","0","125","100223","30000","0","45000"
"20000","0","0","0","200","100231","40000","0","60000"
"20000","0","0","0","200","100232","40000","0","60000"
"20000","0","0","0","200","100233","40000","0","60000"
"5000","0","0","0","50","100311","20000","0","30000"
"5000","0","0","0","50","100312","20000","0","30000"
"5000","0","0","0","50","100313","20000","0","30000"
"12500","0","0","0","125","100321","30000","0","45000"
"12500","0","0","0","125","100322","30000","0","45000"
"12500","0","0","0","125","100323","30000","0","45000"
"20000","0","0","0","200","100331","40000","0","60000"
"20000","0","0","0","200","100332","40000","0","60000"
"20000","0","0","0","200","100333","40000","0","60000"
"5000","0","0","0","50","100411","20000","0","30000"
"5000","0","0","0","50","100412","20000","0","30000"
"5000","0","0","0","50","100413","20000","0","30000"
"12500","0","0","0","125","100421","30000","0","45000"
"12500","0","0","0","125","100422","30000","0","45000"
"12500","0","0","0","125","100423","30000","0","45000"
"20000","0","0","0","200","100431","40000","0","60000"
"20000","0","0","0","200","100432","40000","0","60000"
"20000","0","0","0","200","100433","40000","0","60000"
"5000","0","0","0","50","100511","20000","0","30000"
"5000","0","0","0","50","100512","20000","0","30000"
"5000","0","0","0","50","100513","20000","0","30000"
"12500","0","0","0","125","100521","30000","0","45000"
"12500","0","0","0","125","100522","30000","0","45000"
"12500","0","0","0","125","100523","30000","0","45000"
"20000","0","0","0","200","100531","40000","0","60000"
"20000","0","0","0","200","100532","40000","0","60000"
"20000","0","0","0","200","100533","40000","0","60000"
"5000","0","0","0","50","100611","20000","0","30000"
"5000","0","0","0","50","100612","20000","0","30000"
"5000","0","0","0","50","100613","20000","0","30000"
"12500","0","0","0","125","100621","30000","0","45000"
"12500","0","0","0","125","100622","30000","0","45000"
"12500","0","0","0","125","100623","30000","0","45000"
"20000","0","0","0","200","100631","40000","0","60000"
"20000","0","0","0","200","100632","40000","0","60000"
"20000","0","0","0","200","100633","40000","0","60000"
"5000","0","0","0","50","100711","20000","0","30000"
"5000","0","0","0","50","100712","20000","0","30000"
"5000","0","0","0","50","100713","20000","0","30000"
"12500","0","0","0","125","100721","30000","0","45000"
"12500","0","0","0","125","100722","30000","0","45000"
"12500","0","0","0","125","100723","30000","0","45000"
"20000","0","0","0","200","100731","40000","0","60000"
"20000","0","0","0","200","100732","40000","0","60000"
"20000","0","0","0","200","100733","40000","0","60000"
"5000","0","0","0","50","100811","20000","0","30000"
"5000","0","0","0","50","100812","20000","0","30000"
"5000","0","0","0","50","100813","20000","0","30000"
"12500","0","0","0","125","100821","30000","0","45000"
"12500","0","0","0","125","100822","30000","0","45000"
"12500","0","0","0","125","100823","30000","0","45000"
"20000","0","0","0","200","100831","40000","0","60000"
"20000","0","0","0","200","100832","40000","0","60000"
"20000","0","0","0","200","100833","40000","0","60000"
"5000","0","0","0","50","100911","20000","0","30000"
"5000","0","0","0","50","100912","20000","0","30000"
"5000","0","0","0","50","100913","20000","0","30000"
"12500","0","0","0","125","100921","30000","0","45000"
"12500","0","0","0","125","100922","30000","0","45000"
"12500","0","0","0","125","100923","30000","0","45000"
"20000","0","0","0","200","100931","40000","0","60000"
"20000","0","0","0","200","100932","40000","0","60000"
"20000","0","0","0","200","100933","40000","0","60000"
