c9abdd6c7c04b6b5101aec6fba3e6f566fe62876cae225b5b866072ecb2c60db,85ec7b837f9b5ec1ab1ee3ab637dbce559fc6cf4f97898a147e6be56212d650a,105043df334efbf220c26830ca2a9ed9ff3649285191d8dcf1a492d557b0a366,426e981c6c443653d8e4f691797341e6f93cb706c53e37d00b02c3405ac97849,eacf074c22eb01920a73e50a3c45572f984120176ee9e6afe6fce2d5d35cef85,26242deaeb6d674e480337f2fca408be25a78e0151ead748f4596e42df4d10ea
"50000","1","1","50000","2","26202"
"10","2","1","10","2","90013"
"0","3","1","1","2","26203"
"55000","4","2","55000","2","26202"
"10","5","2","10","2","90013"
"0","6","2","1","2","26203"
"60000","7","3","60000","2","26202"
"10","8","3","10","2","90013"
"0","9","3","1","2","26203"
"65000","10","4","65000","2","26202"
"10","11","4","10","2","90013"
"0","12","4","1","2","26203"
"70000","13","5","70000","2","26202"
"10","14","5","10","2","90013"
"0","15","5","1","2","26203"
"75000","16","6","75000","2","26202"
"10","17","6","10","2","90013"
"0","18","6","1","2","26203"
"80000","19","7","80000","2","26202"
"10","20","7","10","2","90013"
"0","21","7","1","2","26203"
"85000","22","8","85000","2","26202"
"10","23","8","10","2","90013"
"0","24","8","1","2","26203"
"90000","25","9","90000","2","26202"
"20","26","9","20","2","90013"
"0","27","9","1","2","26203"
"95000","28","10","95000","2","26202"
"20","29","10","20","2","90013"
"0","30","10","1","2","26203"
"100000","31","11","100000","2","26202"
"20","32","11","20","2","90013"
"0","33","11","1","2","26203"
"105000","34","12","105000","2","26202"
"20","35","12","20","2","90013"
"0","36","12","1","2","26203"
