07341151af95182124ac0585451608bab5c81f7abd8f70a62230700c7e842ca2,92ec7ec1dc29d8f9127333007f807d3a7fb46446d1fbafe964975e36f6aa1551,cf46fc5a8b2fa4e591ea2afddd974ebeedd0f20908153d47aa6608ef4c2bcc43,2b401bd19264eb7bb11cb8a8425326590bd71837e8b12c9bc3a22b9a40489757,99dcddad127e9547c45e6f955fa4a2315c99b00e1e0166bd8fad4892c598f5f7,9a2e71fe264b740b17de933ebd6973a8a5d72b7671d835f037093569a118ab0e,596b6700fde9f1ff641c3aa33f1647ebcdfd1d30c6cf875821dd191ffaca9f4b,ff3f833ea356084f6d5371686234619382851a8e1be65c2743d0e42d7dd04046,443d6e2b968c88b7ea0f7cc923ab0890a323411a34016f405ce1f9981921830e,a4323fc13996d7719e43f23d5bcd4623a6635e8a4946cc4ca379ac97e4b10c30,a0ccc45d3349625507f49b9a915d712c8b975ef726d57588f8eb0bb4e05d60dd,9f5d8442db00cea330e04e40bfc7b9e44ee69cc25efea9602a110437650ccb90,b605c56724e682982d98a995583dce3d9a97184cee4b4336b03f2b396eca1f5a,f786e7a3e22dadd243b8f2dff31145840b5b4fdd202967f5b48ed97ddffb72c2,17a1a5a423de42f3cb24f4fe82eddca7e5ff06fded993ed831f356aa1151c657,1993928c92ab1ba4afc37a232596c3604e1c6f0834c9baa05632424ebd0c72f3,327fd6b868af5828932a1bc3be348fa6f506c0790088cc1921208d60af076c4e,d3554bbff18d834b0e881aca12202e18174799ef64bef494cb1cc85f6becd755,b653186b5fa4f3c8385ad58dbde3e9c89fc14194e188eec736541c72c959318c,cd919cacd98e2be84274fa2cdc78e62dafdfd1701252d112dc1982c67e23a4fb,e3c880d4067b7ba2ce5c36c2166a1ac9eb0c709f129a96301a241c06857f7c10,bc8f88b6185d8aeb8958e062d838cdebe11cd718861d6d638c7c6660590bd985,e04d90050f50e29ff329cddac81c84efdc5c6871f3a168731ef62354f6e858d0,015d19906dba819db8fa48390bae18007af10ecb0643c51e9ba11297532baf51,c1decc1ce443253df5ecc39ac72550093a6d7704e1fe3268c289256a308c0936,dec86cdf62eaa855e8205930b821a4a113a3a026623abaebf4555659985d99a0,7fa66ae15a4ffa6122dca9eadc1d1e02848f9be65674b531c9f80dbbf080f1f5,c56f4e7d380641c2ffab442d8a0a4e3ffba666d5914cb07ba3abcdc561f84a0b,68c75dd8f1ae23935d95fee377c83a7fd36d82ba603a4ac13cb1678042264f32,238e57b0c6add8136f2f5f5f771f32df1643753298d2beb5625456d997f26242,0cc6495ccd0dc50003d7c2745b1a1884c8720cbcd301b7a2ff02580a58c17def
"0","1000110103","100","33","100","0","1000110103","1","1","34","0","100","1","1000110101","0","1","0","1","1000110102","0","0","0","0","0","0","0","0","0","0","1000110103","10001101"
"33","1000120103","100","100","100","1000120105","1000120105","1","1","100","1","100","1","1000120101","100","1","100","1","1000120105","1","34","100","1000120104","1","1000120105","1","1000120105","1000120105","1","1000120102","10001201"
"0","1000210103","100","33","100","0","1000210103","1","1","34","0","100","1","1000210101","0","1","0","1","1000210102","0","0","0","0","0","0","0","0","0","0","1000210103","10002101"
"33","1000220103","100","100","100","1000220105","1000220105","1","1","100","1","100","1","1000220101","100","1","100","1","1000220105","1","34","100","1000220104","1","1000220105","1","1000220105","1000220105","1","1000220102","10002201"
"0","1000310103","100","33","100","0","1000310103","1","1","34","0","100","1","1000310101","0","1","0","1","1000310102","0","0","0","0","0","0","0","0","0","0","1000310103","10003101"
"33","1000320103","3","100","100","1000320105","1000320105","6","6","100","1","3","1","1000320101","100","1","100","1","1000320105","1","34","100","1000320104","1","1000320105","1","1000320105","1000320105","1","1000320102","10003201"
"0","1000410103","100","33","100","0","1000410103","1","1","34","0","100","1","1000410101","0","1","0","1","1000410102","0","0","0","0","0","0","0","0","0","0","1000410103","10004101"
"33","1000420103","3","100","100","1000420105","1000420105","6","6","100","1","3","1","1000420101","100","1","100","1","1000420105","1","34","100","1000420104","1","1000420105","1","1000420105","1000420105","1","1000420102","10004201"
"100","1000430104","100","100","100","1000430104","1000430104","6","1","100","1","100","1","1000430101","100","1","0","1","1000430104","1","33","34","0","1","1000430104","0","1000430104","1000430103","1","1000430102","10004301"
"0","1000510103","100","33","100","0","1000510103","1","1","34","0","100","1","1000510101","0","1","0","1","1000510102","0","0","0","0","0","0","0","0","0","0","1000510103","10005101"
"33","1000520103","3","100","100","1000520105","1000520105","6","6","100","1","3","1","1000520101","100","1","100","1","1000520105","1","34","100","1000520104","1","1000520105","1","1000520105","1000520105","1","1000520102","10005201"
"100","1000530104","100","100","100","1000530104","1000530104","6","1","100","1","100","1","1000530101","100","1","0","1","1000530104","1","33","34","0","1","1000530104","0","1000530104","1000530103","1","1000530102","10005301"
"0","1000610103","100","33","100","0","1000610103","1","1","34","0","100","1","1000610101","0","1","0","1","1000610102","0","0","0","0","0","0","0","0","0","0","1000610103","10006101"
"33","1000620103","3","100","100","1000620105","1000620105","6","6","100","1","3","1","1000620101","100","1","100","1","1000620105","1","34","100","1000620104","1","1000620105","1","1000620105","1000620105","1","1000620102","10006201"
"100","1000630104","100","100","100","1000630104","1000630104","6","1","100","1","100","1","1000630101","100","1","0","1","1000630104","1","33","34","0","1","1000630104","0","1000630104","1000630103","1","1000630102","10006301"
"0","1000710103","100","33","100","0","1000710103","1","1","34","0","100","1","1000710101","0","1","0","1","1000710102","0","0","0","0","0","0","0","0","0","0","1000710103","10007101"
"33","1000720103","3","100","100","1000720105","1000720105","6","6","100","1","3","1","1000720101","100","1","100","1","1000720105","1","34","100","1000720104","1","1000720105","1","1000720105","1000720105","1","1000720102","10007201"
"100","1000730104","100","100","100","1000730104","1000730104","6","1","100","1","100","1","1000730101","100","1","0","1","1000730104","1","33","34","0","1","1000730104","0","1000730104","1000730103","1","1000730102","10007301"
"0","1000810103","100","33","100","0","1000810103","1","1","34","0","100","1","1000810101","0","1","0","1","1000810102","0","0","0","0","0","0","0","0","0","0","1000810103","10008101"
"33","1000820103","3","100","100","1000820105","1000820105","6","6","100","1","3","1","1000820101","100","1","100","1","1000820105","1","34","100","1000820104","1","1000820105","1","1000820105","1000820105","1","1000820102","10008201"
"100","1000830104","100","100","100","1000830104","1000830104","6","1","100","1","100","1","1000830101","100","1","0","1","1000830104","1","33","34","0","1","1000830104","0","1000830104","1000830103","1","1000830102","10008301"
"0","1000910103","100","33","100","0","1000910103","1","1","34","0","100","1","1000910101","0","1","0","1","1000910102","0","0","0","0","0","0","0","0","0","0","1000910103","10009101"
"33","1000920103","3","100","100","1000920105","1000920105","6","6","100","1","3","1","1000920101","100","1","100","1","1000920105","1","34","100","1000920104","1","1000920105","1","1000920105","1000920105","1","1000920102","10009201"
"100","1000930104","100","100","100","1000930104","1000930104","6","1","100","1","100","1","1000930101","100","1","0","1","1000930104","1","33","34","0","1","1000930104","0","1000930104","1000930103","1","1000930102","10009301"
"0","1001010103","100","33","100","0","1001010103","1","1","34","0","100","1","1001010101","0","1","0","1","1001010102","0","0","0","0","0","0","0","0","0","0","1001010103","10010101"
"33","1001020103","3","100","100","1001020105","1001020105","6","6","100","1","3","1","1001020101","100","1","100","1","1001020105","1","34","100","1001020104","1","1001020105","1","1001020105","1001020105","1","1001020102","10010201"
"100","1001030104","100","100","100","1001030104","1001030104","6","1","100","1","100","1","1001030101","100","1","0","1","1001030104","1","33","34","0","1","1001030104","0","1001030104","1001030103","1","1001030102","10010301"
"100","1001040103","100","100","100","1001040108","1001040104","6","1","100","1","100","1","1001040101","100","1","100","1","1001040105","1","100","100","1001040110","1","1001040107","1","1001040106","1001040109","1","1001040102","10010401"
