bc41ecdcdb3b774f44162e09dd550eec383aade2db3ce1ec49e5d476c501ac9e,eb60516d042db4433b06cbc38f4fb5486aebb415f8c2ed5840d6bd11f387a652
"1061001","1061101"
"1061001","1061102"
"1061001","1061111"
"1067001","1067101"
"1068001","1068101"
"1068001","1068102"
"1068001","1068103"
"1068001","1068111"
"1069001","1069101"
"1099001","1099101"
"1115001","1115101"
"1115001","1115102"
"1144003","1144101"
"1144013","1144111"
"1158001","1158101"
"1158001","1158102"
"1158001","1158103"
"1158001","1158111"
"1158001","1158201"
"1158001","1158203"
"1158001","1158211"
"1164001","1164101"
"1182001","1182101"
"1185001","1185101"
"1186001","1186101"
"1208001","1208101"
"1208001","1208111"
"1220001","1220101"
"1223001","1223101"
"1223001","1223102"
"1223011","1223110"
"1223001","1223111"
"1227001","1227101"
"1230001","1230101"
"1250001","1250101"
"1250001","1250102"
"1250001","1250111"
"1258001","1258101"
"1260001","1260101"
"1261001","1261101"
"1262001","1262101"
"1264001","1264101"
"1264001","1264102"
"1264001","1264103"
"1265001","1265101"
"1278002","1278101"
"1278012","1278111"
"1290001","1290101"
"1293001","1293101"
"1294001","1294101"
"1295001","1295101"
"1296001","1296101"
"1297001","1297101"
"1300001","1300101"
"1301001","1301101"
"1311003","1311101"
"1312001","1312101"
"1318001","1318101"
"1320001","1320101"
"1321001","1321101"
"1321001","1321102"
"1321001","1321111"
"1324003","1324101"
"1329001","1329101"
"1331001","1331101"
"1338003","1338101"
"1338003","1338102"
"1345001","1345101"
"1349001","1349101"
"1350001","1350101"
"1350001","1350102"
"1351001","1351101"
"1352001","1352101"
"1356001","1356101"
"1359001","1359101"
"1360001","1360101"
"1361001","1361101"
"1361002","1361102"
"1361003","1361103"
"1364002","1364101"
"1365001","1365101"
"1374002","1374101"
"1374003","1374102"
"1812001","1812101"
"4319012","4319101"
