fa100cca740a6340ae1a973cbe39f115b3505ea2ce146f98aa14516ddea4ff42,40cf4bfddfe5142b7cad6ebddce06ea3dc85179a9ffdd327dd08b64c6e478fa4,9767a9353aed5747a5e02c286d2fffb0d7a23c34db3ec0a286b5df71aa071773,ee7321d17ab281ce2323a767e175f75c2523ad65b4032d89083b145caf957f83,c299c7f1b7c6c6217ba39dddf147536d3424e421c8cdcc890e6bf3bc41bc9f6b,cb5def15c3ce16c5dc46de00842ee854e8d080edc5e14484dd86d0307e923dd3,586cd6cf3d5e104483767427caa3f92ca09427695ed0e1b3d669c7341ccc15f9
"1","180010113","180010112","180010111","18001001","1","59"
"2","180010213","180010212","180010211","18001001","60","99"
"3","180010313","180010312","180010311","18001001","100","119"
"4","180010413","180010412","180010411","18001001","120","139"
"5","180010513","180010512","180010511","18001001","140","149"
"6","180010613","180010612","180010611","18001001","150","159"
"7","180010713","180010712","180010711","18001001","160","169"
"8","180010813","180010812","180010811","18001001","170","-1"
"9","180010123","180010122","180010121","18001002","1","59"
"10","180010223","180010222","180010221","18001002","60","99"
"11","180010323","180010322","180010321","18001002","100","119"
"12","180010423","180010422","180010421","18001002","120","139"
"13","180010523","180010522","180010521","18001002","140","149"
"14","180010623","180010622","180010621","18001002","150","159"
"15","180010723","180010722","180010721","18001002","160","169"
"16","180010823","180010822","180010821","18001002","170","-1"
"17","180010133","180010132","180010131","18001003","1","59"
"18","180010233","180010232","180010231","18001003","60","99"
"19","180010333","180010332","180010331","18001003","100","119"
"20","180010433","180010432","180010431","18001003","120","139"
"21","180010533","180010532","180010531","18001003","140","149"
"22","180010633","180010632","180010631","18001003","150","159"
"23","180010733","180010732","180010731","18001003","160","169"
"24","180010833","180010832","180010831","18001003","170","-1"
"25","180010143","180010142","180010141","18001004","1","59"
"26","180010243","180010242","180010241","18001004","60","99"
"27","180010343","180010342","180010341","18001004","100","119"
"28","180010443","180010442","180010441","18001004","120","139"
"29","180010543","180010542","180010541","18001004","140","149"
"30","180010643","180010642","180010641","18001004","150","159"
"31","180010743","180010742","180010741","18001004","160","169"
"32","180010843","180010842","180010841","18001004","170","179"
"33","180010943","180010942","180010941","18001004","180","189"
"34","180011043","180011042","180011041","18001004","190","199"
"35","180011143","180011142","180011141","18001004","200","-1"
"36","180010153","180010152","180010151","18001005","1","59"
"37","180010253","180010252","180010251","18001005","60","99"
"38","180010353","180010352","180010351","18001005","100","119"
"39","180010453","180010452","180010451","18001005","120","139"
"40","180010553","180010552","180010551","18001005","140","149"
"41","180010653","180010652","180010651","18001005","150","159"
"42","180010753","180010752","180010751","18001005","160","169"
"43","180010853","180010852","180010851","18001005","170","179"
"44","180010953","180010952","180010951","18001005","180","189"
"45","180011053","180011052","180011051","18001005","190","199"
"46","180011153","180011152","180011151","18001005","200","209"
"47","180011253","180011252","180011251","18001005","210","219"
"48","180011353","180011352","180011351","18001005","220","229"
"49","180011453","180011452","180011451","18001005","230","239"
"50","180011553","180011552","180011551","18001005","240","-1"
"51","180010163","180010162","180010161","18001006","1","59"
"52","180010263","180010262","180010261","18001006","60","99"
"53","180010363","180010362","180010361","18001006","100","119"
"54","180010463","180010462","180010461","18001006","120","139"
"55","180010563","180010562","180010561","18001006","140","149"
"56","180010663","180010662","180010661","18001006","150","159"
"57","180010763","180010762","180010761","18001006","160","169"
"58","180010863","180010862","180010861","18001006","170","179"
"59","180010963","180010962","180010961","18001006","180","189"
"60","180011063","180011062","180011061","18001006","190","199"
"61","180011163","180011162","180011161","18001006","200","209"
"62","180011263","180011262","180011261","18001006","210","219"
"63","180011363","180011362","180011361","18001006","220","229"
"64","180011463","180011462","180011461","18001006","230","239"
"65","180011563","180011562","180011561","18001006","240","249"
"66","180011663","180011662","180011661","18001006","250","259"
"67","180011763","180011762","180011761","18001006","260","-1"
"68","180010173","180010172","180010171","18001007","1","59"
"69","180010273","180010272","180010271","18001007","60","99"
"70","180010373","180010372","180010371","18001007","100","119"
"71","180010473","180010472","180010471","18001007","120","139"
"72","180010573","180010572","180010571","18001007","140","149"
"73","180010673","180010672","180010671","18001007","150","159"
"74","180010773","180010772","180010771","18001007","160","169"
"75","180010873","180010872","180010871","18001007","170","179"
"76","180010973","180010972","180010971","18001007","180","189"
"77","180011073","180011072","180011071","18001007","190","199"
"78","180011173","180011172","180011171","18001007","200","209"
"79","180011273","180011272","180011271","18001007","210","219"
"80","180011373","180011372","180011371","18001007","220","229"
"81","180011473","180011472","180011471","18001007","230","239"
"82","180011573","180011572","180011571","18001007","240","249"
"83","180011673","180011672","180011671","18001007","250","259"
"84","180011773","180011772","180011771","18001007","260","269"
"85","180011873","180011872","180011871","18001007","270","279"
"86","180011973","180011972","180011971","18001007","280","-1"
"87","180010183","180010182","180010181","18001008","1","59"
"88","180010283","180010282","180010281","18001008","60","99"
"89","180010383","180010382","180010381","18001008","100","119"
"90","180010483","180010482","180010481","18001008","120","139"
"91","180010583","180010582","180010581","18001008","140","149"
"92","180010683","180010682","180010681","18001008","150","159"
"93","180010783","180010782","180010781","18001008","160","169"
"94","180010883","180010882","180010881","18001008","170","179"
"95","180010983","180010982","180010981","18001008","180","189"
"96","180011083","180011082","180011081","18001008","190","199"
"97","180011183","180011182","180011181","18001008","200","209"
"98","180011283","180011282","180011281","18001008","210","219"
"99","180011383","180011382","180011381","18001008","220","229"
"100","180011483","180011482","180011481","18001008","230","239"
"101","180011583","180011582","180011581","18001008","240","249"
"102","180011683","180011682","180011681","18001008","250","259"
"103","180011783","180011782","180011781","18001008","260","269"
"104","180011883","180011882","180011881","18001008","270","279"
"105","180011983","180011982","180011981","18001008","280","289"
"106","180012083","180012082","180012081","18001008","290","-1"
"107","180010193","180010192","180010191","18001009","1","59"
"108","180010293","180010292","180010291","18001009","60","99"
"109","180010393","180010392","180010391","18001009","100","119"
"110","180010493","180010492","180010491","18001009","120","139"
"111","180010593","180010592","180010591","18001009","140","149"
"112","180010693","180010692","180010691","18001009","150","159"
"113","180010793","180010792","180010791","18001009","160","169"
"114","180010893","180010892","180010891","18001009","170","179"
"115","180010993","180010992","180010991","18001009","180","189"
"116","180011093","180011092","180011091","18001009","190","199"
"117","180011193","180011192","180011191","18001009","200","209"
"118","180011293","180011292","180011291","18001009","210","219"
"119","180011393","180011392","180011391","18001009","220","229"
"120","180011493","180011492","180011491","18001009","230","239"
"121","180011593","180011592","180011591","18001009","240","249"
"122","180011693","180011692","180011691","18001009","250","259"
"123","180011793","180011792","180011791","18001009","260","269"
"124","180011893","180011892","180011891","18001009","270","279"
"125","180011993","180011992","180011991","18001009","280","289"
"126","180012093","180012092","180012091","18001009","290","299"
"127","180012193","180012192","180012191","18001009","300","309"
"128","180012293","180012292","180012291","18001009","310","319"
"129","180012393","180012392","180012391","18001009","320","329"
"130","180012493","180012492","180012491","18001009","330","-1"
"1001","190010113","190010112","190010111","19001001","1","59"
"1002","190010213","190010212","190010211","19001001","60","99"
"1003","190010313","190010312","190010311","19001001","100","119"
"1004","190010413","190010412","190010411","19001001","120","139"
"1005","190010513","190010512","190010511","19001001","140","149"
"1006","190010613","190010612","190010611","19001001","150","159"
"1007","190010713","190010712","190010711","19001001","160","169"
"1008","190010813","190010812","190010811","19001001","170","-1"
"1009","190010123","190010122","190010121","19001002","1","59"
"1010","190010223","190010222","190010221","19001002","60","99"
"1011","190010323","190010322","190010321","19001002","100","119"
"1012","190010423","190010422","190010421","19001002","120","139"
"1013","190010523","190010522","190010521","19001002","140","149"
"1014","190010623","190010622","190010621","19001002","150","159"
"1015","190010723","190010722","190010721","19001002","160","169"
"1016","190010823","190010822","190010821","19001002","170","-1"
"1017","190010133","190010132","190010131","19001003","1","59"
"1018","190010233","190010232","190010231","19001003","60","99"
"1019","190010333","190010332","190010331","19001003","100","119"
"1020","190010433","190010432","190010431","19001003","120","139"
"1021","190010533","190010532","190010531","19001003","140","149"
"1022","190010633","190010632","190010631","19001003","150","159"
"1023","190010733","190010732","190010731","19001003","160","169"
"1024","190010833","190010832","190010831","19001003","170","179"
"1025","190010933","190010932","190010931","19001003","180","189"
"1026","190011033","190011032","190011031","19001003","190","199"
"1027","190011133","190011132","190011131","19001003","200","209"
