e07fb443e2cca0bd44c4a1a19a2840c58f779dfd56dba2dd355860d2c51bd217,d90dc916394388e331146cd624eb84f342bf5dab9f25fdb180bb9f5095aa40c8,02e8dc09f81d0abadaf9019db22abf43b188b864e7f8b49fc2e748979db58b23,0087e60eed01f94ec2652225b726432d2ac952ffdfc99659f8c75a9a0ebe47c7,74e49fc3cc20b55f632c94b7d2f6b128cf6bacd880c0e549f3b4b06baf8af6f6,4ffb5f915a2afa35065e6dc294af032bc3d153cacd4d28ea523d1fbcbd2fc4c3
"10","對歐姆蛋附加<1>HP+10%","1","1","10101010","1"
"11","對歐姆蛋附加<1>HP+11%","1","1","10101011","1"
"12","對歐姆蛋附加<1>HP+12%","1","1","10101012","1"
"13","對歐姆蛋附加<1>HP+13%","1","1","10101013","1"
"14","對歐姆蛋附加<1>HP+14%","1","1","10101014","1"
"15","對歐姆蛋附加<1>HP+15%","1","1","10101015","1"
"16","對歐姆蛋附加<1>HP+16%","1","1","10101016","1"
"17","對歐姆蛋附加<1>HP+17%","1","1","10101017","1"
"18","對歐姆蛋附加<1>HP+18%","1","1","10101018","1"
"19","對歐姆蛋附加<1>HP+19%","1","1","10101019","1"
"20","對歐姆蛋附加<1>HP+20%","1","1","10101020","1"
"21","對歐姆蛋附加<1>HP+21%","1","1","10101021","1"
"22","對歐姆蛋附加<1>HP+22%","1","1","10101022","1"
"23","對歐姆蛋附加<1>HP+23%","1","1","10101023","1"
"24","對歐姆蛋附加<1>HP+24%","1","1","10101024","1"
"25","對歐姆蛋附加<1>HP+25%","1","1","10101025","1"
"26","對歐姆蛋附加<1>HP+26%","1","1","10101026","1"
"27","對歐姆蛋附加<1>HP+27%","1","1","10101027","1"
"28","對歐姆蛋附加<1>HP+28%","1","1","10101028","1"
"29","對歐姆蛋附加<1>HP+29%","1","1","10101029","1"
"30","對歐姆蛋附加<1>HP+30%","1","1","10101030","1"
"31","對歐姆蛋附加<1>HP+31%","1","1","10101031","1"
"32","對歐姆蛋附加<1>HP+32%","1","1","10101032","1"
"33","對歐姆蛋附加<1>HP+33%","1","1","10101033","1"
"34","對歐姆蛋附加<1>HP+34%","1","1","10101034","1"
"35","對歐姆蛋附加<1>HP+35%","1","1","10101035","1"
"36","對歐姆蛋附加<1>HP+36%","1","1","10101036","1"
"37","對歐姆蛋附加<1>HP+37%","1","1","10101037","1"
"38","對歐姆蛋附加<1>HP+38%","1","1","10101038","1"
"39","對歐姆蛋附加<1>HP+39%","1","1","10101039","1"
"40","對歐姆蛋附加<1>HP+40%","1","1","10101040","1"
"41","對歐姆蛋附加<1>HP+41%","1","1","10101041","1"
"42","對歐姆蛋附加<1>HP+42%","1","1","10101042","1"
"43","對歐姆蛋附加<1>HP+43%","1","1","10101043","1"
"44","對歐姆蛋附加<1>HP+44%","1","1","10101044","1"
"45","對歐姆蛋附加<1>HP+45%","1","1","10101045","1"
"46","對歐姆蛋附加<1>HP+46%","1","1","10101046","1"
"47","對歐姆蛋附加<1>HP+47%","1","1","10101047","1"
"48","對歐姆蛋附加<1>HP+48%","1","1","10101048","1"
"49","對歐姆蛋附加<1>HP+49%","1","1","10101049","1"
"50","對歐姆蛋附加<1>HP+50%","1","1","10101050","1"
"51","對歐姆蛋附加<1>HP+51%","1","1","10101051","1"
"52","對歐姆蛋附加<1>HP+52%","1","1","10101052","1"
"53","對歐姆蛋附加<1>HP+53%","1","1","10101053","1"
"54","對歐姆蛋附加<1>HP+54%","1","1","10101054","1"
"55","對歐姆蛋附加<1>HP+55%","1","1","10101055","1"
"56","對歐姆蛋附加<1>HP+56%","1","1","10101056","1"
"57","對歐姆蛋附加<1>HP+57%","1","1","10101057","1"
"58","對歐姆蛋附加<1>HP+58%","1","1","10101058","1"
"59","對歐姆蛋附加<1>HP+59%","1","1","10101059","1"
"60","對歐姆蛋附加<1>HP+60%","1","1","10101060","1"
"61","對歐姆蛋附加<1>HP+61%","1","1","10101061","1"
"62","對歐姆蛋附加<1>HP+62%","1","1","10101062","1"
"63","對歐姆蛋附加<1>HP+63%","1","1","10101063","1"
"64","對歐姆蛋附加<1>HP+64%","1","1","10101064","1"
"65","對歐姆蛋附加<1>HP+65%","1","1","10101065","1"
"66","對歐姆蛋附加<1>HP+66%","1","1","10101066","1"
"67","對歐姆蛋附加<1>HP+67%","1","1","10101067","1"
"68","對歐姆蛋附加<1>HP+68%","1","1","10101068","1"
"69","對歐姆蛋附加<1>HP+69%","1","1","10101069","1"
"70","對歐姆蛋附加<1>HP+70%","1","1","10101070","1"
"71","對歐姆蛋附加<1>HP+71%","1","1","10101071","1"
"72","對歐姆蛋附加<1>HP+72%","1","1","10101072","1"
"73","對歐姆蛋附加<1>HP+73%","1","1","10101073","1"
"74","對歐姆蛋附加<1>HP+74%","1","1","10101074","1"
"75","對歐姆蛋附加<1>HP+75%","1","1","10101075","1"
"76","對歐姆蛋附加<1>HP+76%","1","1","10101076","1"
"77","對歐姆蛋附加<1>HP+77%","1","1","10101077","1"
"78","對歐姆蛋附加<1>HP+78%","1","1","10101078","1"
"79","對歐姆蛋附加<1>HP+79%","1","1","10101079","1"
"80","對歐姆蛋附加<1>HP+80%","1","1","10101080","1"
"81","對歐姆蛋附加<1>HP+81%","1","1","10101081","1"
"82","對歐姆蛋附加<1>HP+82%","1","1","10101082","1"
"83","對歐姆蛋附加<1>HP+83%","1","1","10101083","1"
"84","對歐姆蛋附加<1>HP+84%","1","1","10101084","1"
"85","對歐姆蛋附加<1>HP+85%","1","1","10101085","1"
"86","對歐姆蛋附加<1>HP+86%","1","1","10101086","1"
"87","對歐姆蛋附加<1>HP+87%","1","1","10101087","1"
"88","對歐姆蛋附加<1>HP+88%","1","1","10101088","1"
"89","對歐姆蛋附加<1>HP+89%","1","1","10101089","1"
"90","對歐姆蛋附加<1>HP+90%","1","1","10101090","1"
"91","對歐姆蛋附加<1>HP+91%","1","1","10101091","1"
"92","對歐姆蛋附加<1>HP+92%","1","1","10101092","1"
"93","對歐姆蛋附加<1>HP+93%","1","1","10101093","1"
"94","對歐姆蛋附加<1>HP+94%","1","1","10101094","1"
"95","對歐姆蛋附加<1>HP+95%","1","1","10101095","1"
"96","對歐姆蛋附加<1>HP+96%","1","1","10101096","1"
"97","對歐姆蛋附加<1>HP+97%","1","1","10101097","1"
"98","對歐姆蛋附加<1>HP+98%","1","1","10101098","1"
