258c200f46db55fbf656c213a93c203759d4b1b26f66753126d34103f12c2de7,a70e9db252cfde3fb6a352084e220e8f689ec7ff60702d9c906cecfaffdce4e4,a17d84fee6d5992406b08e808f4401cddc482475c696af92587b7e45dda96bb2,93dd9e909acf7e886b2d13ca20fe9c57c7f6aff6b6daa45141ff082b9f35afce,0ff56ea5ee0047b1bc209ecbc50446cd6e8502a8cd6115a7ca6a1298be3493d3,f3fec64fd2555b2aa5075d4983520816e3c971ea13deae310b7f87210532788f,8eb8442f868129e3ff78b88f42d301d65dd74a537b299a610e983fc2a2cdcd67,deb381c06e4139aba7e421252d255800a646c03996809bfaedaec1cc90eafcaf
"200","未鑑定的\n平凡寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53001","100","1","未鑑定的平凡寶物","1"
"400","未鑑定的\n貴重寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53002","200","2","未鑑定的貴重寶物","1"
"800","未鑑定的\n頂級寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","53003","400","3","未鑑定的頂級寶物","1"
"200","平凡寶石","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53004","100","1","平凡寶石","0"
"400","貴重寶石","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53005","200","2","貴重寶石","0"
"800","頂級寶石","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53006","400","3","頂級寶石","0"
"200","平凡金屬塊","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53007","100","1","平凡金屬塊","0"
"400","貴重金屬塊","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53008","200","2","貴重金屬塊","0"
"800","頂級金屬塊","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53009","400","3","頂級金屬塊","0"
"200","平凡卷軸","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53010","100","1","平凡卷軸","0"
"400","貴重卷軸","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53011","200","2","貴重卷軸","0"
"800","頂級卷軸","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53012","400","3","頂級卷軸","0"
"200","平凡皇冠","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53013","100","1","平凡皇冠","0"
"400","貴重皇冠","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53014","200","2","貴重皇冠","0"
"800","頂級皇冠","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53015","400","3","頂級皇冠","0"
"200","平凡符文","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53016","100","1","平凡符文","0"
"400","貴重符文","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53017","200","2","貴重符文","0"
"800","頂級符文","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53018","400","3","頂級符文","0"
"200","平凡王冠","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53019","100","1","平凡王冠","0"
"400","貴重王冠","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53020","200","2","貴重王冠","0"
"800","頂級王冠","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53021","400","3","頂級王冠","0"
"200","平凡古遺物","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53022","100","1","平凡古遺物","0"
"400","貴重古遺物","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53023","200","2","貴重古遺物","0"
"800","頂級古遺物","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53024","400","3","頂級古遺物","0"
