7eaf074d0a0f47e0e11ab4f8e547b80d1b90c1db1fb7f9b4ca316c6345a8e62b,f36bf50d9ba42df8984e0d776808ab877cd5be549df64833ac724d2b01cc0183,a23737751348de3f10582c10a87a0437de1263746b3bc8aac017eb91fe9d903c,edde89b995a87344ba6039845a3e342ae979591c8898795a36b6cb65d1ca9733,deb3ebb6b48a0be68b16e53a2e3f4a716235bbfaccfceb799410fa8ac3fb1969,2d0f485944c8c778119b36be658b1889d1a96b491c2ebfc350bec8d3cedb9059,b426e725bf3d0cfb2c9faa3556525467c9349c770198d089778934f74af10d8d,6e6c167c78a4182d7ba4445a01e2eb212b64578640cf2b945a864fb13025a48d
"52001","0","0","1","1","1","1","【料理】骰子增加成為兩個"
"52002","0","0","1","1","1","2","【料理】骰子只會丟出「1」"
"52002","0","0","2","3","1","3","【料理】跳過下次的回合數計算"
"52004","0","0","1","1","1","4","【料理】骰子只會丟出「4」"
"52006","0","0","1","1","1","5","【料理】骰子只會丟出\n「4・5・6」"
"52007","0","0","1","1","1","6","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」"
"52003","0","0","1","1","1","7","【料理】骰子只會丟出「5」"
"52008","0","0","7","2","1","8","【料理】里程格所獲得的里程將提升200%"
"4","0","0","2","3","2","9","【事件】跳過下次的回合數計算"
"5","0","0","3","2","2","10","【事件】里程格所獲得的里程將提升100%"
"6","0","0","5","2","2","11","【事件】小遊戲所獲得的里程將提升100%"
"7","0","0","4","3","2","12","【事件】里程商店的所有商品折價20%以上"
"52009","0","0","1","1","1","13","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」"
"52010","0","0","6","2","1","14","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個"
"52011","0","0","1","1","1","15","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」"
"52012","0","0","1","1","1","16","【料理】骰子只會丟出\n「1・2・3」"
"52012","0","0","2","3","1","17","【料理】跳過下次的回合數計算"
"52014","0","0","8","1","1","18","【料理】移動時將可以跳過里程格。"
"52005","0","0","1","1","1","19","【料理】下次移動時，將多移動1格。"
"52014","2","2","1","1","1","20","【料理】下次移動時，將多移動1格。"
"52015","0","0","1","1","1","21","【料理】骰子增加成為兩個"
"52015","0","0","1","1","1","22","【料理】下次移動時，將多移動1格。"
"52016","0","0","1","1","1","23","【料理】投擲的骰子一定會丟出「6」。"
"52017","0","0","9","1","1","24","【料理】變得無法食用移動系的料理。"
"52018","0","0","1","1","1","25","【料理】投擲的骰子一定會丟出「3」。"
"52019","0","0","1","1","1","26","【料理】投擲的骰子一定會丟出「8」。"
"98011","0","0","2","3","2","27","【事件】跳過下次的回合數計算"
"98012","0","0","2","3","2","28","【事件】跳過下次的回合數計算"
"52020","0","0","10","2","1","29","【料理】移動時將可以跳過里程格。"
"52020","2","2","1","1","1","30","【料理】下次移動時，將多移動1格。"
"52021","0","0","10","2","1","31","【料理】移動時可以跳過寶物格。"
"52022","0","0","1","1","1","32","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。"
"52023","0","0","1","1","1","33","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」"
"52024","0","0","1","1","1","34","【料理】下次移動時多前進3格"
"52025","0","0","10","2","1","35","【料理】移動時可以跳過「里程格」及「寶物格」。"
"52027","0","0","1","1","1","36","【料理】骰子只會丟出「5」"
"52028","0","0","1","1","1","37","【料理】投擲的骰子\n只會丟出「1、2」。"
"52029","0","0","1","1","1","38","【料理】投擲的骰子一定會丟出「2」。"
"52029","0","0","2","3","1","39","【料理】跳過下次的回合數計算"
"8","0","0","4","3","2","40","【事件】里程商店的所有商品折價20%以上"
"52030","0","0","11","3","1","41","【料理】將「里程格」變成「寶物格」。"
"1","0","0","99","1","3","1001","取得最大n里程"
"2","0","0","99","1","3","1002","重新擲1次骰子"
"3","0","0","99","1","3","1003","重新擲1次骰子_有效回合2"
"1001","0","0","126501","1","3","11001","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"1002","0","0","105301","1","3","11002","【夥伴】取得最大1000里程"
"1003","0","0","126401","1","3","11003","【夥伴】取得1個料理"
"1004","0","0","100501","1","3","11004","【夥伴】重新擲1次骰子"
"1005","0","0","101301","1","3","11005","【夥伴】重新擲2次骰子"
"1006","0","0","104301","1","3","11006","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"1007","0","0","102701","1","3","11007","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇"
"1008","0","0","100901","1","3","11008","【夥伴】追加投擲骰子直到數字合計為7以上"
"1009","0","0","105101","1","3","11009","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"1010","0","0","101801","1","3","11010","【夥伴】取得最大1000里程"
"1011","0","0","129701","1","3","11011","【夥伴】可以選擇使用骰子的正面或背面"
"1012","0","0","101601","1","3","11012","【夥伴】重新擲1次骰子"
"1013","0","0","105601","1","3","11013","【夥伴】重新擲2次骰子"
