3b59f3e52c434a73eded8107f4d3de64dc49873f9aa0ae025ea9f9d548b4b80c,934fba0abb1bf23ead8433cc09b06763b19cfce9feda2d52f25786d7a514f68b,9191ba644ea5543d2c3111df3ceb65aa20a900ff13082bb0d43e05d717f59b63,acfd8786b137cc9cc4cb0ac89b855e1260dc83ebd1dcc31b2b38ae9c2d195f78,4aeb2fff2fca9abc74af2a4c5be4f33bc6f2545e173ae20637b9e436a50fbf4f
"1","1","300","1","135"
"1","2","-100","1","425"
"2","3","125","1","-100"
"2","4","-415","1","375"
"3","5","-50","1","25"
"3","6","-300","1","-25"
"4","7","-335","1","-195"
"4","8","-415","1","105"
"5","9","-160","1","135"
"6","10","-40","1","345"
"7","11","90","1","-230"
"8","12","-420","1","230"
"9","13","250","1","30"
"10","14","-245","1","280"
"11","15","-110","1","-150"
