6babf5ba89ff785ed49a430e35263aa3b01b7491f8d3df4a6cb1660a8bf055c4,a109b72064c4131ae664d1d71502f0a43bd6fae6dfefdb5404624f40d1d7bf9a,e992c8e7a7ee959fc893fa17974e4607838384d6f89955d05c505d89ddd6c223,767e7ca3e3731d4a0a71373be7578453209195c522069e291cae0d564076cabb
"4","1","【加速】4以上：\nＴＰ上升＋30\n可重複的行動速度＋100％\n","10011"
"9","1","【加速】9以上：\n必殺技發動時【烈風】＋１（最大99）\n每20秒展開物理/魔法造成傷害提升的領域\n（【烈風】數×1％）\n","10012"
"15","1","【加速】15以上：\n每9秒恢復ＴＰ1000\n","10013"
"4","2","【虛弱】4以上：\n對敵方全體施加黑炎（每秒1萬傷害，每次提升5％傷害）\n","10021"
"9","2","【虛弱】9以上：\n對敵方的持續傷害＋1000％（最大50萬傷害）\n","10022"
"15","2","【虛弱】15以上：\n依照虛弱效果數提升敵方受到的傷害（目標的虛弱效果數\n×50％，最大＋500％）\n且對敵方的持續傷害＋1000％（最大50萬傷害）\n","10023"
"4","3","【會心】4以上：\n物理/魔法暴擊傷害＋100％\n","10031"
"9","3","【會心】9以上：\n物理/魔法暴擊＋2000\n","10032"
"15","3","【會心】15以上：\n暴擊發生時【看破】＋１（最大99）\n每20秒隨機給予1位敵人固定傷害×５次\n（每次5萬＋目標的【看破】數×5萬傷害）\n","10033"
"4","4","【強化】4以上：\n戰鬥開始20秒後，展開提升物理/魔法攻擊力的領域（目前數值＋30％）\n緩和對敵方的傷害值衰減量\n","10041"
"9","4","【強化】9以上：\n且戰鬥開始40秒後，展開提升物理/魔法攻擊力的領域（目前數值＋50％）\n並緩和對敵方的傷害值衰減量\n","10042"
"15","4","【強化】15以上：\n且戰鬥開始60秒後，展開提升物理/魔法攻擊力的領域（目前數值＋70％）\n並緩和對敵方的傷害值衰減量\n","10043"
"4","5","【守備】4以上：\n全傷害降低33%\n","10051"
"9","5","【守備】9以上：\n每15秒對1位敵人造成物理和魔法固定傷害\n（我方全體的目前ＨＰ合計×200傷害）\n","10052"
"15","5","【守備】15以上：\n每15秒展開物理/魔法造成傷害提升的領域\n（我方全體的目前ＨＰ合計×0.0001％，最大200％）\n","10053"
