89d9e97c272419510410c35d56c8323cd36bc25fe2064d1cf12b3a9274175122,5e0eddf28e5ca6e5bf26db0c7b20a74578fd7c7c422b666871435ac7d8648e79,a93bebb95af9dceb4dec38f5778226b0ebe2d0f4f937ce5a7d5fd5cd537b3db7,a7fa7739c09e4cad7ad670b75ad34eb841ff713797606bdc56645b1ad50725ed,627c1320b6e8c55779a4ac7b428736083f445ca73c6cac8c7c02e3535ec55fa7,863a8448bb6cdaaee7b325e46254df270813acc19ca3390a76b0c47888ad44f8,78fe5280ab49eac4fe0845999da157970d42b682c428bb34f289304a184c9144,6190e1e680d8f65eb683fb177811face5c5ada3e82f17364fc6bd597e47726ae,5adebcd589e0b983dd77a053337391337b8c00442aeb19fae662a6eb3bf887f9,63be25e26da5f68cc791c17b1d513dd010587c25279f10b742a77c1a0d27f78a,b975b626ec6f7d4cc494b9cc80e8ca8480c6b3def9166a52f85e76a6c96415ce,20cfad63fd803670761b1adcb7efa87c4192f0c21781af4f44c9a558b9d26361,216b0bc25fedcc2c59248eb91b52ea8c03883075d37f7c9df5c278a526d2ef20,3d951bf9e27f6f42c3b8423f911f2414ba6091956be68338df2e35a421c99114,9c3920036ed1ae6440f833f4f9f95c98cf63745edf818d3b6ccd7a89367817dd,a15fac3be5ca6c7805f64cf4dc5916fd7a4df9c2c962fb63e4aa5b6d3420c230,f9d36f37835ec8321df8f272a4ce202c72a7325e008650125f0be7c8d7a6844e,b113fafbe2fa1ce43c21ac333323b7dd54767118bfa6cb1646cd31fedf60f2dd,dbd4658d252d5a76b055a916579e0806126ceac0ebf7d2440fdc2d30cd1d7bfe
"1","0","0","50","12","2","0","1002200","0","80","23001","20004","2000000","0","2","1","0","50","94002"
"51","0","0","100","12","2","0","1002200","0","80","23001","20004","1600000","0","2","2","0","40","94002"
"101","0","0","200","12","2","0","1002200","0","60","23001","20004","1400000","0","2","3","0","40","94002"
"201","0","0","500","12","2","0","1002200","0","60","23001","20004","1200000","0","2","4","0","35","94002"
"501","0","0","1000","12","2","0","1002200","0","40","23001","20004","1000000","0","2","5","0","35","94002"
"1001","0","0","1500","12","2","0","1002200","0","40","23001","20004","800000","0","2","6","0","30","94002"
"1501","0","0","2000","12","2","0","1002200","0","40","23001","20004","600000","0","2","7","0","25","94002"
"2001","0","0","3000","12","2","0","1002200","0","80","23001","20003","600000","0","2","8","0","25","94002"
"3001","0","0","5000","12","2","0","1002200","0","60","23001","20003","400000","0","2","9","0","20","94002"
"5001","0","0","10000","12","2","0","1002200","0","40","23001","20003","300000","0","2","10","0","15","94002"
"10001","0","0","100000","12","2","0","1002200","0","20","23001","20003","200000","0","2","11","0","10","94002"
"100001","0","0","200000","12","2","0","1002200","0","12","23001","20003","100000","0","2","12","0","5","94002"
"200001","0","0","300000","12","2","0","1002200","0","8","23001","20003","80000","0","2","13","0","5","94002"
"300001","0","0","400000","12","2","0","1002200","0","5","23001","20003","60000","0","2","14","0","5","94002"
"400001","0","0","-1","12","2","0","1002200","0","3","23001","20003","50000","0","2","15","0","5","94002"
