233fddc4587be871fd8d40398051f9807c4452b7b5d416044772f2dc5339c382,894c0b0c1101202048507a0e735d6e9ec4eaad152ec5c3176b84bd92dba16141,baed17482238a7cbdb4a9ae4fc3f70a0f3d18e7addc6a9143464aaddc1e10c19,f837576282b15936495404b9ff09ba7a586147179d9dd09afec1b569296469ec,6a813f270f54e24ebb3f3faa15c0335b664a068c10c46a8fa0f1201292fd6415,7e89b82566e58b15ed96273ece2fc84b52084e3e575ad98be53a569f24570b1f
"550101104","550101103","74001101","550101101","550101105","550101102"
"550101204","550101203","74001102","550101201","550101205","550101202"
"550101304","550101303","74001103","550101301","550101305","550101302"
"550101404","550101403","74001104","550101401","550101405","550101402"
"550101504","550101503","74001105","550101501","550101505","550101502"
"550101109","550101108","74001201","550101106","550101110","550101107"
"550101209","550101208","74001202","550101206","550101210","550101207"
"550101309","550101308","74001203","550101306","550101310","550101307"
"550101409","550101408","74001204","550101406","550101410","550101407"
"550101509","550101508","74001205","550101506","550101510","550101507"
"0","550101111","74001301","550101112","0","550101113"
"0","550101211","74001302","550101212","0","550101213"
"0","550101311","74001303","550101312","0","550101313"
"0","550101411","74001304","550101412","0","550101413"
"0","550101511","74001305","550101512","0","550101513"
"0","550101116","74001401","550101115","0","550101114"
"0","550101216","74001402","550101215","0","550101214"
"0","550101316","74001403","550101315","0","550101314"
"0","550101416","74001404","550101415","0","550101414"
"0","550101516","74001405","550101515","0","550101514"
"0","0","74001501","550101117","0","0"
"0","0","74001502","550101217","0","0"
"0","0","74001503","550101317","0","0"
"0","0","74001504","550101417","0","0"
"0","0","74001505","550101517","0","0"
"0","0","74001999","550101999","0","0"
"550102104","550102103","74002101","550102101","550102105","550102102"
"550102204","550102203","74002102","550102201","550102205","550102202"
"550102304","550102303","74002103","550102301","550102305","550102302"
"550102404","550102403","74002104","550102401","550102405","550102402"
"550102504","550102503","74002105","550102501","550102505","550102502"
"550102109","550102108","74002201","550102106","550102110","550102107"
"550102209","550102208","74002202","550102206","550102210","550102207"
"550102309","550102308","74002203","550102306","550102310","550102307"
"550102409","550102408","74002204","550102406","550102410","550102407"
"550102509","550102508","74002205","550102506","550102510","550102507"
"0","550102111","74002301","550102112","0","550102113"
"0","550102211","74002302","550102212","0","550102213"
"0","550102311","74002303","550102312","0","550102313"
"0","550102411","74002304","550102412","0","550102413"
"0","550102511","74002305","550102512","0","550102513"
"0","550102116","74002401","550102115","0","550102114"
"0","550102216","74002402","550102215","0","550102214"
"0","550102316","74002403","550102315","0","550102314"
"0","550102416","74002404","550102415","0","550102414"
"0","550102516","74002405","550102515","0","550102514"
"0","0","74002501","550102117","0","0"
"0","0","74002502","550102217","0","0"
"0","0","74002503","550102317","0","0"
"0","0","74002504","550102417","0","0"
"0","0","74002505","550102517","0","0"
"550103102","550103104","74003101","550103101","0","550103103"
"550103202","550103204","74003102","550103201","0","550103203"
"550103302","550103304","74003103","550103301","550103305","550103303"
"550103402","550103404","74003104","550103401","550103405","550103403"
"550103502","550103504","74003105","550103501","550103505","550103503"
"550103108","550103107","74003201","550103105","0","550103106"
"550103208","550103207","74003202","550103205","550103209","550103206"
"550103309","550103308","74003203","550103306","550103310","550103307"
"550103409","550103408","74003204","550103406","550103410","550103407"
"550103509","550103508","74003205","550103506","550103510","550103507"
"550103112","550103111","74003301","550103109","0","550103110"
"550103213","550103212","74003302","550103210","550103214","550103211"
"550103314","550103313","74003303","550103311","550103315","550103312"
"550103414","550103413","74003304","550103411","550103415","550103412"
"550103514","550103513","74003305","550103511","550103515","550103512"
"0","0","74003401","550103113","0","0"
"0","0","74003402","550103215","0","0"
"0","0","74003403","550103316","0","0"
"0","0","74003404","550103416","0","0"
"0","0","74003405","550103516","0","0"
"0","0","74003501","550103114","0","0"
"0","0","74003502","550103216","0","0"
"0","0","74003503","550103317","0","0"
"0","0","74003504","550103417","0","550103421"
"0","550103521","74003505","550103522","0","550103517"
"550104104","550104103","74004101","550104101","0","550104102"
"550104204","550104203","74004102","550104201","0","550104202"
"550104304","550104303","74004103","550104301","550104305","550104302"
"550104404","550104403","74004104","550104401","550104405","550104402"
"550104504","550104503","74004105","550104501","550104505","550104502"
"550104108","550104107","74004201","550104105","0","550104106"
"550104208","550104207","74004202","550104205","550104209","550104206"
"550104309","550104308","74004203","550104306","550104310","550104307"
"550104409","550104408","74004204","550104406","550104410","550104407"
"550104509","550104508","74004205","550104506","550104510","550104507"
"550104111","550104112","74004301","550104109","0","550104110"
"550104212","550104213","74004302","550104210","550104214","550104211"
"550104313","550104314","74004303","550104311","550104315","550104312"
"550104413","550104414","74004304","550104411","550104415","550104412"
"550104513","550104514","74004305","550104511","550104515","550104512"
"0","0","74004401","550104113","0","0"
"0","0","74004402","550104215","0","0"
"0","0","74004403","550104316","0","0"
"0","0","74004404","550104416","0","0"
"0","0","74004405","550104516","0","0"
"0","0","74004501","550104117","0","0"
"0","0","74004502","550104219","0","0"
"0","0","74004503","550104320","0","0"
"0","0","74004504","550104420","0","550104421"
"0","550104521","74004505","550104522","0","550104520"
"550105104","550105103","74005101","550105101","550105105","550105102"
"550105204","550105203","74005102","550105201","550105205","550105202"
"550105304","550105303","74005103","550105301","550105305","550105302"
"550105404","550105403","74005104","550105401","550105405","550105402"
"550105504","550105503","74005105","550105501","550105505","550105502"
"550105109","550105108","74005201","550105106","550105110","550105107"
"550105209","550105208","74005202","550105206","550105210","550105207"
