728e8f14dbc88a66bf292222a69499b1e47a0e3c785f0d96ac70afc420a6a51b,a5a0d612ab16c07b19b3252ed92f9d4442eeeb41504bee2cbc6e4f76b48d2e95,8d5ac1dc4e594eb2d5fb58f49dfc07db867dc15d1bef11db38402d759cf05517,149160b70612f55e0ae77c69af5367b3d28f4d4f512103e01f2cf8368fdbdb24,50d51b738a7734721d8f022e43e4cc304d0f17168cf0fa5788534e779dce8175,c6efe9a4c87ae267df9172a4e0e368220aad31c64aed3815ab37a09f6a1187ee
"1","1","0","1","10009106","10009101"
"1","1","0","2","10009112","10009101"
"1","1","0","3","10010110","10010101"
"1","2","0","4","1001901","10019101"
"1","1","0","5","10021112","10021101"
"1","1","0","6","10025109","10025101"
"2","3","500810","7","5025001","10025"
"1","1","0","8","20009106","20009101"
"1","1","0","9","20009112","20009101"
"1","1","0","10","20010110","20010101"
"2","3","501001","12","5042001","10042"
"1","2","0","13","2001501","20015101"
"2","3","501031","14","5044001","10044"
"1","1","0","15","20016112","20016101"
"2","3","501103","16","5046002","10046"
"1","1","0","17","10049109","10049101"
"1","1","0","19","10066112","10066101"
"2","3","501291","20","5066005","10066"
"2","3","501001","21","5042001","10069"
"2","3","501031","22","5044001","10071"
"2","3","501341","23","5068001","10068"
"2","3","501353","24","5070004","10070"
"2","3","500016","25","5070005","10070"
"2","3","501364","26","5072004","10072"
"2","3","501365","27","5072006","10072"
"2","3","501103","28","5046002","10073"
"2","3","501383","29","5074001","10074"
"1","1","0","30","10076112","10076101"
"2","3","505036","31","5076005","10076"
"2","3","501451","32","5078004","10078"
"2","3","501463","33","5080005","10080"
"1","1","0","34","10082105","10082101"
"1","1","0","35","10082108","10082102"
"1","1","0","36","10082111","10082103"
"2","3","501160","37","5082002","10082"
"2","3","501031","38","5082004","10082"
"2","3","501483","39","5082005","10082"
"2","3","500368","40","5084001","10084"
"2","3","510306","41","5084002","10084"
"2","3","500039","42","5084003","10084"
"2","3","500368","43","5085002","10085"
"2","3","510203","44","5085003","10085"
"2","3","500272","45","5085004","10085"
"2","3","501501","46","5085005","10085"
"2","3","501810","47","5088005","10088"
"2","3","501001","50","5042001","20025"
"2","3","501541","51","5090002","10090"
"2","3","501031","55","5044001","20026"
"1","1","0","56","10093112","10093101"
"2","3","501291","57","5066005","10093"
"2","3","501103","58","5046002","20027"
"2","3","501031","59","5092001","10092"
"2","3","501551","60","5092004","10092"
"2","3","501593","61","5094001","10094"
"2","3","501341","62","5068001","10095"
"2","3","500810","67","5025001","20018"
"2","3","501613","68","5096002","10096"
"2","3","501353","73","5070004","10097"
"2","3","500016","74","5070005","10097"
"2","3","501031","75","5098000","10098"
"1","1","0","76","10098104","10098101"
"1","1","0","77","10098111","10098102"
"2","3","501364","78","5072004","10099"
"2","3","501365","79","5072006","10099"
"2","3","500837","80","5100003","10100"
"2","3","501383","82","5074001","10101"
"2","3","501383","83","5074001","10101"
"2","3","501873","84","5102002","10102"
"1","1","0","85","10103112","10103101"
"2","3","505036","86","5076005","10103"
"2","3","501911","88","5108002","10108"
"2","3","500133","89","5104003","10104"
"2","3","501451","90","5078004","10105"
"2","3","501931","93","5110005","10110"
"2","3","500013","94","5111005","10111"
"2","3","501463","95","5080005","10107"
"1","1","0","96","10109105","10109101"
"1","1","0","97","10109108","10109102"
"1","1","0","98","10109111","10109103"
"2","3","501160","99","5082002","10109"
"2","3","501031","100","5082004","10109"
"2","3","501483","101","5082005","10109"
"2","3","500368","103","5084001","10112"
"2","3","510306","104","5084002","10112"
"2","3","500039","105","5084003","10112"
"2","3","500368","106","5085002","10113"
"2","3","510203","107","5085003","10113"
"2","3","500272","108","5085004","10113"
"2","3","501501","109","5085005","10113"
"1","2","0","110","1011001","10110101"
"1","1","0","111","20037112","20037101"
"2","3","501291","112","5066005","20037"
"2","3","501810","113","5088005","10115"
"2","3","500016","114","5114000","10114"
"2","3","501952","115","5114003","10114"
"2","3","501341","116","5068001","20038"
"2","3","501541","117","5090002","10117"
"2","3","501353","121","5070004","20039"
"2","3","500016","122","5070005","20039"
"2","3","500837","123","5116004","10116"
"2","3","501031","124","5092001","10119"
"2","3","501551","125","5092004","10119"
"2","3","500133","126","5118002","10118"
"2","3","500810","127","5118003","10118"
"2","3","500133","128","5118007","10118"
"2","3","501364","129","5072004","20040"
"2","3","501365","130","5072006","20040"
"2","3","501614","132","5124003","10124"
"2","3","501383","133","5074001","20041"
"2","3","501593","135","5094001","10121"
"2","3","502003","136","5122000","10122"
"2","3","502015","137","5122002","10122"
"2","3","501613","138","5096002","10123"
"2","3","505036","139","5076005","20042"
"2","3","501451","140","5078004","20043"
"2","3","501031","141","5098000","10125"
"2","3","500837","143","5100003","10127"
"2","3","501463","144","5080005","20044"
"2","3","502063","145","5128001","10128"
"2","3","501873","146","5102002","10129"
"1","1","0","147","20045105","20045101"
"1","1","0","148","20045108","20045102"
"1","1","0","149","20045111","20045103"
"2","3","501160","150","5082002","20045"
"2","3","501031","151","5082004","20045"
"2","3","501483","152","5082005","20045"
"2","3","500368","153","5084001","20046"
"2","3","510306","154","5084002","20046"
"2","3","500039","155","5084003","20046"
"2","3","500368","156","5085002","20047"
"2","3","510203","157","5085003","20047"
"2","3","500272","158","5085004","20047"
"2","3","501501","159","5085005","20047"
"2","3","500016","160","5130001","10130"
"2","3","500133","161","5130007","10130"
"2","3","500133","162","5104003","10131"
"2","3","500143","163","5136002","10136"
"2","3","500175","164","5136004","10136"
"2","3","501622","165","5137002","10137"
"2","3","500133","166","5137005","10137"
"2","3","501810","167","5088005","20048"
"2","3","500553","168","5134007","10134"
"2","3","501911","169","5108002","10135"
"2","3","501931","170","5110005","10138"
"2","3","500013","171","5111005","10139"
"2","3","501541","172","5090002","20049"
"1","2","0","173","1013801","10138101"
"2","3","500016","174","5114000","10141"
"2","3","501952","175","5114003","10141"
"2","3","502224","180","5140002","10140"
"2","3","501031","181","5092001","20050"
"2","3","501551","182","5092004","20050"
