000f98018215620ec70640a8ca7d11b961f2ae3bc0aea9cbca9dca76845d69ee,677343f937eae4333f5912c0095ddbf89723bbb3c386ed2f310f1577fb27db5a,49edb1f913d5049811faccff4773ae2d9166fa6144f354ca6c4de93e7a22a171,e9fbb0a0164f2a9ee4b3de496c6a0faa5563e51f66c790ff539c5ef5db31ba39,6f4852efbece8e27bddea277afb821838e89b174a00950b683ab53cba1974fd1,9776e3500ef94ee99d4bf0304de57609e4f31169e5eba118de964aa952bd2c3f,2098cc11d27f9783f7a4e49184a700f69ae23c4ba16c6709437831009fa44c88,7db687addb59c54df862e333f944c9ab3f5aa783866178e53bc3ceb6bca5b998,7571d34838de0096a6f33f2c41451774af457ddd868bba0ac70d4dbcfee3ff50,0a01e479d196b001ad958237398943050ff783b5d0bf6e4e401b83e0599bd60e,0543416e65ca6ead7ad04c067e2ad4fce6925646768f4f569d9beab5afc7ab15
"-496","1","1","105831","1010001","-157","100","01_uek_cmn_idol_def_N","0","1","1.3"
"-355","1","1","105931","1010002","-178","110","01_uek_cmn_idol_def_N","0","1","1.3"
"410","1","1","112631","1010003","-124","100","01_uek_cmn_idol_def_N","1","1","1.3"
"389","1","1","112531","1010004","-258","110","01_uek_cmn_idol_def_N","1","1","1.3"
"-415","1","1","106031","1010005","-234","120","01_uek_cmn_idol_def_N","0","1","1.3"
"262","1","1","112431","1010006","-235","120","01_uek_cmn_idol_def_N","1","1","1.3"
"01_uek_cmn_pose03","1","3","01_uek_01_peko","1010007","1","0","","0.2","105831","0"
"01_uek_talk_normal","1","3","01_uek_01_kokkoro","1010008","1","0","","0.2","105931","0"
"01_uek_cmn_pose02","1","3","01_uek_01_kyaru","1010009","1","0","","0.2","106031","0"
"01_uek_cmn_pose03","1","3","01_uek_01_mio","1010010","1","0","","0.2","112631","0"
"01_uek_cmn_pose02","1","3","01_uek_01_rin","1010011","1","0","","0.2","112531","0"
"01_uek_cmn_pose01","1","3","01_uek_01_uduki","1010012","1","0","","0.2","112431","0"
"","1","93","","1010013","","","","","3",""
"","1","3","01_uek_cmn_pose03","1010014","0","1","","","112631","0.2"
"","1","3","01_uek_cmn_pose01","1010015","0","1","","","112431","0.2"
"","1","3","01_uek_cmn_pose03","1010016","0","1","","","105831","0.2"
"01_uek_cmn_idol_def_N","1","3","01_uek_talk_normal","1010017","1","0","","0.1","105931","0.2"
"01_uek_cmn_idol_def_N","1","3","01_uek_cmn_pose02","1010018","1","0","","0.1","106031","0.2"
"01_uek_cmn_idol_def_N","1","3","01_uek_cmn_pose02","1010019","1","0","","0.1","112531","0.2"
"","1","11","唔哇……！\n變得超大的，\n太讚了吧☆","1010020","","10","","","105831",""
"","1","91","","1010021","","","","","0",""
"","1","11","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","1010022","","10","","","105931",""
"","1","91","","1010023","","","","","0",""
"","1","11","這種情況下，\n就讓人想看看\n上面是怎樣呢！","1010024","","10","","","112631",""
"","1","91","","1010025","","","","","0",""
"","1","11","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","1010026","","10","","","112531",""
"","1","91","","1010027","","","","","0",""
"","1","11","反正我也挺感興趣，\n就陪陪妳們吧。","1010028","","10","","","106031",""
"","1","91","","1010029","","","","","0",""
"","1","11","好♪大家一起\n加油以登頂\n為目標吧！","1010030","","10","","","112431",""
"","1","91","","1010031","","","","","0",""
"0","2","1","104431","1020001","0","100","02_uek_cmn_idol_def_N","0","1","1.3"
"02_uek_02_ilya_loop","2","3","02_uek_02_ilya","1020002","0","0","","","104431",""
"0","2","11","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","1020003","","10","","","104431",""
"","2","91","","1020004","0","","","","0",""
"-140","3","1","105831","1030001","-10","100","01_uek_cmn_idol_def_N","0","1","1.3"
"120","3","1","105931","1030002","10","100","01_uek_cmn_idol_def_N","1","1","1.3"
"0","3","1","106031","1030003","0","100","01_uek_cmn_idol_def_N","1","1","1.3"
"01_uek_03_peko_loop","3","3","01_uek_03_peko","1030004","0","0","","","105831",""
"01_uek_03_kyaru_loop","3","3","01_uek_03_kyaru","1030005","0","0","","","106031",""
"0","3","11","小凱留！\n妳快看，\n景色很棒哦☆","1030006","","10","","","105831",""
"","3","91","","1030007","","","","","0",""
"0","3","11","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","1030008","","10","","","106031",""
"","3","91","","1030009","","","","","0",""
"01_uek_cmn_idol_def_N","3","3","01_uek_03_kokkoro","1030010","1","0","","","105931",""
"0","3","11","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","1030011","","10","","","105931",""
"-120","4","1","101131","1040001","-30","100","02_uek_cmn_idol_def_N","0","1","1.3"
"20","4","1","104931","1040002","-5","100","02_uek_cmn_idol_def_N","1","1","1.3"
"","4","3","02_uek_talk_joy2","1040003","","1","","","101131",""
"0","4","11","千萬行星也要\n始於腳下！\n我會加油的！","1040004","","10","","","101131",""
"","4","91","","1040005","","","","","0",""
"","4","3","02_uek_cmn_idol_def_N","1040006","","1","","","101131","0.2"
"","4","3","02_uek_04_shizuru","1040007","","1","","","104931","0.2"
"0","4","11","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","1040008","","10","","","104931",""
"","4","91","","1040009","","","","","0",""
"","4","3","02_uek_cmn_idol_def_N","1040010","","1","","","104931","0.2"
"-70","5","1","105031","1050001","0","100","02_uek_cmn_idol_def_N","0","1","1.3"
"70","5","1","101631","1050002","1","100","02_uek_cmn_idol_def_N","1","1","1.3"
"02_uek_05_misaki_loop","5","3","02_uek_05_misaki","1050003","-15","0","","","105031",""
"02_uek_05_suzuna_loop","5","3","02_uek_05_suzuna","1050004","0","0","","","101631",""
"0","5","11","我要登上大人\n的階梯了～！","1050005","","10","","","105031",""
"","5","91","","1050006","0","","","","0",""
"0","5","11","人家也要成為\n超級巨星名模囉！","1050007","","10","","","101631",""
"120","6","1","100531","1060001","25","100","02_uek_cmn_idol_def_N","1","1","1.3"
"-20","6","1","103731","1060002","5","100","02_uek_cmn_idol_def_N","0","1","1.3"
"","6","3","02_uek_cmn_pose04","1060003","","1","","","100531",""
"0","6","11","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","1060004","","10","","","100531",""
"","6","91","","1060005","","","","","0",""
"","6","3","02_uek_talk_normal","1060006","","1","","","103731","0.2"
"0","6","11","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","1060007","","10","","","103731",""
"","6","91","","1060008","","","","","0",""
"","6","3","02_uek_cmn_idol_def_N","1060009","","1","","","103731","0.2"
"-60","7","1","103831","1070001","-20","100","02_uek_cmn_idol_def_N","0","1","1.3"
"","7","3","02_uek_07_shiori","1070002","","1","","","103831","0.2"
"","7","11","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","1070003","","10","","","103831",""
"90","8","1","104531","1080001","40","100","02_uek_08_kuka_loop","0","1","1.3"
"60","8","31","2","1080002","1","90","","","2","1"
"0","8","11","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","1080003","0","10","","","104531",""
"","8","91","","1080004","","","","","0",""
"-195","9","1","105831","1090001","-35","100","05_idle","0","2","0.9"
"150","9","1","302102","1090002","-30","1000","302102_idle","0","2","1.2"
"50","9","31","15","1090003","1","150","","","102","1"
"400","9","31","16","1090004","1","150","","","103","1"
"-160","10","1","112531","1100001","-25","100","01_uek_cmn_idol_def_N","0","1","1.3"
"-40","10","1","112431","1100002","-5","100","01_uek_cmn_idol_def_N","1","1","1.3"
"125","10","1","112631","1100003","20","100","01_uek_cmn_idol_def_N","1","1","1.3"
"","10","3","01_uek_talk_surprise2","1100004","0","1","","","112631",""
"0","10","11","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","1100005","0","10","","","112631",""
"","10","91","","1100006","","","","","0",""
"","10","3","01_uek_cmn_idol_def_N","1100007","0","1","","","112631","0.2"
"","10","3","01_uek_talk_joy1","1100008","","1","","","112431",""
"0","10","11","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","1100009","0","10","","","112431",""
"","10","91","","1100010","","","","","0",""
"","10","3","01_uek_cmn_idol_def_N","1100011","","1","","","112431","0.2"
"","10","3","01_uek_talk_normal","1100012","","1","","","112531",""
"0","10","11","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","1100013","0","10","","","112531",""
"","10","91","","1100014","","","","","0",""
"","10","3","01_uek_cmn_idol_def_N","1100015","","1","","","112531","0.2"
"","10","91","","1100016","","","","","0",""
"-135","11","1","104731","1110001","-20","100","03_uek_cmn_idol_def_N","0","1","1.3"
"100","11","1","107131","1110002","5","100","03_uek_cmn_idol_def_N","1","1","1.3"
"03_uek_11_jun_loop","11","3","03_uek_11_jun","1110003","1","0","","","104731","0"
"03_uek_cmn_idol_def_N","11","3","03_uek_11_chris","1110004","1","0","","0.2","107131","0"
"","11","11","唔，視野一片白……\n小克莉絲，\n妳要小心！","1110005","0","10","","","104731",""
"","11","91","","1110006","","","","","0",""
"0","11","11","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","1110007","0","10","","","107131",""
"","11","93","","1110008","","","","","1.5",""
"1.5","11","2","-135","1110009","1","0","","","104731",""
"","11","91","","1110010","","","","","1110007",""
"-120","12","1","101031","1120001","-20","100","03_uek_cmn_idol_def_N","0","1","1.3"
"10","12","1","101431","1120002","-5","100","03_uek_cmn_idol_def_N","1","1","1.3"
"","12","3","03_uek_talk_joy1","1120003","0","1","","","101031",""
"0","12","11","好可愛的雲呀，\n真想一起\n帶回去啊♪","1120004","0","10","","","101031",""
"","12","91","","1120005","","","","","0",""
"","12","3","03_uek_cmn_idol_def_N","1120006","0","1","","","101031","0.2"
"","12","3","03_uek_talk_normal","1120007","0","1","","","101431",""
"0","12","11","再怎麼說\n那未免也\n太困難了吧……？","1120008","0","10","","","101431",""
"","12","91","","1120009","","","","","0",""
"","12","3","03_uek_cmn_idol_def_N","1120010","0","1","","","101431","0.2"
"-165","13","1","105831","1130001","-45","100","01_uek_cmn_idol_def_N","0","1","1.3"
"-45","13","1","105931","1130002","-20","100","01_uek_cmn_idol_def_N","0","1","1.3"
"120","13","1","106031","1130003","-5","100","01_uek_cmn_idol_def_N","1","1","1.3"
"","13","3","01_uek_talk_normal","1130004","1","1","","","105931",""
"0","13","11","已經爬到滿高的\n地方來了呢……","1130005","0","10","","","105931",""
"","13","91","","1130006","","","","","0",""
"01_uek_cmn_idol_def_N","13","3","01_uek_13_kokkoro","1130007","1","0","","","105931","0.2"
"01_uek_13_kyaru_loop","13","3","01_uek_13_kyaru","1130008","1","0","","","106031",""
"0","13","11","根本完全\n看不見頂端啊！\n到底有多高啊！","1130009","0","10","","","106031",""
"","13","91","","1130010","","","","","0",""
"","13","3","01_uek_13_peco_loop","1130011","0","1","","","105831",""
"0","13","11","有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","1130012","0","10","","","105831",""
"","13","91","","1130013","","","","","0",""
"-86","14","1","104031","1140001","-25","100","03_uek_cmn_idol_def_N","0","1","1.3"
"250","14","31","1","1140002","1","0","","","1","1"
"03_uek_14_aoi_loop","14","3","03_uek_14_aoi","1140003","1","0","","","104031",""
"0","14","11","嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","1140004","0","10","","","104031",""
"-75","15","1","100731","1150001","-20","100","03_uek_cmn_idol_def_N","0","1","1.3"
"65","15","1","103131","1150002","10","100","03_uek_15_father","1","1","1.3"
"","15","3","03_uek_15_miyako","1150003","0","1","","","100731",""
"0","15","11","天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","1150004","0","10","","","100731",""
"","15","91","","1150005","","","","","0",""
"","15","3","03_uek_15_father","1150006","0","1","","","103131",""
"0","15","11","小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","1150007","0","10","","","103131",""
"","15","91","","1150008","","","","","0",""
"","15","3","03_uek_talk_normal","1150009","0","1","","","103131",""
"0","15","11","宮子\n妳可不能\n真的升天哦……？","1150010","0","10","","","103131",""
"","15","91","","1150011","","","","","0",""
"","15","3","03_uek_cmn_idol_def_N","1150012","0","1","","","103131","0.2"
"-110","16","1","112431","1160001","-45","100","01_uek_cmn_idol_def_N","0","1","1.3"
"40","16","1","105831","1160002","-15","100","01_uek_cmn_idol_def_N","1","1","1.3"
"140","16","1","105931","1160003","10","100","01_uek_cmn_idol_def_N","1","1","1.3"
"01_uek_cmn_idol_def_N","16","3","01_uek_01_kokkoro","1160004","0","0","","","105931",""
"01_uek_cmn_idol_def_N","16","3","01_uek_01_uduki","1160005","1","0","","","112431",""
"01_uek_cmn_idol_def_N","16","3","01_uek_01_peko","1160006","1","0","","","105831",""
"","16","91","","1160007","","","","","0",""
"","16","3","01_uek_talk_normal","1160008","1","1","","","105931",""
"0","16","11","卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","1160009","0","10","","","105931",""
"","16","91","","1160010","","","","","0",""
"","16","3","01_uek_cmn_idol_def_N","1160011","1","1","","","105931",""
"","16","3","01_uek_talk_joy1","1160012","","1","","","112431",""
"0","16","11","嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","1160013","0","10","","","112431",""
"","16","93","","1160014","","","","","1.5",""
"01_uek_16_uduki_loop","16","3","01_uek_16_uduki","1160015","1","0","","","112431","0.2"
"","16","91","","1160016","","","","","1160013",""
"","16","3","01_uek_talk_joy1","1160017","","1","","","105831",""
"0","16","11","妳很有活力呢！\n卯月，我們\n一起加油吧～☆","1160018","0","10","","","105831",""
"","16","93","","1160019","","","","","2.2",""
"01_uek_16_uduki_loop","16","3","01_uek_16_peco","1160020","1","0","","","105831","0.2"
"","16","91","","1160021","","","","","1160018",""
"150","17","1","102331","1170001","10","300","03_uek_cmn_idol_def_N","1","1","1.3"
"-100","17","1","102131","1170002","-15","100","03_uek_cmn_idol_def_N","0","1","1.3"
"10","17","31","3","1170003","1.3","20","","","3","0"
"03_uek_17_ayane_loop","17","3","03_uek_17_ayane","1170004","1","0","","0.2","102331","0.2"
"03_uek_cmn_idol_def_N","17","3","03_uek_cmn_pose05","1170005","1","0","","","102131","0.2"
"","17","32","1","1170006","","","","","3",""
