49a0d9977d25b800e592aae94cebee539540cfd9e8e9de3b89db7f88ed4edb53,ba0d078192e6a1c1be66cd5cf4d041de34791ff4722c82692200d2989ae258f7,3070b78c9165240b95a23677950439bbd491f39f64dbca9ffc14d0f63a2e5c79
"全角色 強化ＨＰ","1","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化物理攻擊力","2","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化普通攻擊","3","[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]"
"全角色 強化魔法攻擊力","4","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化物理防禦力","5","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化恢復","6","[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]"
"全角色 強化魔法防禦力","7","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化物理暴擊率","8","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化狀態異常命中","9","[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]"
"全角色 強化魔法暴擊率","10","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"增加挑戰開始時的始源盧幣","11","[3C404E]挑戰開始時，可以多持有[-][FFBB00,CE4F00]1000[-][3C404E]始源盧幣出發[-]"
"全角色 強化物理暴擊傷害","12","[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化增益","13","[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的強化效果與職階專精共通）[-]"
"全角色 強化魔法暴擊傷害","14","[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化物理造成的傷害","15","[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化減益","16","[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的弱化效果與職階專精共通）[-]"
"全角色 強化魔法造成的傷害","17","[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化ＨＰ","18","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"強化屬性獎勵","19","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化ＨＰ","20","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"始源盧幣商店折扣","21","[3C404E]挑戰中，陳列於商店的道具價格[-][FFBB00,CE4F00]25％OFF[-][3C404E]（僅使用「始源盧幣」購買的商店有效）[-]"
"全角色 強化物理攻擊力","22","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化普通攻擊","23","[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]"
"全角色 強化魔法攻擊力","24","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化物理防禦力","25","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化恢復","26","[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]15[-][3C404E][-]"
"全角色 強化魔法防禦力","27","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化物理暴擊率","28","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
