c1559f844da7653a562be430f2b09b82432a25b4c3adc536191c2e48757e3ded,5e076a29e6207f3dade57343f69f779f8b1d795bab2b45e01058ed8e773f69e8,497000e702f5f79b1b364875c6f410a1088928b6780e1c1be8b499c7e12dd8f5,8ecd8148390bb3dbd7eb097a4f2ec2aca43f6722c0932bbc206c2660af19ef3f,ecb7bb51e3ea6c4684fc4f3bfff51dcbf5afa7edbcbbbca73b6aa1f1c3a233fc
"0","1","0","0","0"
"0","2","0","0","0"
"0","3","0","0","0"
"0","4","0","2","0"
"0","5","0","2","0"
"0","6","0","2","0"
"0","7","0","3","0"
"0","8","0","3","0"
"0","9","0","3","0"
"0","10","0","4","0"
"0","11","0","4","0"
"0","12","0","4","0"
"0","13","0","0","0"
"0","14","0","0","0"
"0","15","0","0","0"
"2","16","0","0","0"
"2","17","0","0","0"
"2","18","0","0","0"
"3","19","0","0","0"
"3","20","0","0","0"
"3","21","0","0","0"
"0","22","0","3","0"
"0","23","0","3","0"
"0","24","0","2","0"
"0","25","0","2","0"
"2","26","0","0","0"
"2","27","0","0","0"
"0","28","0","2","3"
"0","29","0","2","3"
"2","30","0","3","0"
"2","31","0","3","0"
"3","32","0","3","0"
"3","33","0","0","0"
"0","34","0","3","4"
"0","35","0","0","0"
"2","36","0","2","0"
"2","37","0","2","0"
"3","38","0","4","0"
