ad6a4ade2f9bcf6d53e43b69361731ce8af868e5d13529b6795a6ec6528c1ad0,3bbfde32b2cd0fa680f335f5275a079bbadce7881e353bbaa9ca896ffe96ea08,c42d59476391f37cd961dad86d6ba1575c49d47360afc9e91e6ff0e7bfc73519,08dd6dd66d1c279ded29e4e42c593d6c66e89c514772dbaecd2fc6053da04daf,f52b5b23bfc53f85b5ca1a00e2b3fed50d380611bdc89aafb130c96f50755834
"94002","12","100001011","10000101","150000"
"22003","2","100001012","10000101","6"
"94002","12","100001021","10000102","500000"
"22003","2","100001022","10000102","6"
"94002","12","100001031","10000103","500000"
"140001","4","100001032","10000103","3"
"25001","2","100001033","10000103","3"
"94002","12","100001041","10000104","500000"
"22003","2","100001042","10000104","6"
"94002","12","100001051","10000105","500000"
"140001","4","100001052","10000105","4"
"25001","2","100001053","10000105","4"
"94002","12","100001061","10000106","500000"
"22003","2","100001062","10000106","6"
"94002","12","100001071","10000107","500000"
"140001","4","100001072","10000107","4"
"25001","2","100001073","10000107","4"
"94002","12","100001081","10000108","500000"
"22003","2","100001082","10000108","6"
"94002","12","100001091","10000109","500000"
"140001","4","100001092","10000109","4"
"25001","2","100001093","10000109","4"
"94002","12","100505011","10050501","120000"
"22003","2","100505012","10050501","3"
"94002","12","100505021","10050502","120000"
"22003","2","100505022","10050502","4"
"94002","12","100505031","10050503","120000"
"22003","2","100505032","10050503","4"
"94002","12","100505111","10050511","120000"
"22003","2","100505112","10050511","3"
"94002","12","100505121","10050512","160000"
"22003","2","100505122","10050512","4"
"94002","12","100606011","10060601","120000"
"22003","2","100606012","10060601","3"
"94002","12","100606021","10060602","120000"
"22003","2","100606022","10060602","4"
"94002","12","100606031","10060603","120000"
"22003","2","100606032","10060603","4"
"94002","12","100606111","10060611","120000"
"22003","2","100606112","10060611","3"
"94002","12","100606121","10060612","160000"
"22003","2","100606122","10060612","4"
"94002","12","100707011","10070701","120000"
"22003","2","100707012","10070701","3"
"94002","12","100707021","10070702","120000"
"22003","2","100707022","10070702","4"
"94002","12","100707031","10070703","120000"
"22003","2","100707032","10070703","4"
"94002","12","100707111","10070711","120000"
"22003","2","100707112","10070711","3"
"94002","12","100707121","10070712","160000"
"22003","2","100707122","10070712","4"
"94002","12","100808011","10080801","120000"
"22003","2","100808012","10080801","3"
"94002","12","100808021","10080802","120000"
"22003","2","100808022","10080802","4"
"94002","12","100808031","10080803","120000"
"22003","2","100808032","10080803","4"
"94002","12","100808111","10080811","120000"
"22003","2","100808112","10080811","3"
"94002","12","100808121","10080812","160000"
"22003","2","100808122","10080812","4"
