7a4fca4ed3b95115e648875d23edad10fc9c3dd10d5bbbc7aeeecd06f57aa502,c823eab7646031c113940a15f37dbb94413c08141b3ba51d8581049bc1782df3,c9f52f43a2af59edb68814986d4b5ab056c7abf0639c8651b4b1d138f35fcd6f,d0c53ec238f2aeec31f76157f84567bd95d8cf2cd1f31a5b6cd241c4bb3b2348,36c4602fdcac5e9595f41c2a45431ad71ffeb80d27b5c9f25bba3d1cc1cb69ad,1b554c74631101697e0fc9e68a465a528590fae9e34056839bf6a5ddd6232342,22a00d23c30e3247b5d7a0e0f5a33b318efcbbfd671eb76b6994f0576c08b1b8,2c6711833b608194b3654cda332d19e04e58927f031e726a75fbcee499cdfa74,40313044f09e64ab01cc8f4dfb925ed5c5a3921c70eae09bda16d793fa6ac63c,ae1ccc85bda05b608532bbbd0f236873ff467bf0bedaf5cf1f3eb9ea4bdfd5fa,6d00ccce31217b53ab57e753b93b413d5982ea77d363f398fc62993950273474,0a70427e08094f1aaf680f852ab54ea5cb32d9bdbea21a88a4cd06549b6ef93f,a83e994cafed0892ed660d4bf92c0afbdb9779ea0d541b8952efa26cf2577302,db32628681bfce688517a216426b494b6620e0c6209f55f006e1664430dc4b90,9178f092451688baaceb12a01c41d5c4b06ccbaba04f0e2f9972399e4182c37e,70685f52c7e00ad104e01654c49605816395d5482b121c573572682e0f202947,ff4be146da04611bb27a552afe526eea87bd9666383417e4287ecafc9cfdcb82,9c96eb285a33962a919636830a0b3515e26a697da386cf5aac466b1b0a261095,c770036a732c3248b9d76aebc46b2b281edafa3dafe35ace534fd95d58875956,31a2270a09e87a843b19d67a032917681b3f1bcf4888117efbb748c93f62c8ac,bb664b092dbfc88c2a1eace367a4388f949bac2ab3d5fcad4d687ae32ed4c084,8ec8bc4eab8784f9a9ae3bf21604dcf314abefec1fa3f2399d0232a1e20c3527,f73e7dcb2e6e2efef0b110229f6ac00384ea7d4b65f74eefef6565692bf6200b,54f66c8d640f4244def6046379108146fc451b73c92f9af7776f4446c741c87e,1adada0e98fac5329ebbbd7be74328a9d746e943a6067908e12a2fc16331383d
"1","0","0","0","32001","0","50","0","0","1","0","5","1","0","0","0","0","100101","0","18","160","0","100000","0","0"
"1","0","0","0","31001","0","50","0","0","1","0","3","2","0","0","0","0","100101","0","11","80","0","100000","0","0"
"1","0","0","0","25001","0","10","0","0","0","0","0","3","0","0","0","0","100101","0","15","100","0","100000","0","0"
"2","0","0","0","25001","0","15","10","0","0","0","0","3","0","0","0","0","100101","0","15","200","0","200000","0","0"
"3","0","0","0","25001","0","20","20","0","0","0","0","3","0","0","0","0","100101","0","15","300","0","400000","0","0"
"4","0","0","0","25001","0","25","30","0","0","0","0","3","0","0","0","0","100101","0","15","400","0","500000","0","0"
"5","0","0","0","25001","0","30","40","0","1","0","2","3","0","0","0","2","100101","0","15","500","0","600000","0","0"
"1","0","0","0","32002","0","50","0","0","1","100","0","1","0","0","0","0","100201","0","18","0","10","100000","0","0"
"1","0","0","0","31002","0","50","0","0","1","60","0","2","0","0","0","0","100201","0","11","0","10","100000","0","0"
"1","0","0","0","25001","0","10","0","0","0","20","0","3","2","0","0","0","100201","0","15","0","0","100000","0","0"
"2","0","0","0","25001","0","15","0","0","0","40","0","3","4","0","0","0","100201","0","15","0","0","200000","0","0"
"3","0","0","0","25001","0","20","0","0","0","60","0","3","6","0","0","0","100201","0","15","0","0","400000","0","0"
"4","0","0","0","25001","0","25","0","0","0","80","0","3","8","0","0","0","100201","0","15","0","0","500000","0","0"
"5","0","0","0","25001","0","30","0","0","1","100","0","3","10","0","0","0","100201","0","15","0","10","600000","0","0"
"1","0","0","0","32003","0","50","0","0","1","0","5","1","0","0","0","0","100301","0","18","160","0","100000","0","0"
"1","0","0","0","31003","0","50","0","0","1","0","3","2","0","0","0","0","100301","0","11","80","0","100000","0","0"
"1","0","0","0","25001","0","10","0","0","0","0","0","3","0","0","0","0","100301","0","15","100","0","100000","0","0"
"2","0","0","0","25001","0","15","10","0","0","0","0","3","0","0","0","0","100301","0","15","200","0","200000","0","0"
"3","0","0","0","25001","0","20","20","0","0","0","0","3","0","0","0","0","100301","0","15","300","0","400000","0","0"
