7279993fa04c1a7ed08e82d72250fab3a4926a0178a42460eddd96a1d1dbf628,dcca8565d40fa6931c19559d742c6498ab4411cfb2ac37b3eab0c15fd825d73d
"1","強化HP"
"2","強化物理攻擊力"
"3","強化物理防禦力"
"4","強化魔法攻擊力"
"5","強化魔法防禦力"
"6","強化物理暴擊率"
"7","強化魔法暴擊率"
"8","強化迴避"
"9","強化HP吸收"
"10","強化HP自動回復效果"
"11","強化TP自動回復效果"
"12","強化物理貫通傷害"
"13","強化魔法貫通傷害"
"14","強化TP上升效果"
"15","強化回復量上升效果"
"16","強化TP消耗減輕效果"
"17","強化命中"
"50","強化物理、魔法攻擊力"
"51","強化物理、魔法防禦力"
"52","強化物理、魔法暴擊率"
"100","強化物理暴擊傷害"
"101","強化魔法暴擊傷害"
"102","強化物理造成的傷害"
"103","強化魔法造成的傷害"
"104","強化屬性獎勵"
