f21e6cbf5c532d6b69a21fdd4fbca26bc90f19e80a883d3789f09a5bbcb67627,6e5ba493e4d61d9940b00b030516f44df95fb9e63911dadfc3674769ec979890,359eebc11156289d5b12609eb7995c18930ed81308405f5b9d1b1d478bb95e0c,0ea7fb8e09646d7f948e81693458481303a2463738dcd25bbe2ba615ff2310b9,86822efb6abeae1470c28a1a52e4eafb7f50d7485567b0f28eb2853df61c36c5
"0","3001","3","1","803100201"
"0","3001","3","2","803100202"
"0","3001","3","3","803100203"
"0","3002","3","1","803100204"
"0","3002","3","2","803100205"
"0","3002","3","3","803100206"
"0","3003","3","1","803100207"
"0","3003","3","2","803100208"
"0","3003","3","3","803100209"
"0","3004","3","1","803100210"
"0","3004","3","2","803100211"
"0","3004","3","3","803100212"
"0","3005","3","1","803100213"
"0","3005","3","2","803100214"
"0","3005","3","3","803100215"
"0","3006","3","1","803100216"
"0","3006","3","2","803100217"
"0","3006","3","3","803100218"
"0","3007","3","1","803100219"
"0","3007","3","2","803100220"
"0","3007","3","3","803100221"
