17c78c249c296d5bf7e0050956be257f5009d33b4d74dc68f5b8b4e64813d2e3,b59468ac1ebd315d19cb19b4b35332e126189fe95a0e8a7033a92396b3278892,5ac016c78031a0929fbd8e8f754e3c6698ff6f8c1a334f37241ae075af28294e,814396fd0e816e51b53e3207e9599e2cfae45d083be31cc978c12c08d6aa1795,cf20e5609f7ef6123132646fd8e0c9d56c6eff5bb805ecf6868728330a35939b,b3b1e2db8660766be5681d1831206cee209183592f43481f605eee456a6082a7,059af0cbb5faa43049e1af7735704dc27e8e9f16e27614478137ecab7f45d5fc
"180010112","180010113","1","180010111","18001001","59","1"
"180010212","180010213","60","180010211","18001001","99","2"
"180010312","180010313","100","180010311","18001001","119","3"
"180010412","180010413","120","180010411","18001001","139","4"
"180010512","180010513","140","180010511","18001001","149","5"
"180010612","180010613","150","180010611","18001001","159","6"
"180010712","180010713","160","180010711","18001001","169","7"
"180010812","180010813","170","180010811","18001001","-1","8"
"180010122","180010123","1","180010121","18001002","59","9"
"180010222","180010223","60","180010221","18001002","99","10"
"180010322","180010323","100","180010321","18001002","119","11"
"180010422","180010423","120","180010421","18001002","139","12"
"180010522","180010523","140","180010521","18001002","149","13"
"180010622","180010623","150","180010621","18001002","159","14"
"180010722","180010723","160","180010721","18001002","169","15"
"180010822","180010823","170","180010821","18001002","-1","16"
"180010132","180010133","1","180010131","18001003","59","17"
"180010232","180010233","60","180010231","18001003","99","18"
"180010332","180010333","100","180010331","18001003","119","19"
"180010432","180010433","120","180010431","18001003","139","20"
"180010532","180010533","140","180010531","18001003","149","21"
"180010632","180010633","150","180010631","18001003","159","22"
"180010732","180010733","160","180010731","18001003","169","23"
"180010832","180010833","170","180010831","18001003","-1","24"
"180010142","180010143","1","180010141","18001004","59","25"
"180010242","180010243","60","180010241","18001004","99","26"
"180010342","180010343","100","180010341","18001004","119","27"
"180010442","180010443","120","180010441","18001004","139","28"
"180010542","180010543","140","180010541","18001004","149","29"
"180010642","180010643","150","180010641","18001004","159","30"
"180010742","180010743","160","180010741","18001004","169","31"
"180010842","180010843","170","180010841","18001004","179","32"
"180010942","180010943","180","180010941","18001004","189","33"
"180011042","180011043","190","180011041","18001004","199","34"
"180011142","180011143","200","180011141","18001004","-1","35"
"180010152","180010153","1","180010151","18001005","59","36"
"180010252","180010253","60","180010251","18001005","99","37"
"180010352","180010353","100","180010351","18001005","119","38"
"180010452","180010453","120","180010451","18001005","139","39"
"180010552","180010553","140","180010551","18001005","149","40"
"180010652","180010653","150","180010651","18001005","159","41"
"180010752","180010753","160","180010751","18001005","169","42"
"180010852","180010853","170","180010851","18001005","179","43"
"180010952","180010953","180","180010951","18001005","189","44"
"180011052","180011053","190","180011051","18001005","199","45"
"180011152","180011153","200","180011151","18001005","209","46"
"180011252","180011253","210","180011251","18001005","219","47"
"180011352","180011353","220","180011351","18001005","229","48"
"180011452","180011453","230","180011451","18001005","239","49"
"180011552","180011553","240","180011551","18001005","-1","50"
"180010162","180010163","1","180010161","18001006","59","51"
"180010262","180010263","60","180010261","18001006","99","52"
"180010362","180010363","100","180010361","18001006","119","53"
"180010462","180010463","120","180010461","18001006","139","54"
"180010562","180010563","140","180010561","18001006","149","55"
"180010662","180010663","150","180010661","18001006","159","56"
"180010762","180010763","160","180010761","18001006","169","57"
"180010862","180010863","170","180010861","18001006","179","58"
"180010962","180010963","180","180010961","18001006","189","59"
"180011062","180011063","190","180011061","18001006","199","60"
"180011162","180011163","200","180011161","18001006","209","61"
"180011262","180011263","210","180011261","18001006","219","62"
"180011362","180011363","220","180011361","18001006","229","63"
"180011462","180011463","230","180011461","18001006","239","64"
"180011562","180011563","240","180011561","18001006","249","65"
"180011662","180011663","250","180011661","18001006","259","66"
"180011762","180011763","260","180011761","18001006","-1","67"
"180010172","180010173","1","180010171","18001007","59","68"
"180010272","180010273","60","180010271","18001007","99","69"
"180010372","180010373","100","180010371","18001007","119","70"
"180010472","180010473","120","180010471","18001007","139","71"
