2f4f2478205fc81e7da1986a17c79676027267ac0b421cd728d6c83194ecd46d,86aa05c89b2fcf0711bd7ec2bceebef9a09b569a5a3cf87ba28b3fe25f473d6b,8a60e66ba1af64d08364f1cf7d8780e31f60fc5676e6fc316a2533a7e3b0f6e9,06e49af156d1d3f9bcb8362ede2f61ca1d06bc2c5d3c477e49c74b5dbf0469ad,3cb568a7ca7370051bff6b0714107aa51af28c7975366ea8325eacabe8858dda
"150000","10000101","100001011","94002","12"
"6","10000101","100001012","22003","2"
"500000","10000102","100001021","94002","12"
"6","10000102","100001022","22003","2"
"500000","10000103","100001031","94002","12"
"3","10000103","100001032","140001","4"
"3","10000103","100001033","25001","2"
"500000","10000104","100001041","94002","12"
"6","10000104","100001042","22003","2"
"500000","10000105","100001051","94002","12"
"4","10000105","100001052","140001","4"
"4","10000105","100001053","25001","2"
"500000","10000106","100001061","94002","12"
"6","10000106","100001062","22003","2"
"500000","10000107","100001071","94002","12"
"4","10000107","100001072","140001","4"
"4","10000107","100001073","25001","2"
"500000","10000108","100001081","94002","12"
"6","10000108","100001082","22003","2"
"500000","10000109","100001091","94002","12"
"4","10000109","100001092","140001","4"
"4","10000109","100001093","25001","2"
"120000","10050501","100505011","94002","12"
"3","10050501","100505012","22003","2"
"120000","10050502","100505021","94002","12"
"4","10050502","100505022","22003","2"
"120000","10050503","100505031","94002","12"
"4","10050503","100505032","22003","2"
"120000","10050511","100505111","94002","12"
"3","10050511","100505112","22003","2"
"160000","10050512","100505121","94002","12"
"4","10050512","100505122","22003","2"
"120000","10060601","100606011","94002","12"
"3","10060601","100606012","22003","2"
"120000","10060602","100606021","94002","12"
"4","10060602","100606022","22003","2"
"120000","10060603","100606031","94002","12"
"4","10060603","100606032","22003","2"
"120000","10060611","100606111","94002","12"
"3","10060611","100606112","22003","2"
"160000","10060612","100606121","94002","12"
"4","10060612","100606122","22003","2"
"120000","10070701","100707011","94002","12"
"3","10070701","100707012","22003","2"
"120000","10070702","100707021","94002","12"
"4","10070702","100707022","22003","2"
"120000","10070703","100707031","94002","12"
"4","10070703","100707032","22003","2"
"120000","10070711","100707111","94002","12"
"3","10070711","100707112","22003","2"
"160000","10070712","100707121","94002","12"
"4","10070712","100707122","22003","2"
"120000","10080801","100808011","94002","12"
"3","10080801","100808012","22003","2"
"120000","10080802","100808021","94002","12"
"4","10080802","100808022","22003","2"
"120000","10080803","100808031","94002","12"
"4","10080803","100808032","22003","2"
"120000","10080811","100808111","94002","12"
"3","10080811","100808112","22003","2"
"160000","10080812","100808121","94002","12"
"4","10080812","100808122","22003","2"
