156bfffc2f3113a76a03172b8a44ccb41048a65ca378cb7177c2c55bb642425d,ef4913135702f39d2255541047440a682221b21dc63a2df147d5563119a6240a,2ccf6024ce5c603ed364be53186221c259a481bdb512007da5d12d98b34efb2a,e51937cefe698ec4311aee10eed3b6664d8d03bac965ee21c1398288b3ebd30d,7841f5fde411c24151dcbea7f3347970f164f8ad213892d933ee5bf37febfd04
"1","20","30","999","0"
"2","20","30","999","24"
"3","21","30","999","32"
"4","21","30","999","40"
"5","22","30","999","48"
"6","22","30","999","64"
"7","23","30","999","80"
"8","23","30","999","96"
"9","24","30","999","120"
"10","24","30","999","168"
"11","25","30","999","224"
"12","25","30","999","280"
"13","26","30","999","344"
"14","26","30","999","420"
"15","27","30","999","502"
"16","28","30","999","584"
"17","30","30","999","666"
"18","35","30","999","748"
"19","40","30","999","830"
"20","45","30","999","930"
"21","50","30","999","1040"
"22","55","30","999","1178"
"23","60","30","999","1316"
"24","70","30","999","1458"
"25","80","30","999","1604"
"26","85","30","999","1755"
"27","85","30","999","1910"
"28","86","30","999","2070"
"29","87","30","999","2235"
"30","88","30","999","2405"
"31","89","30","999","2579"
"32","90","30","999","2760"
"33","91","30","999","2945"
"34","92","30","999","3136"
"35","93","30","999","3333"
"36","94","30","999","3535"
"37","95","30","999","3744"
"38","96","30","999","3974"
"39","97","30","999","4226"
"40","98","30","999","4504"
"41","99","30","999","4810"
"42","100","30","999","5152"
"43","101","30","999","5535"
"44","102","30","999","5965"
"45","103","30","999","6446"
"46","104","30","999","7004"
"47","105","30","999","7651"
"48","106","30","999","8401"
"49","107","30","999","9272"
"50","108","30","999","10282"
"51","109","30","999","11454"
"52","110","30","999","12813"
"53","111","30","999","14389"
"54","112","30","999","16159"
"55","113","30","999","17929"
"56","114","30","999","19699"
"57","115","30","999","21469"
"58","116","30","999","23239"
"59","117","30","999","25009"
"60","118","30","999","26779"
"61","119","30","999","28549"
"62","120","30","999","30319"
"63","121","30","999","32089"
"64","122","30","999","33859"
"65","123","30","999","35629"
"66","124","30","999","38284"
"67","125","30","999","40939"
"68","126","30","999","43594"
"69","127","30","999","46249"
"70","128","30","999","48904"
"71","129","30","999","51559"
"72","130","30","999","54214"
