37b00a24a6b4c535239f6bc1cd84bc1ca8a8a604c25fbc65a21e0a02cb01147f,5d5887cca9328c0ddc00abdc418a680d185957fcdacc6b1e2332d65812f23ad1,ceb0425e714e88b8ff199093bbb663aeaf55872c71f09ff9d5a8e90ea2a2b3e8,f6cecf94b8acc4f9da55c14f3befa36c4c47868618029cf9f3d4e9d069a71883
"1001","4","180701","1"
"1002","4","180701","2"
"1003","4","180701","3"
"1004","4","180701","4"
"1005","4","180701","5"
"1014","2","180701","6"
"1015","2","180701","7"
"1016","2","180701","8"
"1017","2","180701","9"
"1010","2","180701","10"
"1011","2","180701","11"
"1012","2","180701","12"
"1013","2","180701","13"
"1001","6","180801","14"
"1002","6","180801","15"
"1003","6","180801","16"
"1004","6","180801","17"
"1005","6","180801","18"
"1014","3","180801","19"
"1015","3","180801","20"
"1016","3","180801","21"
"1017","4","180801","22"
"1010","3","180801","23"
"1011","3","180801","24"
"1012","3","180801","25"
"1013","3","180801","26"
"1009","3","180801","27"
"1001","4","180901","28"
"1002","4","180901","29"
"1003","4","180901","30"
"1004","4","180901","31"
"1005","4","180901","32"
"1014","2","180901","33"
"1015","2","180901","34"
"1016","2","180901","35"
"1017","4","180901","36"
"1010","2","180901","37"
"1011","2","180901","38"
"1012","2","180901","39"
"1013","2","180901","40"
"1001","4","181001","41"
"1002","4","181001","42"
"1003","4","181001","43"
"1004","4","181001","44"
"1005","4","181001","45"
"1009","2","181001","46"
"1010","2","181001","47"
"1011","2","181001","48"
"1012","2","181001","49"
"1013","2","181001","50"
"1014","2","181001","51"
"1015","2","181001","52"
"1016","2","181001","53"
"1017","2","181001","54"
"1001","4","181101","55"
"1002","4","181101","56"
"1003","4","181101","57"
"1004","4","181101","58"
"1005","4","181101","59"
"1009","2","181101","60"
"1010","2","181101","61"
"1012","2","181101","62"
"1013","2","181101","63"
"1014","2","181101","64"
"1015","2","181101","65"
"1016","2","181101","66"
"1017","2","181101","67"
