61deacef6ddb7c4d861a9534b1167c96dc1b85aa476996253b6d6c4a84b3e22b,e99569b65b78caa3de6d67590b52a26a2a88b5d92c9bc9e38c0c47838efc05d0,84191da84db76310833d72960596b076179511f7ff383b475592c42e065ed8bb,ee63a0d14264af35d3660738a28d822829364821f0243c598c22ba4bae9558a9,60881060a5a9a3258350fd3772f63a19a63ca1094a333ecf4193847fbae19788,756a35dc06d2c2262eb3f24a91e157eb89332e4e3b12b7789b1a863d0329827c,7a2d95141abf168af29ea00d5dec1d24f3bbea4c5a5107dab7394a4796c79856,1a0882b3ac90addeb6e9d17e61d29636f8e51ed2c14a0d84e69e3c155ee39a89,847511f2c94a88a98d36c90b76f7002be95b8d8b361f446a38bd552b38ef73d7,9d4dbce4dc27051ab1126b2d58d3fb211cee0f12c5c2a443ca64fac2f26caf86,0de5eaf961ba9d7a6a0aa0e3612d6d76800eb5733fdf4c3b9d50006a966c43f1
"-278","1","1","1.8","-225","100","105811","61001","5146061","idle_normal","0"
"-278","5","6","1.8","-225","101","1058","61002","5146061","idle_normal","0"
"-288","1","1","1.8","-385","103","105911","61003","5146061","kokkoro_idle_normal","0"
"-288","5","3","1.8","-385","104","1059","61004","5146061","kokkoro_idle_normal","0"
"-278","1","1","1.8","290","106","106011","61005","5146061","idle_normal","1"
"-278","5","4","1.8","290","107","1060","61006","5146061","idle_normal","1"
"","13","105811","","","","200","61007","5146061","",""
"","13","105911","","","","203","61008","5146061","",""
"","13","106011","","","","206","61009","5146061","",""
"-174","5","7","0.85","0","15","7","61010","5146061","idle","0"
"8","5","20","1","290","210","201","61011","5146061","empty","0"
"-78","5","20","1","0","211","202","61012","5146061","empty","0"
"16","5","20","1","-315","210","203","61013","5146061","empty","0"
"153","5","21","1","0","60","21","61014","5146061","empty","0"
"1","31","1","1","0","0","1","61015","5146061","",""
"1","31","2","0","-57.7","0","2","61016","5146061","",""
"1","31","10","0","0","0","10","61017","5146061","",""
"1","31","11","0","0","0","11","61018","5146061","",""
"","91","0","","","","0","61019","5146061","",""
"","102","0","","","0","0","61020","5146061","",""
"","93","1","","","","0","61021","5146061","",""
"1","3","106011","0.2","doya_talk_shy","0","doya_in_shy","61022","5146061","","0"
"1","3","1060","0.2","doya_talk_shy","0","doya_in_shy","61023","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0101","61024","5146061","",""
"1","11","106011","0","1","8","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","61025","5146061","0","0"
"","91","0","","","","","61026","5146061","",""
"","32","2","","","","1","61027","5146061","",""
"","37","2","","","","fade105_in","61028","5146061","",""
"","4","106011","","","","0","61029","5146061","",""
"","4","1060","","","","0","61030","5146061","",""
"","3","106011","0.5","","1","sad_idle_dere_shy","61031","5146061","",""
"","3","1060","0.5","","1","sad_idle_dere_shy","61032","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0102","61033","5146061","",""
"","3","201","0","","0","0102_in","61034","5146061","",""
"","93","4.6","","","","1","61035","5146061","",""
"","3","201","0","","0","0102_mid","61036","5146061","",""
"","92","","","","","","61037","5146061","",""
"","3","201","0","","0","0102_out","61038","5146061","",""
"","93","0.2","","","","0","61039","5146061","",""
"1","3","106011","0.2","kyaru_smile_idle","0","kyaru_smile_in","61040","5146061","","0"
"1","3","1060","0.2","kyaru_smile_idle","0","kyaru_smile_in","61041","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0103","61042","5146061","",""
"","3","201","0","","0","0103_in","61043","5146061","",""
"","93","5.4","","","","1","61044","5146061","",""
"","3","201","0","","0","0103_mid","61045","5146061","",""
"","92","","","","","","61046","5146061","",""
"","3","201","0","","0","0103_out","61047","5146061","",""
"","93","0.2","","","","0","61048","5146061","",""
"","37","2","","","","fade105_out","61049","5146061","",""
"","4","105811","","","","1","61050","5146061","",""
"","4","1058","","","","1","61051","5146061","",""
"","3","105811","0.2","","1","surprise_talk","61052","5146061","",""
"","3","1058","0.2","","1","surprise_talk","61053","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0104","61054","5146061","",""
"1","11","105811","0","1","7","……小凱留，\n不想被拍進照片嗎……？","61055","5146061","0","0"
"","91","0","","","","","61056","5146061","",""
"","3","105811","0.2","","1","surprise_idle_talk1R","61057","5146061","",""
"","3","1058","0.2","","1","surprise_idle_talk1R","61058","5146061","",""
"","3","105911","0.2","","1","kokkoro_surprise_talk","61059","5146061","",""
"","3","1059","0.2","","1","kokkoro_surprise_talk","61060","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0105","61061","5146061","",""
"1","11","105911","0","1","7","是的，\n看來是這樣沒錯。","61062","5146061","0","0"
"","91","0","","","","","61063","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal","61064","5146061","",""
"","3","1059","0.2","","1","kokkoro_idle_normal","61065","5146061","",""
"","3","105811","0.2","","1","idle_normal_talk1R","61066","5146061","",""
"","3","1058","0.2","","1","idle_normal_talk1R","61067","5146061","",""
"","4","105811","","","","0","61068","5146061","",""
"","4","1058","","","","0","61069","5146061","",""
"","4","106011","","","","1","61070","5146061","",""
"","4","1060","","","","1","61071","5146061","",""
"1","3","106011","0.2","cool_talk_sing_shy","0","cool_in_sing_shy","61072","5146061","","0"
"1","3","1060","0.2","cool_talk_sing_shy","0","cool_in_sing_shy","61073","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0106","61074","5146061","",""
