3249af98491b3a27819cd9bd4e81c40751b5a339e994c8f27161a4a017943294,426b6ea000acae10481bead02999e0380e603127a6d3d59cb7e427d22427652a,fa3539f2de87122b415f27c9a5a2a3dc8a9400333b62e66e01df9ee40a804610,45163dac0c4cbd6e84c10649daa74de5a10467a1d98e7a16d96dab13a0a04d93,718497dfea44342e235eda66fdfd46d9745c976ec8d9406acc26285c30e7bf6e,8908340ce1a34875b0c72451c85b9d5c2865cce9432474d953ee5c35a6aae4bb,6000644b4b56f34f4ff016482b563fd2ec20de70a3cdc815686419cbec49d462,692a78f63397faac7d58a856c38f0fa2d24a8ffaa2f0d6362b736468a18a55d3,23390e5c870a2ff6ec3698f349cd56930d0c03ad2eeb2e10056082d71d193e64,789cd005e8b7b238cc2768d7e084b030d9592f4ac0c2ec02d9d9068019ebb7b2,2fef10c424f74a7a32392db4fdcd73432fc6f7d98c8c8ef3e2d1ce0d5dc17ebe,2c2c2c955850c0ed825b889407b9e9ee8c5aea3805974ac2ef31fd13acc8940b,68228499f57c24441305f6c014e08c94181830b6e4dc535c6ad72cc5ae278dc8,8215d7aa3d47c1aebaf1c21584197e4acee1a7318d9ed4fe596ecd376e98deec,23f004ff75bfb749ec326e543c5da0519c6e411f4824872bc7bb87cf5de7fd8a,582a8c44c3be9c51e1c6030bf69a5edf3c394975d17dd2178dad030fd399ddde
"201","215","980","455","3","2","1008201","301","501","101","2","1","-110","401","70","1"
"202","215","515","230","3","2","1008202","302","502","102","2","1","-110","402","70","2"
"203","215","515","230","3","2","1008203","303","503","103","1","1","-110","403","70","3"
"204","215","515","230","3","2","1008204","304","504","104","1","1","-110","404","70","4"
"205","233","787","355","3","2","1008205","305","505","105","2","1","-110","405","78","5"
"206","233","787","355","3","2","1008206","306","506","106","3","1","-110","406","78","6"
"207","233","777","345","3","2","1008207","307","507","107","3","1","-110","407","88","7"
"208","233","777","345","3","2","1008208","308","508","108","1","1","-110","408","88","8"
"209","233","777","345","3","2","1008209","309","509","109","1","1","-110","409","88","9"
"210","233","810","355","3","2","1008210","310","510","110","3","1","-110","410","88","10"
"211","233","777","345","3","2","1008211","311","511","111","2","1","-110","411","88","11"
"212","215","515","230","3","2","1008212","312","512","112","2","1","-110","412","70","12"
"213","233","810","355","3","2","1008213","313","513","113","1","1","-110","413","78","13"
"214","215","515","230","3","2","1008214","314","514","114","1","1","-110","414","70","14"
"215","215","515","230","3","2","1008215","315","515","115","3","1","-110","415","70","15"
"216","215","655","275","3","2","1008216","316","516","116","2","1","-110","416","70","16"
"217","215","515","230","3","2","1008217","317","517","117","3","1","-110","417","70","17"
"218","233","777","345","3","2","1008218","318","518","118","3","1","-110","418","88","18"
