eb22c53cdc79fc633068fde886f92ad2c73e24fb82da1161f9d4ef4bdc3c43ea,3fe0dccf6b070ad1392d290f2a4d63434d3d0b2ad96c8f3300641ef81efbe83e,9c0eb068a0c8da3ce0462274d4428c4257de9ee19b14db7b504af90d98f35f7a
"2","1","1"
"1","2","2"
"3","3","3"
"2","4","4"
"2","5","5"
"2","6","6"
"2","7","7"
"2","8","8"
"2","9","9"
"2","10","10"
"2","11","11"
"2","12","12"
"1","13","13"
"1","14","14"
"1","15","15"
"1","16","16"
"1","17","17"
"1","18","18"
"2","19","19"
"4","20","20"
"2","21","21"
"2","22","22"
"5","23","23"
"5","24","24"
"5","25","25"
"6","26","26"
"6","27","27"
"6","28","28"
"7","29","29"
"8","30","30"
"8","31","31"
"9","32","32"
"9","33","33"
"10","34","34"
"10","35","35"
"11","36","36"
"11","37","37"
"12","38","38"
"12","39","39"
