3c6ec6dc1dbeafcf7e84f66e2bb0344d60623f92d28542be2e49d9525207c5d0,e629708c3f3e968e2c745a549fd9f787512f55f0696b57510ec6d7d46a4a1faf,e8e78454fda6c109199ccd79dd69fa161b047ef2d10a6a5e04037cfbdcb080c1,3354e2b832803ea9073a6a3c20e5cbb9ebe3baa2a4986795015d00984e2968a8,60fe891b2cf4aec15b294a70eebe538bba328ab552ce5c4895d4901a371a4773,c71719feccd51fde336d21b4fd1c2dc87cbd13acb011c0c10eba2829958819f3,04b766151ef658cb4464279ea9cb685098a499858af2d007eb9f6d07a39c1f1c,91d7d08c3855cfb090571a915a4fefed1f33b11f0120ff861d82b4a4cfcf1ee8,75df314a696d4b22e267f8679449593363bd027133d078d9ee4c69f5e30354e5,00b494689a335f6878e2ee6e2e1c487d445ab5451bc7cf7ff4ae68bacbf57303
"0","0","卯月和凜的回憶","0","7001","10062","0","0","1","10062103"
"0","0","new generations的回憶","0","7002","10062","0","0","2","10062107"
"0","0","卯月與未央的回憶","0","7003","10062","0","0","4","10062107"
"0","0","美食殿堂的回憶","0","7004","10062","0","0","6","10062111"
"0","0","凜與未央的回憶","0","7005","10062","0","0","7","10062111"
"0","0","new generations的回憶","0","7006","10062","0","0","8","10062111"
"0","0","new generations與美食殿堂的回憶","0","7007","10062","0","0","9","10062115"
"0","0","美食殿堂的回憶","0","7008","10062","0","0","10","10062115"
"0","0","new generations與美食殿堂的回憶","0","7009","10063","0","0","14","10063111"
"0","0","new generations的回憶","0","7102","10062","0","0","3","10062107"
"0","0","美食殿堂的回憶","0","7103","10062","0","0","5","10062107"
"0","0","new generations與美食殿堂的回憶","0","7104","10062","0","0","11","10062115"
"0","0","new generations與美食殿堂的回憶","0","7105","10063","0","0","12","10063111"
"0","0","new generations與美食殿堂的回憶","0","7106","10063","0","0","13","10063111"
"0","1","","1","7201","10062","7","2405","15","10062103"
