9bb7ac3564690a36de91dc3c5be2e74651bc0d945a62b807356c28928207fd57,ca9e553f73ba32caa61d1b722977ea74f62cd7cca9822002fb9459732e49d20d,32a9f233f1849fd998fb23d1acffc38c0dede3e7a23668a4c614f03922f084e2,6802510e910553c357e3f07c3d6cac4fd9f66e8aa6c6fc7efbf344baf6b23f51,c8e565ff8a3c8718468e5ebde527415083094f0eea8e259f6a1e49a6be44c12c
"1","200","8500","1","30"
"1","5","1500","2","30"
"2","220","8500","3","60"
"2","5","1500","4","60"
"3","200","8500","5","60"
"3","200","1500","6","15"
"4","200","8500","7","60"
"4","200","1500","8","10"
"5","150","8500","9","40"
"5","5","1500","10","40"
"6","150","8500","11","60"
"6","200","1500","12","10"
"7","150","8500","13","40"
"7","5","1500","14","40"
"8","150","8500","15","50"
"8","200","1500","16","15"
"9","150","8500","17","45"
"9","200","1500","18","10"
"10","145","8500","19","40"
"10","5","1500","20","10"
"11","300","8500","21","40"
"11","5","1500","22","10"
"12","200","8500","23","65"
"12","200","1500","24","10"
"13","150","8500","25","40"
"13","5","1500","26","10"
"14","100","8500","27","40"
"14","5","1500","28","10"
"15","200","8500","29","50"
"15","5","1500","30","10"
"16","250","8500","31","60"
"16","200","1500","32","30"
"17","120","8500","33","45"
"17","300","1500","34","90"
"18","120","8500","35","90"
"18","200","1500","36","30"
"19","190","8500","37","50"
"19","350","1500","38","60"
"20","95","8500","39","90"
"20","95","1500","40","90"
"21","200","8500","41","20"
"21","5","1500","42","5"
"22","450","8500","43","30"
"22","5","1500","44","5"
"23","200","8500","45","20"
"23","5","1500","46","5"
"1001","130","8500","47","30"
"1001","5","1500","48","5"
"1002","140","8500","49","30"
"1002","5","1500","50","5"
"1003","150","8500","51","40"
"1003","5","1500","52","5"
"1004","155","8500","53","45"
"1004","200","1500","54","5"
"1005","155","8500","55","60"
"1005","200","1500","56","10"
"1006","150","8500","57","60"
"1006","200","1500","58","15"
"1007","150","8500","59","60"
"1007","200","1500","60","15"
"1008","160","8500","61","50"
"1008","200","1500","62","15"
"1009","140","8500","63","70"
"1009","200","1500","64","30"
"1010","180","8500","65","35"
"1010","200","1500","66","120"
"1011","140","8500","67","65"
"1011","200","1500","68","30"
"1012","200","8500","69","35"
"1012","5","1500","70","5"
"1013","150","8500","71","70"
"1013","200","1500","72","15"
"1014","150","8500","73","60"
"1014","200","1500","74","15"
"1015","150","8500","75","60"
"1015","200","1500","76","15"
"1016","150","8500","77","60"
"1016","200","1500","78","15"
"1017","150","8500","79","60"
"1017","200","1500","80","15"
"1018","120","8500","81","50"
"1018","200","1500","82","60"
"1019","102","8500","83","67"
"1019","200","1500","84","60"
"1020","120","8500","85","35"
