f139fa8c28ad60203d2c0be1d3593cd740350826d62c85c344159203c218695f,004f4b0d6376b9b78246d389faa1c16bfbeb8578056573b73da5b86be8ce6696,be127ca6ab5cb892d520351d5a62feed9cc06fbefa37d4be722afa8905f69631,fc79b16c28edf0e751bf4d258df8d466e2318ec17d8fad217f02fb688ab71e46,20b27b2abd51bdd5df979389284863a47bb576a92df00ff3d70cf602e6f975c1,647ca31f13ae5eb8ea9f10fa194b212d5eda1467b9df626c85e779c0d8d0ea7d
"1","10","150","0","1","150"
"2","10","250","0","1","400"
"3","10","400","0","1","800"
"1","20","150","0","2","150"
"2","20","250","0","2","400"
"3","20","400","0","2","800"
"4","20","500","1","2","1300"
"1","30","800","0","3","800"
"2","30","1000","0","3","1800"
"3","30","1200","0","3","3000"
"4","30","1400","1","3","4400"
"5","30","1600","2","3","6000"
"1","40","800","0","4","800"
"2","40","1000","0","4","1800"
"3","40","1200","0","4","3000"
"4","40","1400","1","4","4400"
"5","40","1600","2","4","6000"
"0","0","0","0","5","0"
